"","cert","rbc1rwaj","rbcrwaj"
"1",57899,6.92127215849844,8.17746350364964
"2",22039,18.4210160925286,19.4443287374516
"3",16419,18.6833433193529,19.9505692031156
"4",30367,13.5149282912247,14.3619369568234
"5",4788,14.5926698999325,15.1144944441034
"6",57298,13.8432576589498,15.0795963036836
"7",3881,14.9036940452336,16.1649233483217
"8",32487,17.8378175259282,19.0891327220803
"9",58485,13.8197316572768,15.0763669521607
"10",57657,13.1475224441021,14.4054506508302
"11",35456,13.3502881592735,14.6104392245896
"12",58358,3.45662847790507,4.77250409165303
"13",11706,11.6837027434813,12.6442399642986
"14",27552,14.2564678139366,15.4341760246531
"15",58321,11.9156897391152,13.0075874858453
"16",34393,18.7284094779351,19.8973385880407
"17",57611,24.1605774635387,25.4178623199124
"18",1673,25.6356911154529,27.0383044796844
"19",58548,15.1684112973063,16.418772124398
"20",6646,16.7029872673849,17.9713516160627
"21",3564,14.7962280351142,15.8818275574504
"22",26977,17.6050668241104,18.8570125060383
"23",57633,14.7876291940251,16.0420886443883
"24",9087,13.7894045728873,15.0699975983669
"25",57626,12.5860767694579,13.8384061020164
"26",22543,23.9098080071439,24.8846554546808
"27",8426,14.2543775254955,15.6843880519304
"28",57869,12.473577038689,13.2405701541743
"29",35408,18.0654923419271,19.1720797302197
"30",31249,12.3237724842003,13.4621617241938
"31",9751,17.9075750654908,19.1615620961728
"32",29132,16.6514902500777,17.9043219473193
"33",91005,30.6257330468208,31.6582054157713
"34",27831,22.1837037328017,23.4377915484105
"35",35029,11.1932985617196,12.450345081924
"36",32257,26.2439662247694,25.1971844700711
"37",30332,32.5549151805133,33.8081774684646
"38",30619,18.4707628721949,19.7310591728032
"39",19795,13.5105323562379,14.7662875286363
"40",11694,13.3865423367182,14.6461732980363
"41",26549,13.0563235214398,14.1933647747601
"42",32266,34.681287922732,35.9123092929684
"43",19600,51.0947592043722,52.4156658500231
"44",4061,12.2987501560076,13.5557259257939
"45",58727,12.8548438542059,14.1140139762809
"46",35189,12.3579476394409,13.615495636157
"47",58562,17.0431089705568,18.3029253363069
"48",14936,10.6903451725863,11.709187927297
"49",7506,13.0695673248101,14.339527800301
"50",18489,15.3278200520618,16.579172660151
"51",90140,17.4802289597702,18.4773770757064
"52",14311,11.4788994132156,12.4272150829495
"53",32304,32.3316819621538,33.5661495979859
"54",58697,18.6702707829468,19.9317114810073
"55",9812,26.4275135757775,27.0528221161757
"56",28380,14.2004707049803,15.3553626745966
"57",27015,10.8579475980827,11.5519389959489
"58",8251,12.7560677844606,13.9287434338004
"59",8822,14.5244811181745,15.4506799141161
"60",31372,13.7733022636485,15.0327341322681
"61",18152,17.525800975452,18.6467624154563
"62",57072,5.8159760938406,7.08363686821383
"63",29864,12.0808311886379,13.3424840339338
"64",10375,14.1073605002385,15.36113613481
"65",34885,11.7910217329642,13.0433689864532
"66",57264,5.04129634617111,6.29679504443846
"67",35267,59.8137490938057,60.9020773106837
"68",3304,11.5231877229589,12.7726430567905
"69",35314,25.5833558133261,26.6286754788238
"70",13947,16.8803354348285,18.1311775411501
"71",57845,10.1320405625373,11.3943119433014
"72",29849,14.5875912930381,15.8388954792974
"73",17230,24.0876479416343,25.3473074544873
"74",34106,6.15119251482888,7.41692105328469
"75",9831,21.2687900838262,22.4658254823547
"76",17622,15.1135731269287,16.3724051870963
"77",3931,12.9688734032634,14.258534196044
"78",13080,29.7043721533239,30.9581890448815
"79",20093,11.8391105983533,12.9414232523992
"80",6058,14.2107566300076,15.4835034182106
"81",58629,10.9750334055278,12.1045312515938
"82",15062,10.6815020862309,11.9085149126874
"83",11569,16.5091874456945,17.7737236808777
"84",10973,13.2738908166676,14.5407921176087
"85",12511,15.5861852104187,16.8429327603375
"86",197,14.1391801929419,15.4011970683583
"87",34566,11.5697837686043,12.8208368435833
"88",34930,18.2154555380323,19.4751101945085
"89",57733,9.20113735850811,10.4787287616893
"90",15657,16.2452620662439,17.515441304687
"91",57424,14.1654809848795,15.4170786408469
"92",35173,16.0465756497446,17.3037511343128
"93",1946,12.6659569767208,13.920300480045
"94",91,11.1628470055782,12.4405166553365
"95",55130,5.82059433836547,6.912372213444
"96",4051,19.8811426288454,21.1346384338793
"97",57803,16.6817982207381,17.486124813488
"98",58424,14.8091897320555,16.064060890018
"99",15699,14.5632629716349,15.8322758226242
"100",15426,9.07047124945958,10.1124081279723
"101",59060,51.1046211368462,52.4168778257311
"102",23091,13.1336246577493,14.3958190109401
"103",18545,14.2500189181209,15.5254712095876
"104",35377,23.7454235903966,25.0299326601657
"105",19590,12.9834609101089,14.1692824494741
"106",58275,24.6474927097032,25.6195322774315
"107",1149,10.6040704771002,11.7178793185798
"108",8276,19.1116200578592,20.3381147540984
"109",27711,19.5264358021477,20.1339740099889
"110",10173,23.3286405933455,24.1527315180442
"111",9465,22.0132158309597,23.2672541785348
"112",622,13.0740157427572,14.3319626869358
"113",903,12.3724251741108,13.6351580994666
"114",14531,12.4410618382274,13.6480582102948
"115",34302,19.0978042587091,20.3807279305595
"116",28701,18.6452839214008,19.8757568509963
"117",6423,13.4642016681268,14.7359224788538
"118",24107,14.1201866598487,15.3764933720089
"119",27267,12.6198541177449,13.5666341098481
"120",29031,13.0412719355279,14.3042001401844
"121",20726,16.0325944282849,17.2947884617404
"122",8893,15.4856899670178,16.7517821044792
"123",19838,29.8635749691412,31.1334716325119
"124",20311,11.4798103152953,18.4942587070989
"125",34422,12.929140630667,14.0995948228516
"126",32328,25.310477244079,26.4444172601414
"127",1117,13.1232667888361,14.3758818091887
"128",19234,15.4421054233831,16.6415513645981
"129",17906,19.2233851489441,20.4756301480151
"130",35568,12.3174420747905,13.5729852218885
"131",31980,12.7964682903496,13.9863275800215
"132",6183,13.7637514596521,15.0154671911171
"133",20537,17.5410363694883,18.1700308060141
"134",34955,15.9692298794066,17.2350683527988
"135",22559,12.8370616204487,13.872419184989
"136",4624,15.2510005147877,16.5578970092496
"137",18609,13.5644165962801,14.8154293003292
"138",34232,21.1874272409779,22.4655091273871
"139",15423,14.7160089567332,15.9872872173934
"140",34606,10.2465388870616,10.7885058158658
"141",20843,8.88407532161844,10.2040298689177
"142",20473,18.1861355714052,19.4413035817365
"143",5216,7.24434694164362,8.52037911756789
"144",5800,12.5953886863855,13.849788932271
"145",21567,20.0651769087523,20.9729981378026
"146",23886,14.8689907732883,16.1238571602558
"147",20241,13.1712921665037,14.4291331558778
"148",34788,15.9599282699853,17.2165518357221
"149",27006,11.0154659767535,13.1408208460016
"150",21663,16.2703919906255,17.5302268566769
"151",35033,16.1062447018932,17.3793601456783
"152",35412,18.4884504175381,19.7515067550277
"153",57444,17.8795360485977,19.138883461518
"154",57359,9.50554612892822,10.2754133303417
"155",58514,12.7959282424416,13.8317891001631
"156",34090,10.7844525191512,12.0695892910512
"157",57709,10.4469798657718,11.7228187919463
"158",428,14.8155751727914,16.0678847601451
"159",10647,17.3943403160603,18.6549062844542
"160",2328,19.1916977271066,20.4633486808448
"161",35328,17.8817761995579,20.1434809907979
"162",27471,20.8073932492934,22.0588377432672
"163",29140,11.7771286778642,12.8333848295369
"164",30182,15.872761373509,16.5808441062087
"165",34656,16.728612628435,17.9794984445669
"166",57113,9.26583438323216,10.5225060130569
"167",313,17.0552693836419,18.3255266788632
"168",35223,13.8010855683269,15.0976099251961
"169",57025,13.8716279755868,15.1217893164678
"170",4190,18.7955084949191,20.0481059494742
"171",8843,16.0087415450114,17.2677003690595
"172",1439,14.4275437339067,15.6831514958456
"173",57695,15.5038582713118,16.7366786904708
"174",30950,27.8532608695652,29.0760869565217
"175",34334,5.62215961668963,6.8930062308499
"176",21272,16.0085713937354,17.2650182279284
"177",58309,17.3635486562299,18.484205852092
"178",24472,15.3252173194428,16.5457184325109
"179",19300,13.5721312511507,14.8084844454581
"180",26398,18.3269684940455,19.5775337922717
"181",22373,16.5839129659354,17.8426966292135
"182",33812,14.5625219617489,15.8174790422168
"183",6837,15.6642051411837,16.6973227520879
"184",26499,15.3717369642956,16.6337054327869
"185",57169,3.72387113552875,4.98520854328533
"186",58469,13.0808327539881,14.3383250972361
"187",58584,28.8828654855109,29.9182187270972
"188",24655,24.0646641944233,25.3238930429457
"189",58281,16.4417222647563,17.6973276459222
"190",29899,28.3913221449038,29.3450675399099
"191",9104,24.6050253599953,25.5057424357255
"192",32526,11.7233805027318,12.8179294531666
"193",29597,11.2245859542488,12.475557754376
"194",29878,15.4116706634692,16.6693312017053
"195",33121,15.5284684393147,16.7837045826367
"196",15432,21.0425633668101,22.2222222222222
"197",26944,12,13.0771543086172
"198",228,11.9540952999432,13.1598885190898
"199",9967,15.5559210875402,16.1210217444365
"200",57144,12.2422265503354,13.4213734897788
"201",15444,15.2008556248842,16.453790078458
"202",10204,28.8259868701509,30.0963423991815
"203",22263,17.5642682751688,18.8137297142036
"204",22554,17.2413361064475,17.3064875836319
"205",13150,13.157865113203,14.410204454951
"206",10120,17.3935404237811,18.3707056161284
"207",58076,13.1774987496381,14.4304930374582
"208",57689,13.0176029453294,14.3103682707695
"209",30713,37.5813953488372,37.5813953488372
"210",8205,4.86029555686044,6.1313368565277
"211",22441,14.7192766854862,15.2067705898269
"212",58360,26.157364071568,27.4263860287235
"213",2838,14.4522144522145,15.7070080457177
"214",58303,338.618857901726,338.618857901726
"215",20504,17.4373308635589,18.6882938809113
"216",7542,12.0864662147789,13.3398376460516
"217",15510,13.7270143191361,14.9867020263216
"218",5417,13.3195396353291,14.5755907769638
"219",57295,16.2359930029962,16.8837354301252
"220",26658,18.6802267812263,19.931030451809
"221",28949,21.0494375690847,22.055094388695
"222",15354,13.5312511362397,14.5784096280406
"223",22381,15.2208407817302,16.4802056761805
"224",19220,16.0794638455016,17.1595116693131
"225",28454,16.9240177342914,18.1795597003516
"226",8868,11.6138168474428,12.8655600626012
"227",57931,2.9510116453061,4.23134474009498
"228",4208,14.8073384158936,15.8570248244263
"229",11681,24.3406985032074,25.6058446186743
"230",29979,7.70972253565869,9.01683644941088
"231",22959,24.2031913577702,25.4772605450872
"232",9923,10.2344201905806,11.4972448016562
"233",10858,19.617570127176,20.2633715161901
"234",18483,21.0065645514223,21.8437827038341
"235",16410,10.4622350571332,11.5959855250726
"236",22015,13.3700835404192,14.6348141910219
"237",17751,11.5945170115208,12.8533631307877
"238",32018,21.8096150774637,22.488420380131
"239",58889,17.4336942703082,18.3849896979527
"240",11682,29.2313377679231,30.2063789868668
"241",10989,14.5381533747585,15.5125655396854
"242",30079,18.5256856045717,19.7865328213346
"243",29679,20.2862060173381,21.4702320244773
"244",33316,29.4031718023445,30.6658181528916
"245",35599,12.0739468432601,13.3244308535459
"246",6051,23.3049929991195,24.1176725320092
"247",16068,25.1807993084518,25.6576772651623
"248",17453,13.4081343215299,14.3385716899991
"249",34193,45.6730169176132,46.9245345103423
"250",58296,11.6971574566192,12.7972644191602
"251",33450,12.7539279479448,14.0057133788288
"252",18625,4.22162072901933,5.53477452381123
"253",3598,28.2509047044632,29.5054282267793
"254",9641,18.1117260299891,19.3652145120855
"255",28507,24.1282831462246,24.6703738677299
"256",57620,14.8592302209551,16.1211689237349
"257",3858,14.2283921270324,14.9519825045165
"258",1391,19.8321342925659,21.0825625214114
"259",35354,88.1099005210801,89.4204958155692
"260",4666,40.356737127266,41.7351090199647
"261",2315,15.8888077774302,17.0308571163718
"262",29471,24.6775098149187,25.1531958206103
"263",29743,21.1715123618637,22.2688341199091
"264",1198,17.9405617844609,18.4860473980993
"265",15085,5.96768634897739,7.23120077235058
"266",17123,9.13540909991415,10.3945167183957
"267",28780,31.4477634506145,31.7852437417655
"268",8728,14.0848259189533,15.3697267239785
"269",29663,23.077194717141,24.3409038168555
"270",1436,13.9446107784431,15.1122754491018
"271",11343,14.6884550614358,15.5616540884426
"272",25745,17.2991039119965,18.5538902851428
"273",34759,12.0267932574325,13.2880074023414
"274",33013,26.4720179862672,27.7298414048733
"275",5296,12.9590111440458,14.2169464030427
"276",29805,15.4795648121261,16.7361774719067
"277",17636,13.0222791851872,13.9936189359439
"278",24064,23.8631708316264,24.4913286904274
"279",29085,20.7420965928405,22.0061187668331
"280",9631,16.8804977472645,18.0419080311807
"281",90146,24.8340161039695,26.3664359372793
"282",9096,14.0272425659942,14.6701836091248
"283",58492,12.7942780099881,13.8350304123933
"284",24829,24.8009557268948,26.0954312167441
"285",45826,8.54206458717093,9.80589409480307
"286",58075,12.6080075673512,13.8722645662416
"287",34677,15.6402849547134,16.91659665558
"288",26390,13.5317911768424,14.797379467263
"289",30783,27.855336728516,29.1053812457709
