"","numemp","asset","RWAJT","RBCT2"
"57899",11,99653,80065,1038
"22039",24,105877,63738,683
"16522",146,643899,364731,4643
"16419",45,111219,68259,619
"30367",36,236995,158010,1078
"4788",8,21440,14901,155
"31826",71,253488,136438,1705
"57298",39,133141,109021,1203
"32487",16,46585,26659,333
"58485",42,204046,150051,1884
"57657",43,280279,194886,2470
"35456",45,276771,183105,2295
"58358",8,44537,29277,379
"58773",46,66225,35956,216
"11706",17,56382,42551,384
"27552",130,713897,505391,4938
"58321",54,464316,278736,3035
"34393",8,108503,83046,1045
"57611",5,53445,35739,449
"1673",553,498009,338838,6879
"58548",20,74547,51219,471
"6646",48,105346,75555,728
"3564",85,323259,198100,1523
"26977",56,123643,66357,833
"57157",16,87330,64940,829
"57633",80,278536,249130,3153
"9087",1175,4513812,3437394,43578
"57626",34,162332,129802,1293
"22543",5,25602,13417,128
"8426",149,642463,387551,6398
"57869",24,115461,83994,782
"35408",209,1040996,535145,11759
"31249",36,131232,92079,629
"9751",48,377231,320988,4019
"91005",52,187266,89241,1116
"27831",56,252540,113264,1418
"35029",54,144324,103374,1307
"32257",128,232119,116450,1024
"30332",16,36341,27825,232
"30619",15,88762,49613,623
"19795",67,281997,220246,2761
"26549",20,93556,57935,729
"27942",155,1268145,785289,7175
"32266",81,1314318,778105,9778
"19600",265,507344,232704,3068
"4061",18,67100,46007,578
"58562",35,122475,96847,1214
"58727",18,95452,77237,881
"35189",291,789243,559365,7035
"14936",32,120125,81584,1026
"18489",150,500604,456896,5731
"26568",45,198179,123452,1549
"14311",15,93331,77422,784
"32304",6,24428,12103,143
"7506",246,963375,653291,8246
"58697",11,46138,34605,438
"22658",52,262857,180955,1439
"9812",9,35275,26236,156
"57962",15,48542,29740,50
"28380",148,513923,305271,3217
"8251",27,107202,83693,975
"8822",11,30376,20724,216
"31372",35,78597,47680,598
"18152",36,49084,36148,453
"57072",70,380448,301637,3834
"29864",233,838037,652274,8246
"10375",27,114591,97716,1223
"57103",55,488221,415967,8049
"34885",192,187209,133496,1416
"57478",37,167112,95424,1195
"35267",35,1097285,447478,2356
"3304",58,202109,152984,1898
"35224",26,68521,51199,655
"35314",9,38610,25138,325
"13947",34,163920,90912,1138
"57845",66,316341,237534,2987
"29849",65,177356,143200,1443
"17230",100,521297,408670,4713
"34106",41,168057,136094,1710
"9831",60,214188,130395,1553
"17622",49,167224,119768,1512
"3931",469,1053200,755865,11494
"13080",38,147976,69060,867
"2773",246,1027803,661935,8439
"20093",49,130548,92542,731
"57759",9,36364,28479,392
"6058",95,412771,250133,3136
"35078",28,116133,72790,916
"58629",74,389825,290806,3635
"35265",20,117247,70857,887
"15062",20,55925,31580,397
"10973",152,664976,592043,7471
"11569",191,499949,347079,3459
"12511",44,143556,99843,1253
"197",70,264557,185203,2271
"34566",39,125228,104351,1309
"34930",21,82544,56411,716
"57733",32,172518,139146,1749
"15657",46,162574,107494,1294
"34664",74,618571,370175,4634
"57512",147,1361828,916540,29529
"7237",338,1449305,864369,10303
"57424",15,61864,42886,543
"35173",26,152038,96829,1226
"1946",39,108477,88718,1117
"15083",7,14360,9031,116
"91",54,189233,147403,1503
"55130",34,169266,120213,1515
"4051",7,26874,16166,204
"34782",54,1237644,734723,5073
"57803",659,61692705,40359730,507827
"58424",80,496927,313065,3917
"15699",26,82251,63444,797
"15426",11,21773,17370,217
"23091",524,2469782,1968117,25077
"18545",340,1047563,749519,9469
"35377",15,234759,141956,1805
"58400",30,201802,131483,1652
"19590",58,146921,105965,1328
"58275",16,87579,75200,946
"1149",17,102920,66174,51
"8276",14,48117,30524,270
"27711",50,193563,129002,969
"10173",10,45236,32020,255
"9465",38,173255,145919,1825
"622",488,4554794,2449116,31030
"903",198,744809,469966,5917
"14531",645,2725513,2228251,27893
"34302",44,110548,64342,743
"28701",39,258286,141575,1341
"6423",254,2565549,2282449,28864
"24107",1622,12283470,9675443,125018
"27267",38,224431,184581,1657
"29031",162,428131,310718,3916
"20726",21,140716,99981,1268
"8893",13,33041,20885,266
"19838",53,209571,143599,1826
"20311",74,388719,339502,19298
"34422",50,494145,378798,4344
"32328",384,537347,376338,3299
"1117",72,266765,229571,2870
"19234",45,111554,80504,1014
"17906",46,136373,85028,1035
"35568",57,229739,179145,2257
"31980",40,119758,85861,1076
"6183",33,122580,94681,918
"20537",49,177712,87872,505
"34955",233,559806,460169,5832
"22559",231,539620,404943,5066
"4624",29,113274,87171,1140
"34232",19,52570,41411,532
"18609",165,684101,511600,6402
"15423",37,107777,76060,968
"34606",44,134900,100137,1029
"20843",199,569455,429914,5557
"20473",284,1115292,931342,11728
"23433",231,736635,465357,5843
"5216",171,683779,544856,6884
"5800",38,221068,178904,2253
"20241",290,903732,639311,8027
"21567",13,30481,14990,188
"23886",91,361699,241836,2235
"34788",85,948665,526172,6339
"27006",360,2613496,1899087,34337
"21663",52,227018,174556,2068
"35033",27,162886,146483,1843
"35412",64,573987,406504,5125
"57444",29,132221,93273,1181
"57359",26,160616,126635,1497
"58514",7,71793,58170,732
"31581",5,22298,12750,33
"34090",47,411730,294271,3789
