"","rbc1rwaj","rbcrwaj"
"57899",6.59706037724123,7.86488922034741
"22039",16.1073735559784,17.0977512128441
"16419",17.4158322998276,18.6681387821773
"30367",12.817113167928,14.084614262242
"4788",11.8585696246126,13.0180231890713
"57298",13.5549434302878,14.8053908523585
"32487",17.7311904851519,18.9807670593549
"58485",14.3762533665033,15.6290615774218
"57657",14.568265337172,15.8238620214605
"35456",13.4718944585027,14.7291802905803
"58358",3.23924652309137,4.58893257437944
"58773",10.4853168469861,11.6692426584235
"11706",12.1057322348542,12.9991522292024
"27552",11.007704680954,12.0442170165607
"58321",13.2717019270785,14.3588153860527
"34393",18.0423076444765,19.3045727574586
"57611",27.3534693877551,28.6204081632653
"1673",37.8508702015738,39.3210109119365
"58548",14.7186799210095,15.9905613013355
"6646",16.0352880124546,17.2858101180908
"3564",14.3292653279525,15.311907424515
"26977",17.7935891699981,19.0506429591999
"57157",3.0217965653897,4.31685223627099
"57633",10.0166914286762,11.2709330692052
"9087",14.5415809183806,15.814258461055
"57626",12.0598775722317,13.3118263604398
"22543",24.6219135802469,25.5555555555556
"8426",13.4883490985795,15.0529458017675
"57869",12.1178985039018,13.0423977334858
"35408",18.7550930231685,19.9031903135237
"31249",11.5774116031583,12.8271970477171
"9751",16.1151708336044,17.3666977470347
"29132",16.1280496814215,17.3664482193475
"91005",30.0648544678892,31.2657718010472
"27831",21.633677431575,22.8686428639076
"35029",11.1049941831477,12.3680821007146
"32257",24.9501451798346,23.8049458579901
"30332",32.6791979235004,33.9313728286603
"30619",15.0129572411044,16.2737964716436
"19795",13.1403981993523,14.3957094786602
"11694",12.4253276381678,13.6749154543991
"26549",15.0545971441494,16.1384635265232
"32266",19.2870174071684,20.4835537128278
"19600",41.0599602568902,42.4020101949716
"4061",12.15068520397,13.4097102054617
"58727",14.2546484381585,15.5063131100285
"35189",13.5967882884336,14.8549339058879
"58562",19.1413037385797,20.4010425424584
"14936",10.0078186082877,10.8908114355645
"7506",12.8141020477333,14.0810733995291
"18489",15.2192867826152,16.4733581219238
"90140",17.6485062830784,18.5360197855454
"14311",10.1156221396934,11.0077747735426
"32304",32.1799307958478,33.3789329685363
"58697",20.2495523724261,21.5141002685765
"9812",27.4284498350888,28.1519310564954
"28380",13.9911182662201,15.0662037068619
"27015",10.606167876298,11.1335199603529
"8251",12.4280835793251,13.6783006308966
"8822",14.6860069728404,15.4952007919769
"31372",12.7481413851572,14.0106951871658
"18152",17.6263089187012,18.8678721217676
"57072",7.32771285853129,8.60701127862035
"29864",8.36016197526833,9.62446704116219
"10375",13.5303891375898,14.784476828481
"34885",14.3909121481276,15.6436074459457
"57264",5.2543015375512,6.50708678889413
"57478",12.9060471166029,14.1585279705774
"35267",40.1295019650796,40.8153762351301
"3304",12.2646540054965,13.521473399237
"35314",29.0843202450779,29.9323794224231
"13947",16.1229812418497,17.3758651820644
"57845",9.41067778517097,10.6706047362148
"29849",14.7014635504841,15.9524804139275
"17230",21.8917479830075,23.1482446088134
"34106",6.26523036279578,7.53945660342982
"9831",21.8754880386172,23.0134166252573
"17622",14.8244914578491,16.0773968070848
"3931",11.784795924393,13.1333107865084
"13080",27.666253614209,28.9235852953325
"20093",13.0237900642796,14.1591747476309
"6058",13.7182847197264,14.9737716701732
"58629",11.341364553287,12.5756461738589
"15062",10.8081632653061,12.0685714285714
"11569",15.2458563086582,16.5084012427008
"10973",12.8861878634287,14.1568043697562
"12511",14.4824602879189,15.7349375773367
"197",13.9421164015062,15.2072749499761
"34566",10.5124348525657,11.7625660218965
"34930",17.6737129967862,18.9352655847656
"57733",11.2397500850815,12.5015250460724
"15657",13.5970548659722,14.8617389595271
"34664",12.0532000602611,13.308202713059
"7237",13.8633444820647,14.8885928103273
"57424",13.1136935979484,14.3659173347504
"35173",14.9941493322502,16.2513176090593
"1946",12.4785646917603,13.7336019891966
"15083",5.97014925373134,7.24039377580184
"91",10.5074993927617,11.784217877095
