"","cert","numemp","asset","RWAJT","RBCT2"
"1",15448,8,19722,14176,158
"2",22039,17,47474,41728,523
"3",16419,40,74908,50496,553
"4",30367,29,134279,89095,704
"5",4788,6,18011,15011,158
"6",31826,51,118110,72268,843
"7",57298,14,17733,11333,86
"8",35048,32,150824,109548,936
"9",35456,12,79754,44457,335
"10",11706,17,39869,26233,188
"11",161,53,175937,147851,1662
"12",27552,51,223758,147348,1414
"13",34393,10,76869,62809,641
"14",1149,21,56467,43770,549
"15",1673,392,203597,609881,6602
"16",6646,36,79335,49268,254
"17",26744,71,212503,146422,1551
"18",3564,89,193270,124110,882
"19",26977,57,74506,46887,443
"20",35517,24,42988,36400,323
"21",57157,8,18285,10286,73
"22",35086,28,25843,27265,150
"23",9087,1135,3486828,2847061,36964
"24",27789,84,347634,232646,2917
"25",22543,6,21130,13746,163
"26",8426,108,246013,158966,1820
"27",31249,38,95033,62003,574
"28",8841,15,46152,32886,339
"29",9751,44,103975,81549,927
"30",91005,61,215021,149429,1941
"31",27831,65,220077,114151,1435
"32",35018,198,30941,5838,0
"33",34799,106,212650,167990,929
"34",32257,145,245270,130448,881
"35",30332,16,35356,19430,75
"36",30619,12,53913,32007,401
"37",19795,51,161620,126562,1420
"38",27942,99,476921,292272,1590
"39",22051,277,770108,399755,5105
"40",25002,31,102902,60792,762
"41",32266,62,656654,363171,3760
"42",35559,13,27918,21183,256
"43",35189,120,132068,94837,1186
"44",14936,25,73541,56630,548
"45",30400,55,162008,120181,1167
"46",18489,127,265510,222882,2797
"47",26568,36,137070,91186,788
"48",14311,13,54077,44003,430
"49",32304,6,25275,13153,107
"50",7506,168,627541,334801,3723
"51",22658,57,178058,150758,2134
"52",9812,6,25413,20572,123
"53",5682,20,77388,48951,535
"54",28380,88,212846,135087,1676
"55",26973,117,497558,428159,4844
"56",33914,1,77066,17899,0
"57",8251,19,62158,44356,415
"58",8822,10,27395,16560,161
"59",31372,19,39899,22794,966
"60",11687,246,613746,394821,3378
"61",29472,70,198373,131087,945
"62",33535,544,892571,853631,14887
"63",18664,2,257438,216761,802
"64",35408,22,35403,28814,356
"65",27642,239,1092717,641826,4107
"66",57072,20,57328,49391,536
"67",34939,26,76406,66503,610
"68",57103,20,73635,46172,480
"69",25332,21,4203,1087,0
"70",31217,69,163648,123937,1139
"71",34885,9,47367,26215,267
"72",27197,75,552400,349780,4344
"73",35267,36,769414,322174,1008
"74",19600,70,86435,39011,389
"75",15696,33,75982,42178,528
"76",35224,16,31317,20080,213
"77",34676,30,100820,81545,3521
"78",35314,10,35000,20468,220
"79",10361,101,195026,144826,910
"80",29087,44,157517,79669,410
