"","cert","numemp","asset","RWAJT","RBCT2"
"4640",22334,29,184110,148440,1857
"4641",23007,81,162708,122441,1556
"4642",19118,13,29127,18649,187
"4643",31469,677,7030032,2216607,28437
"4644",28866,183,2526633,1819576,22764
"4645",1388,6,25441,16318,204
"4646",713,284,1495201,989207,12332
"4647",28356,36,157925,87012,538
"4648",1008,29,72251,56184,703
"4649",1837,24,80695,52395,660
"4650",17899,40,191136,74158,929
"4651",27989,23,191635,114664,1475
"4652",34332,161,507606,362729,3466
"4653",27955,22,76389,42986,537
"4654",13112,61,182871,106867,1337
"4655",9672,26,67716,44164,553
"4656",9719,73,277493,192330,2368
"4657",9260,122,567207,399149,5013
"4658",57034,28,93474,71332,703
"4659",1654,55,182874,107177,1348
"4660",17431,30,63295,41632,540
"4661",16924,79,304793,230221,2900
"4662",28277,48,231475,136881,1712
"4663",19340,48,112891,73488,952
"4664",58234,26,100885,62545,794
"4665",18169,978,5943837,3867534,13889
"4666",57463,128,526032,427745,5523
"4667",34252,67,614701,232092,2931
"4668",57065,34,195623,140262,1802
"4669",20774,258,1203542,933420,11713
"4670",34585,16,157332,104483,1314
"4671",58415,37,206585,120228,1521
"4672",34089,42,161850,102227,1345
"4673",57246,54,284440,236782,3007
"4674",34940,294,995596,813673,10275
"4675",26299,78,348912,176148,2221
"4676",32172,155,951736,782118,9023
"4677",58137,20,139439,82053,1051
"4678",35498,116,812498,613827,7673
"4679",57740,36,167761,136898,1744
"4680",57872,16,63448,46141,588
"4681",24045,931,5455258,3690413,47211
"4682",30067,7,40098,19557,244
"4683",14522,21,84144,48869,275
"4684",58763,30,157285,89526,1081
"4685",23632,68,232910,108685,1405
"4686",12103,17,95295,56788,558
"4687",57880,21,137031,107838,830
"4688",17563,86,480055,253028,3174
"4689",14492,43,139335,120752,1047
"4690",15116,10,40009,26147,214
"4691",13990,7,31334,14390,180
"4692",20448,26,42771,25636,328
"4693",34108,38,212498,134982,1025
"4694",57989,21,95355,82652,1044
"4695",23415,343,980848,647628,8150
"4696",24763,33,124066,72732,534
"4697",18001,10,58363,29591,100
"4698",29676,38,156729,87534,518
"4699",58030,38,320993,237229,5523
"4700",9772,14,30852,21540,264
"4701",35100,92,1142442,877758,22832
"4702",57874,55,257066,185444,2339
"4703",26218,130,760788,687229,8645
"4704",13054,24,43614,31419,392
"4705",57057,61,727821,545187,6918
"4706",28053,56,207628,115475,1452
"4707",1904,36,258744,189890,2380
"4708",34038,19,262067,166718,2098
"4709",8851,13,30915,21264,268
"4710",19381,33,86238,58195,733
"4711",58408,67,552091,412966,12139
"4712",28235,178,783457,602979,7631
"4713",34888,59,725227,643179,8123
"4714",58796,30,194236,168136,2085
"4715",30237,366,1797278,1137519,12810
"4716",57158,37,115278,91021,1155
"4717",20160,34,113914,89768,1134
"4718",19008,264,2532480,1973416,32437
"4719",58588,22,97390,79247,1010
"4720",57215,46,308834,250732,2957
"4721",14134,175,547073,380102,5109
"4722",15977,105,411993,263366,3382
"4723",57497,1,66988,13849,0
"4724",1992,46,149251,113248,1421
"4725",3258,210,1265656,988740,12458
"4726",14783,24,57538,36405,456
"4727",57789,32,133651,110472,2717
"4728",57416,62,235493,160937,2021
"4729",34098,11,59812,41546,526
"4730",34823,27,117389,107660,1389
"4731",58273,17,160979,132709,1674
"4732",58133,18,99258,87611,614
"4733",58077,20,91189,52350,620
"4734",33928,156,709453,387847,5552
"4735",58248,29,132395,106011,1329
"4736",18019,39,95094,60589,767
"4737",57651,39,97916,74614,861
"4738",12609,48,216395,120838,1512
"4739",24303,16,84465,56682,712
"4740",9314,291,1732671,1277148,24732
"4741",9313,43,115235,66936,844
"4742",57232,0,41709,8258,0
"4743",57923,24,145548,112853,1440
"4744",68,24,56478,34531,428
"4745",11035,287,1518494,959842,11597
"4746",18132,30,156722,62752,558
"4747",29582,13,40124,32869,413
"4748",58483,14,191435,131659,1111
"4749",19430,10,24114,13850,168
"4750",15441,18,62363,36568,356
"4751",8329,20,137998,123055,1319
"4752",6176,77,253819,179177,2254
"4753",57844,96,477472,402280,5034
"4754",463,225,910652,596159,6800
"4755",90208,107,618339,435181,5182
"4756",22756,31,136089,102419,1290
"4757",34146,17,85410,53489,635
"4758",444,82,239941,157061,2003
"4759",27334,4893,24372234,18589166,165107
