"","numemp","asset","RBCT2"
"15448",8,20711,98
"23309",79,153891,1344.37
"22039",17,41158,463.07
"16419",43,65968,547
"4788",7,15196,84.04
"31826",37,76650,512
"33619",111,307309,2095
"11706",20,29563,98
"27552",44,117348,738
"34393",7,34139,213
"1673",188,77923,990.01
"19713",48,88829,693
"6646",29,60272,257
"26977",42,56716,326
"20662",10,24972,109
"19593",17,26416,206
"9087",862,2433826,24672.99
"27789",78,288959,2326.15
"22536",33,75082,383
"22543",6,19346,117
"8426",89,184276,2210.1
"31249",49,78476,498
"8841",22,67576,542.55
"9751",37,77267,702
"27831",58,189908,1181
"35018",0,5523,0
"32257",101,170368,712
"30332",14,33399,98
"30619",14,43648,294
"19795",40,138119,1445.16
"22051",196,559231,2908
"27942",62,334281,1330
"25002",30,76267,441
"27093",14,80668,1015
"32266",54,546898,2718
"14936",18,54179,384
"18489",100,220048,2219.05
"26568",35,107247,602
"14311",13,49971,352
"32304",6,23142,27
"7506",164,495514,3334
"22658",50,132517,1114
"9812",6,21148,134
"26202",15,39340,233.23
"5682",20,62555,442
"28380",71,150247,1141
"26973",42,64756,444
"10922",14,16905,122
"33914",9,249861,0
"8251",18,50302,270
"8822",10,22862,196.17
"13435",79,175145,1601.64
"31372",21,37812,724
"33104",101,283915,1593.92
"29472",51,117558,512
"33535",150,203923,2211.87
"18664",2699,1992765,3152
"25332",61,210154,2090
"31217",51,101191,0
"91005",50,204465,1849.57
"34885",4,9098,54
"27197",28,145505,1296
"19600",36,61766,359.37
"15696",35,69474,418
"34676",12,9674,3
"10361",72,118578,508
"29087",44,161235,481
"29849",62,106148,681
"34525",228,685828,1728
"32106",1180,3689416,28746
"17230",120,338638,1877
"34106",17,34183,291.75
"29349",28,72847,262
"17622",39,77767,660.33
"9831",56,144791,950
"4061",9,16800,159.05
"29561",14,45991,148
"13080",48,128653,686.23
"2773",250,544205,4396
"23032",20,43373,264
"20093",30,29273,144
"34388",24,35951,184
"6058",93,225258,1659.97
"1078",184,617030,5693.95
"8583",23,45770,322.82
"15062",23,41200,272.01
"34427",11,25051,185.6
"9296",25,66230,618.34
"34930",7,7430,6
"10106",36,117180,694
"11569",215,312123,1971
"1932",85,236917,2151
"34566",15,24625,129
"23124",24,76344,1299.57
"34473",21,40945,244
"30196",71,183348,1372
"33468",37,69052,575.59
"33684",NA,501434,0
"15699",25,60322,574.66
"15426",12,15171,159.6
"10790",54,122649,586
