"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"26979",9,13444,87,22.3307584837253,23.335296223169
"26606",21,39028,219,9.88442822384428,10.6966945581865
"16419",33,46088,354.58,11.5774782520164,12.8309567981538
"4788",7,14247,52.8,45.1519536903039,46.4254703328509
"23406",146,685574,4315.8,14.9283406268896,16.192075523079
"33619",13,20440,90,10.2532856375382,10.8429314569493
"27552",25,51360,259,18.0195455806641,19.0176341831859
"1673",41,29964,253.02,9.78399338681916,11.0470270637237
"28284",290,657111,3385,0.840102549593351,1.6802050991867
"6646",29,57708,234,18.6575766051817,19.3768307939152
"26977",20,27278,163,20.2172620797324,21.2820161084873
"17316",39,152990,813,13.170170729517,14.1842202420747
"21170",34,42121,249.73,15.5724451895524,16.8237021834993
"30187",15,37318,76,16.2014537009161,16.528321362522
"22419",158,261861,1063,13.1724451961231,13.9240452628691
"20662",9,18444,111,14.8289264584809,15.8915545003734
"19593",11,18341,151,12.2087674366561,13.4603111453697
"9087",704,1372308,18515.86,9.83280790799895,11.7261408388579
"14181",19,40455,235.26,22.9903994488295,24.2488269440207
"22536",31,43582,258,12.6805519331321,13.7486493535527
"22543",6,13157,82.82,15.2468076996379,16.4995265624196
"27136",75,130788,1171.66,12.4295760783783,13.6831903598617
"21442",38,96087,1052.09,15.2044410600883,17.6110064873349
"8841",21,50762,405.29,10.6524502332769,11.9031256547847
"27831",60,146651,185,11.3475678733032,11.5655637254902
"32257",90,65971,647,10.433224248091,11.6935483870968
"30619",14,40078,260,11.5434625571876,12.7955694678546
"19795",31,74042,682.49,13.4621080547973,14.7200152462429
"22051",116,323176,2150.71,14.2959701246722,15.5462847075209
"27942",55,196984,970,12.1782915603696,12.9704153995407
"33504",35,69819,0,-30.8800117563497,-30.8800117563497
"25002",29,61800,242,15.3524593642575,16.2083209551698
"32266",41,201920,812,8.75227135069655,9.54553447568434
"26668",16,25146,215.32,9.67139860922312,10.9529035621695
"21109",46,53848,375.58,12.5920738752905,13.8528926185807
"14936",17,35934,244.15,17.0975910051804,18.3579704870387
"23064",6,9689,57.7,24.5917637108841,25.8430377550799
"2730",7,14035,85.78,15.9662979281897,17.222801631199
"18489",74,137839,1249.76,8.89362929517409,10.1513980116997
"26568",32,82358,588.96,16.2657412284673,17.5176846359318
"14311",9,28329,218,13.6563085371173,14.7750891688692
"32304",6,19998,10,22.7332300726796,22.8523769808174
"7506",162,443639,2849.14,18.6876340087045,19.9411639806777
"22658",37,65603,776.32,9.95447182780346,11.5711780138621
"9812",6,15752,84,38.5171338209562,39.4300681440263
"26202",17,22807,111.39,15.6762100430129,16.9433893149223
"5682",20,41942,368.84,11.7917525308753,13.0505861064145
"9531",11,23127,148,11.2300134982814,12.2597792961412
"28380",50,79542,643,7.79546382135153,9.04514799914485
"26973",26,31022,242.03,4.58557657004066,5.84248154993527
"10922",9,11166,89.26,12.8456303775266,14.1001172128636
"8251",14,34530,211,21.4796349779823,22.6381735721424
"8822",10,20788,180.9,14.6696544141185,15.9285445865635
"13435",74,120733,841.9,10.2426556904468,11.4936772813053
