"","numemp","asset","RBCT2"
"15448",8,18880,172
"22039",17,43226,452
"16419",39,73989,565
"30367",26,127234,706
"4788",6,17056,115
"31826",51,107717,679
"35048",30,132448,975
"35456",12,53681,185
"11706",16,37515,170
"161",48,161088,1582
"27552",51,222429,1254
"34393",10,71017,511
"1149",23,42204,317
"1673",369,144643,2195
"6646",40,74414,256
"26744",68,196759,1419
"3564",82,197316,1360
"26977",59,78910,461
"35517",20,30357,162
"57157",8,13031,0
"35086",25,15207,46
"9087",929,3320157,16359
"27789",88,343366,2913
"22543",6,20894,155
"8426",110,249683,1875
"31249",41,87378,566
"8841",14,42630,340
"9751",43,97736,876
"91005",56,220148,2044
"27831",60,198380,1767
"35018",2,21338,0
"34799",91,34153,1
"32257",137,223800,875
"30332",15,35619,78
"30619",13,52066,381
"19795",51,156709,1534
"27942",97,462206,1067
"22051",266,816074,4176
"25002",33,102501,636
"32266",60,755738,3580
"35559",13,20926,180
"35189",98,94560,783
"14936",24,70098,497
"30400",69,160545,1193
"18489",128,251926,2706
"26568",34,133486,740
"14311",13,51275,430
"32304",6,24415,93
"7506",158,565541,3757
"22658",57,160552,1892
"9812",6,24499,131
"5682",20,74203,483
"28380",83,189939,1541
"26973",118,423605,3488
"10922",13,21405,161
"33914",1,117193,0
"8251",18,61348,414
"8822",10,24319,176
"31372",19,40371,1007
"11687",258,599540,2586
"29472",55,168730,779
"33535",249,991793,26850
"18664",12,445162,402
"35408",22,23298,227
"27642",212,1020705,3175
"57072",17,37091,334
"34939",27,75358,492
"57103",20,41239,180
"25332",21,4894,0
"31217",65,151378,1123
"34885",9,35425,182
"27197",67,409025,3531
"35267",14,23589,192
"19600",57,80531,368
"15696",33,73996,565
"35224",13,24683,154
"34676",27,81927,3314
"35314",9,26332,170
"10361",93,177987,893
"29087",44,146563,410
"29849",74,143527,799
"35029",26,76344,602
"17230",125,407560,1996
"34947",23,75610,654
"34106",24,53359,510
"9831",59,173937,764
"17622",45,122107,1081
"3931",248,424024,7339
"4061",9,26544,240
"29561",24,49634,297
"13080",50,149584,765
"2773",247,670011,5889
"20093",29,35337,191
"34388",49,82316,511
"6058",102,248607,2243
"35078",13,37011,359
"34987",10,41735,250
"35265",15,34760,238
"1078",305,1155525,11379
"8583",26,57179,473
"15062",23,44428,192
"4822",5656,16507363,310014
"23834",1,73570,160
"11569",159,314080,2154
"23124",37,139783,3921
"34664",18,100720,510
"34566",21,50720,346
"34930",10,32671,349
"1932",89,299382,2827
"35140",18,55103,327
"16635",16,26711,183
"34473",38,91637,563
"7237",275,647834,3810
"33468",71,105914,798
"35146",12,65197,203
"35173",20,46242,354
"33684",NA,1547708,NA
"34782",47,79345,0
"15699",27,76453,757
"15426",10,16301,162
"10790",52,150894,697
"23091",422,841481,6301
"18545",170,358386,2577
"35377",12,115264,170
"19590",53,101534,776
"8276",13,34899,113
"27711",39,116925,884
"10173",11,37059,210
"9465",36,177544,1520
"622",516,2874074,3475
"903",206,560778,4499
"14531",516,1314524,12330
"34302",31,53855,413
"28701",37,182849,545
"6423",225,1560012,15339
"3735",1148,3989863,32698
"27267",30,140438,806
"29031",170,507159,1663
"6782",65,83062,375
"20726",32,95641,800
"35461",15,30852,155
"19594",38,68611,608
"19838",64,166978,1560
"21614",59,129073,776
"20557",32,69530,680
"27501",136,571537,4266
"34422",41,320701,1448
"32328",38,156716,841
"24678",39,84079,629
"19234",19,59528,530
"17906",44,82308,511
"35568",13,31189,276
"20156",85,180252,1216
"20537",60,149501,931
"34955",124,269633,2237
"21919",59,95965,723
"10973",23,64527,513
"4624",24,72607,312
"34232",12,15513,154
"18609",150,345617,2886
"26498",165,936358,6742
"20311",64,238172,1757
"34606",22,38967,180
"20473",302,694172,6152
"23433",44,106440,944
"10954",26,86027,638
"15836",14,28071,208
"21567",19,25036,215
"23886",87,198677,1206
"20241",226,419878,2934
"5800",29,126389,1262
"20504",57,161716,1694
"34788",32,180016,1255
"27006",143,695111,6061
"21663",46,98135,514
"21224",110,272899,2746
"35412",25,122317,883
"34868",58,164937,1591
"33994",26,143106,1297
"35033",11,31844,168
"34523",16,55804,484
"31581",7,30726,33
"34090",35,127742,491
"428",39,57076,339
"10647",9,24722,230
"2328",16,35858,223
"27471",1468,17303048,232868
"35328",14,4532,0
"29140",127,253802,2140
"30182",72,166032,660
"34656",61,192688,1762
"57113",13,17914,107
"32525",33,121316,200
"35223",8,25523,205
"57025",18,24700,102
"4190",186,390071,1926
"8843",67,154051,1335
"239",19,51515,488
"1439",15,65855,591
"25192",393,545336,6100
"26764",60,129626,1451
"30950",3,6129,22
"16730",86,222890,2131
"34334",14,29914,278
"19300",243,705001,7667
"18806",19,33224,285
"33993",16,70434,698
"35562",5,20135,98
"26398",30,99735,1005
"22373",95,227996,1589
"57156",4,8810,36
"24472",52,105521,516
"25621",52,121631,724
"33812",20,97170,978
"6837",199,563078,5151
"3619",1271,12864602,546581
"24481",28,85631,721
"24334",17,46609,289
"23001",31,79427,622
"24655",53,217574,1956
"29899",10,33294,61
"31980",19,48824,563
"9104",7,36143,249
"18246",293,1894458,37027
"30385",13,53937,226
"30617",50,235535,1547
"32526",1223,5997698,34492
"29597",25,139733,713
"29878",28,138805,682
"34549",5,29114,214
"26944",28,75969,552
"22569",19,45969,335
"16701",537,1308843,7252
"20292",18,16480,94
"15432",9,19511,134
"9645",35,55905,270
"5617",72,222043,1146
"228",65,246269,2453
"1117",44,112065,1122
"15444",72,157718,1417
"57144",8,23297,81
"19115",74,123441,969
"10204",7,17547,143
"22263",8,13950,121
"20712",19,42557,500
"22554",30,83217,800
"21131",40,158184,1481
"8266",121,184187,1135
"13150",182,541278,4953
"13099",57,120178,459
"10120",10,34511,282
"30713",3,8497,143
"8205",61,91290,662
"5174",96,94098,610
"29668",23,80512,174
"22441",240,593315,5134
"27531",22,44229,376
"34294",13,23460,204
"19418",49,147488,991
"2838",32,133280,714
"23671",67,60064,518
"22444",37,123936,857
"7542",391,1307015,5379
"15510",46,102830,267
"57115",12,21765,85
"5417",41,94150,743
"28393",355,192847,234
"28949",7,48661,78
"26800",12064,38430225,692555
"33784",74,126800,569
"91325",10,311264,0
"15354",25,45934,299
"22381",17,34173,184
"33467",26,69487,567
"5147",20,61531,560
"18903",70,220564,1754
"12922",10,47149,388
"8868",48,173240,1372
"28454",115,368390,2274
"11681",4,12343,73
"29979",722,3134520,23544
"22959",8,20383,86
"34149",13,41787,334
"9923",112,199125,1751
"10858",13,43839,393
"18483",7,13966,109
"23284",297,1639364,13394
"16410",21,56857,308
"22015",85,166885,1380
"17751",158,462543,3182
"32018",23,43128,195
"33134",54,252460,2623
"11682",23,54018,148
"10989",33,83459,649
"30079",5,30391,233
"9619",32,64581,430
"6051",51,121817,924
"23684",25,83898,704
"16068",715,6145575,25921
"17453",28,135679,887
"32649",100,77298,665
"33655",NA,415313,NA
"21001",54,127671,542
"18625",89,291091,1561
"31813",4,5122,20
"18478",706,2391800,22157
"28507",17,55444,92
"15392",7,14343,116
"32960",25,88687,300
"13304",47,95852,759
"33901",157,468293,3868
"18277",50,109468,726
"26822",55,95595,467
"1391",20,50062,291
"35354",24,10088,48
"4666",575,469062,2276
"2315",152,253447,1251
"29471",7,57228,162
"29743",23,68677,230
"9967",52,101074,272
"1198",37,89516,178
"35578",9,21378,244
"15085",93,170547,1367
"17123",126,412520,2818
"28780",68,309081,2819
"26867",298,480429,4302
"3879",45,56919,503
"3891",210,605474,5374
"4081",70,122610,1051
"34012",126,190390,2097
"13595",55,124215,974
"25661",337,603672,5748
"22671",19,76076,562
"32422",3,9362,25
"29663",145,408340,2963
"1436",4,7216,81
"11343",7,23465,217
"25745",86,318618,2146
"34095",28,129995,1460
"33825",42,93233,804
"24497",17,50001,353
"34759",21,22797,163
"33013",16,45025,341
"34831",15,32761,362
"22177",114,594974,5342
"34916",703,2839070,21806
"21222",167,725466,7357
"5296",2212,9142069,83947
"34208",58,32069,0
"33792",9,170547,929
"33367",459,392058,1883
"34976",9,13384,92
"29805",1891,22436217,81376
"24064",17,46281,147
"29085",59,147179,798
"28225",207,705930,6584
"9631",16,51622,226
"90146",75,204015,2978
"27293",22,77057,1237
"9096",7,22992,132
"21641",90,227088,1584
"5915",366,2016051,17272
"24829",25,322364,2846
"45826",124,362607,3317
"30243",21,117878,345
"34677",27,111041,736
"32335",47,490631,1639
"34340",270,748894,5776
"26390",88,256832,2245
"30783",9,64406,50
"1396",8,19260,195
"284",23,53719,432
"34557",28,68524,580
"28288",12,54882,173
"11477",22,64887,407
"35",106,430178,3531
"26336",45,269768,1143
"28191",19,102330,418
"5814",24,54002,480
"11694",74,186374,1482
"3276",298,546451,4549
"35115",10,4424,0
"13191",13,62674,224
"26617",8,43154,256
"10171",18,78119,545
"34290",18,16689,0
"30691",19,119839,615
"21265",106,499408,3267
"13272",16,61966,556
"2987",188,378353,2489
"26704",43,80984,959
"32004",42,125916,449
"34456",18,35310,212
"6959",123,240858,1865
"34440",2,13650,42
"32341",128,366788,1623
"11652",94,308047,4347
"27476",1378,2514420,22434
"19919",1321,4816825,93525
"22302",72,90019,788
"34968",6651,18545000,144000
"34967",2112,5174782,48878
"35208",78,37261,37
"20828",1613,7347785,51204
"11813",3856,9300811,81680
"12342",18,38982,364
"26653",13,23076,186
"18408",506,1337354,12849
"1047",90,162599,1318
"1961",66,108629,846
"34554",33,59650,625
"8560",27,56271,454
"33927",14,33364,161
"24516",52,724249,5633
"9644",366,945882,4081
"22559",62,162146,1376
"33686",NA,2660072,NA
"16604",125,317848,2910
"4456",36,90407,773
"17426",14,42763,376
"11354",25,76495,447
"19842",393,3881749,91598
"5170",110,342635,3038
"32964",749,2711354,21015
"15093",38,85400,616
"34421",24,41958,393
"16601",18,51320,413
"11782",41,110339,660
"19434",80,196499,4133
"13290",48,125281,1626
"22130",73,208433,1929
"34577",35,112927,1055
"155",26,49665,401
"34992",158,1002481,3396
"26689",20,124198,1164
"24799",38,96179,814
"25178",1,103754,154
"57117",1,152146,0
"35453",1,8488443,13934
"3510",135000,563844000,15519000
"27595",2382,22636842,453057
"12773",154,370781,3367
"34830",12,64019,532
"8243",28,75175,787
"34120",57,206476,1224
"33482",29,138312,912
"8252",18,63436,199
"19877",57,119254,1023
"581",12,18161,97
"33681",NA,55377,NA
"23123",144,476451,3287
"16282",12,29828,143
"1465",13,21504,154
"18930",27,41368,189
"1623",40,63545,400
"8595",14,40921,349
"15817",5,12712,112
"287",133,254859,1777
"100",207,613604,7217
"15267",8,23092,242
"16959",9,24403,68
"8278",12,25021,155
"1756",8,15280,104
"9788",31,119240,829
"32722",169,446253,4294
"10883",16,48307,218
"34397",25,64877,435
"6137",65,154860,1177
"5605",28,56006,377
"15833",21,39206,335
"11245",27,99493,211
"9385",24,62358,402
"35439",20,51795,391
"2733",10,37493,302
"15906",15,41201,225
"20239",29,77568,468
"8254",24,60885,475
"12549",29,64253,494
