"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"15634",26,41224,25900.46,324.96,22.2158216494997,23.4704711808207
"13732",33,65349,42018.5,499,11.8828611206968,13.0704332615396
"2409",45,73351,33891.53,430.83,23.9381343952309,25.2093369641323
"12195",23,48132,25742.6,229,14.0933705220141,14.982946555515
"12392",21,48283,27536.29,345.99,16.7342804713344,17.9907678194848
"9932",23,92587,65167.03,816.03,17.2357095298036,18.487922497005
"1129",93,155058,129169.3,1545,12.8467058349004,14.0428104820573
"9791",28,86216,34947.99,440.79,33.9390047896889,35.2002790432297
"2289",19,38619,22258.5,227,19.1522339780309,20.1720690971988
"33243",71,148472,99085.8,1014,10.5191662175609,11.5425217336894
"31239",8,19075,11006,52,16.0276212974741,16.5000908595312
"26593",9,44911,21443.2,245,19.3487912251903,20.4913445754365
"8126",34,67599,33909.9,425.1,20.0265999015037,21.2802161020823
"22229",17,19071,8334.36,104.86,14.9621566622992,16.2203216563719
"30024",568,1457048,657205,7485,17.8175759466224,18.9564899840993
"26930",32,135075,74705.7,861,11.3619174975939,12.5144399958772
"27072",16,11974,10458.73,233.43,9.85779344145991,12.0897087887344
"27251",24,57123,27106.04,341.24,20.0840845804109,21.3429921891947
"1587",22,35436,21707.7,166,12.2721430644426,13.0368486758155
"1687",9,23980,10201.39,128.49,43.0529565088679,44.3124907488097
"57",194,328558,207811.9,1967,11.8000942198209,12.7466232684461
"17108",77,150071,79950.7,617,15.9723429563469,16.744068532233
"33853",22,30364,17368.72,217.42,25.07956832743,26.331358902671
"27507",42,96255,70471.07,882.77,10.6909118876725,11.9435819549781
"12387",29,52507,35936,225,14.0805877114871,14.7067008014248
"8975",28,39574,26399.34,330.84,11.4131641169817,12.6663772654922
"14649",12,32162,18669.19,234.39,28.0676344287031,29.3231254275092
"17690",8,14836,8227.8,38,22.4725929166971,22.9344417705827
"17117",16,18024,12213.8,140,13.763120404788,14.9093648168465
"13147",42,95790,74611.75,937.15,10.2503962177539,11.5064316277262
"25752",25,26295,15618.8,89,12.2416574896919,12.8114835966912
"24315",320,731631,599987.86,7575.76,9.91570062767603,11.1783528420058
"12431",23,38845,24268,259,10.2563045986484,11.3235536508983
"1089",78,129757,83760.76,1049.66,9.27522625152876,10.5283906210975
"21000",40,40800,19559.05,249.35,17.6082171680117,18.8830745869559
"20202",63,100957,45102.96,566.56,19.8922642771117,21.1484124323548
"25230",23,40717,26453.8,327,12.5085998986913,13.7447172050896
"5702",108,162331,112981.99,1415.89,12.6073190957249,13.8605188313642
"875",35,53072,34867.11,439.21,11.4377130768796,12.6973815724905
"18472",108,216626,145278.9,1661,12.9743548443718,14.1176729724688
"27108",66,89763,42586.26,535.86,12.973668032835,14.2319612006314
"17076",46,59401,41278.6,386,9.98095865654359,10.9160678898994
"30319",62,177271,108566.72,1359.02,25.2710959675304,26.5228792027612
"29916",45,86104,60530,226,12.9307781265488,12.8415661655377
"33967",7,10516,7031.6,50,30.8037999886228,31.514875703965
"13068",100,164456,56454.9,708.9,18.5262926690154,19.7819852661151
"32968",12,27293,15724.97,197.07,13.1637771010056,14.417006836897
"25796",17,26929,18154.48,229.18,12.9940378352891,14.2564259620766
"8709",19,34645,21307.62,266.82,15.2903045952575,16.5425326714105
"33011",42,105010,86189.22,1078.92,11.2531474353753,12.5049513152573
"14530",147,347089,174380.53,2201.03,13.861639255254,15.1238386533175
"19649",91,121025,88963,1114.7,12.0522014770185,13.3051942942572
"14979",6,12872,8428.6,97,15.0321524333816,16.1829959898441
"8188",9,16632,11802.92,147.72,11.2768704693415,12.5284251693649
"8192",10,16201,10456.6,107,14.7753571906738,15.7986343553354
"22644",55,97143,70252.6,819,15.3389340750378,16.5047272271774
"571",62,142570,75633.8,930,24.346257889991,25.575866874334
"12349",8,16305,9620.25,120.65,13.7834255866532,15.0375509991944
"33883",24,32443,19329.1,204,17.1658276898562,18.221231200625
"18568",4,15825,5063.9,40,24.2105886767116,25.0004936906337
"23551",10,35954,16238,203.1,22.3057026727429,23.5564724719793
"26961",26,77568,52456.9,538,10.0501554609594,11.0757593376658
"33805",15,44085,29614.24,370.34,13.9054725024178,15.1560195365473
"19734",14,23902,12936.48,162.28,16.1635931876368,17.4180302524334
"33137",13,35474,24155.6,245,13.350941396612,14.3651989600755
"21258",137,221704,162587.7,2032.5,15.936014839991,17.1861094043399
"19097",8,10204,4199,38,16.5515598952131,17.4565372707788
"19143",53,72021,48854.53,618.83,17.2327929467339,18.4994717992375
"22476",39,39049,16431.78,206.68,20.4786091342508,21.736415653082
"34092",11,5519,1976.9,0,200.76888057059,200.76888057059
"22636",14,34161,17998.2,132,20.2075763131869,20.9409829871876
"8879",66,137174,95418.52,1193.12,10.8500949291605,12.1005020828242
"23189",26,48091,23730.1,175,17.4209126805197,18.1583726996515
"34043",16,36580,26143.9,246,30.5386725010423,31.4796185725925
"33583",27,89635,56245.8,625,13.353885979042,14.4650800593111
"32724",18,42556,26995.99,337.89,13.4390329823059,14.6906633170334
"91151",36,37859,28728.3,209,10.1467890546952,10.8742946850318
"19681",42,78981,55688,606,13.6869702628933,14.7751759804626
"19189",25,50615,29883.91,374.91,12.1001569071785,13.3547116157156
"16090",31,67437,37772.3,309,13.6025606065821,14.420620401723
"22867",17,34881,19467.3,238,14.5320614569047,15.7546244214657
"14604",10,32043,17979.07,225.67,21.753071766226,23.0082534858588
"920",17,38682,23664.3,153,18.3525394793,18.9990830068922
"28915",72,215496,96715,600,21.2180116838133,21.838391149253
"33859",14,24083,11805.8,110,33.1447254739196,34.076470887191
"15325",203,297399,185327,2145,10.6201470913574,11.7775607439823
"27164",22,88179,57525.6,623,15.1602069339564,16.243203026131
"27331",12,15717,10577.75,132.85,11.7227198600837,12.9786580321902
"18889",9,26885,11045.6,74,38.8661548489896,39.5361048743391
"18076",8,11006,6555.4,75,20.2733624187693,21.4174573633951
"10056",10,23825,19085.09,239.29,10.2855160756381,11.5393220571661
"9760",21,44022,29084.45,364.15,13.0275800298785,14.279623647688
"10170",14,31275,18218.4,197,16.7742502085803,17.8555745839371
"29288",50,197672,105930,901,14.66251298027,15.5130746719532
"34062",13,7191,3813,30,70.7054812483609,71.4922633097299
"24736",21,49398,30894.7,305,13.2773582523863,14.2645825983097
"7848",92,144006,87376.4,1098.3,19.0841005122665,20.3410760800399
"6989",572,1151189,612447.6,6976,10.4941222726646,11.6331584938858
"33953",15,35276,20302.3,127,14.5648522581185,15.1903971471213
"21132",12,35980,21718.8,192,11.7593973884377,12.6434241302466
"7616",163,315100,212477.3,2280,14.6876866375843,15.7607424416632
"33880",7,13075,8456.7,75,31.1469012735464,32.0337720387385
"33199",9,28678,17678.07,223.17,22.2196201282154,23.4820316923737
"29111",9,41118,18941,233,52.299245024022,53.5293807085159
"29178",19,69212,33276,419,32.1312657771367,33.3333333333333
"30417",29,157462,97575,737,18.272098385857,19.0274148091212
"28718",22,169093,74523,562,28.8367349677281,29.590864565302
"10518",21,41051,31995.7,395,10.9764749638233,12.2110158552556
"12512",21,33021,20569.65,257.85,11.1426300398889,12.3961759193764
"11595",39,79384,47130.36,591.96,29.2826110388293,30.5386167217904
"27393",9,29812,20582.79,259.79,16.5235130903051,17.7856840593525
"32085",196,309290,176698.8,1686,10.5665686467593,11.5207347191945
"22974",17,31270,23830.25,298.55,11.3091553802415,12.5619748009358
"10522",24,49059,35218.04,440.54,12.6866798947358,13.9375729029781
"32838",29,84001,45043.29,563.19,20.4603171748778,21.7106476902553
"27746",229,759712,449884,4587,13.4714726462822,14.3234700500573
"6584",17,27967,16969.56,213.06,15.0092282887712,16.2647705656481
"7953",19,35044,19169.09,243.59,30.0275078264018,31.2982515080267
"6682",15,26664,18629.99,233.79,12.179287267465,13.4341993742348
"5148",59,165632,123020.1,1458,8.86684371090578,10.0520158900863
"3915",33,98212,69189.2,765,8.73546738508322,9.84113127482324
"3924",124,351947,259593.2,3216,9.19477089538555,10.4336323139435
"5281",95,313156,221828.8,2736,9.34820005337449,10.5815836356686
"3492",87,262711,163483.18,2052.48,12.0073514596425,13.2628200650367
"23407",43,57715,40411,259,10.1704981316968,10.8114127341565
"5184",72,233115,177912.5,2056,9.33773624675051,10.4933605002459
"10646",128,313137,229690.88,2871.18,9.68519080949144,10.9352099656721
"9527",38,88831,58686.6,719,12.1884723258802,13.4136242344931
"9292",60,161887,107013.23,1338.63,14.7084617481409,15.9593631553781
