"","numemp","asset","RWAJT","RBCT2"
"35260",8,503371,484328,4456
"57899",13,119116,105199,1021
"15448",8,26122,19082,244
"16522",121,481242,312241,3908
"22039",24,98764,72747,593
"16419",47,106456,68570,726
"30367",36,195110,139431,770
"4788",7,18773,11820,148
"31826",69,195777,126805,1077
"57298",36,121009,93586,1003
"58485",31,113978,94807,1187
"33025",139,938214,550427,7075
"57657",41,254877,237998,2977
"35456",37,225551,157862,1546
"58358",20,39122,30953,393
"11706",17,50507,39291,339
"27552",112,513276,411382,3729
"58321",38,224778,148325,1403
"34393",12,116430,92681,997
"57611",5,61444,42194,528
"1149",24,127733,106160,1335
"1673",593,494177,476890,8014
"11338",69,297665,241857,3085
"58548",12,33772,19623,126
"6646",42,109377,75177,705
"3564",102,342239,219305,1555
"26977",62,119837,73311,754
"35517",107,445130,407208,9105
"57157",20,81958,76291,960
"57633",117,234306,230407,2884
"9087",1251,4390073,3694517,46546
"57626",32,132216,119271,1206
"22543",4,24467,14402,127
"8426",144,503484,329098,3870
"57869",20,85588,70221,646
"35408",159,621676,493756,9861
"31249",39,126666,90713,688
"9751",66,400987,355000,3859
"91005",63,152611,107892,1363
"27831",52,249364,120316,1399
"27207",14,59591,45190,573
"32257",135,230245,126808,1002
"30332",16,31002,19034,84
"30619",17,89861,54045,678
"19795",63,254674,215982,2700
"26549",18,84191,51882,371
"27942",154,1160501,733368,2890
"32266",87,1565125,950046,8764
"19600",288,355424,307118,3870
"4061",19,49002,35406,308
"58562",21,58371,39114,427
"58727",13,40100,31294,223
"16476",12,44440,31829,404
"35189",266,655681,538929,6751
"14936",30,112283,95882,1057
"18489",155,477433,424011,5306
"26568",40,202092,132786,2436
"14311",12,79648,72050,740
"32304",6,22952,12261,140
"7506",239,921342,622605,7805
"58697",12,29556,25053,314
"22658",76,344404,302526,3795
"9812",8,32604,24522,174
"57962",21,58422,39008,45
"28380",146,479792,265333,2772
"8251",27,95965,75310,782
"8822",10,28728,21590,219
"31372",40,77755,50799,337
"18664",20,42963,16782,151
"33535",771,2654464,1822427,39982
"57072",79,422381,385910,4024
"29864",257,1024165,698200,7465
"18152",38,48052,34971,438
"10375",28,115518,110886,1302
"57103",57,388288,325713,3976
"31217",89,280021,212935,1469
"28225",287,1618779,1407745,16397
"34885",28,129767,105119,828
"27197",165,1247692,917893,11487
"57478",30,130139,91158,1080
"35267",43,1320093,393029,1977
"3304",50,157296,116716,1349
"57840",15,206470,173325,2100
"35224",25,91583,70843,887
"35314",9,106216,35552,454
"13947",34,132752,89192,1089
"57845",64,253477,217145,2457
"29849",72,205558,159385,1529
"35029",28,140096,87624,1049
"17230",100,525621,412179,3987
"34106",47,206116,175701,2208
"9831",61,194674,113316,1346
"17622",55,186006,139420,1761
"3931",378,751828,640039,10353
"13080",39,135098,76223,835
"2773",262,985343,781114,9813
"20093",40,155536,86555,452
"57759",8,22607,21708,276
"6058",92,374327,248036,3398
"35078",40,166443,120813,1536
"58629",51,163676,141003,662
"35265",25,101998,68016,849
"34987",38,173277,155610,996
"8583",51,116395,82807,1040
"15062",21,54135,28180,355
"10973",176,701560,680839,8211
"11569",206,491645,387434,1378
"12511",47,133181,92515,1157
"197",68,251874,184989,1797
"23124",125,1111654,946807,11934
"34566",42,127265,111052,1398
"34930",20,71356,64481,815
"57733",30,174055,141369,1646
"15657",29,92485,64082,521
"34664",107,552057,441788,5528
"57512",148,853367,740302,26216
"7237",332,1341177,889134,8875
"57424",16,57846,42233,544
"35173",28,131702,98671,1153
"1946",42,104230,80843,932
"15083",9,15984,9926,138
"91",52,139896,105251,942
"55130",31,151434,121765,1182
"4051",6,20871,8203,103
"34782",60,931911,469873,3131
"58424",36,181445,122361,950
"15699",27,87824,73970,925
"15426",9,16167,13181,94
"58241",35,354090,334050,4431
"23091",532,2634789,2362979,17064
"18545",328,891969,708724,7422
"35377",17,220049,140612,1775
"58400",31,126811,102781,768
"19590",60,137111,102884,1248
"8276",13,45293,27484,220
"27711",51,183471,118424,944
"10173",9,43078,30417,253
"9465",36,181905,141336,1788
"622",501,4573953,2666621,33643
"903",203,746701,518793,5577
"14531",614,2627114,2257946,23877
