"","numemp","asset","RBCT2"
"35523",3,22618,0
"15448",8,19415,167
"23309",93,187754,1824.86
"22039",18,40115,410.43
"16419",38,69829,585.2
"30367",26,127005,704
"4788",6,15711,104.21
"31826",48,99201,511
"35048",28,103421,512
"35456",12,24600,50
"11706",17,35147,137
"27552",49,167035,1070
"34393",8,63230,454
"1673",276,125517,1526.96
"19713",51,155294,1285
"6646",41,67600,252
"26744",68,187037,1357
"26977",53,69624,423
"19593",16,30147,284
"9087",918,3073573,31793.48
"27789",80,337435,2788.51
"22543",6,21006,133
"8426",105,224166,1965.1
"31249",39,90620,546
"8841",15,38102,340
"9751",35,92343,871
"27831",57,197793,1139
"35018",2,6204,0
"34799",10,2040,0
"32257",125,195328,821
"30332",15,34424,88
"30619",12,50522,365
"19795",48,146178,1513.16
"22051",239,728411,4441.15
"27942",87,437422,1346
"25002",30,99247,791.88
"32266",60,811488,3036
"35189",68,51397,419
"14936",18,67902,526
"18489",117,264535,2780.14
"26568",38,126605,668
"14311",13,51338,421
"32304",6,24562,75
"7506",152,523386,3481
"22658",56,161139,1822
"9812",6,23634,134
"5682",20,73910,478
"28380",77,181031,1462.9
"26973",85,219955,1746
"10922",13,20626,192.28
"33914",1,122492,0
"8251",18,58541,341
"8822",10,24807,188
"31372",23,39175,731
"11687",232,548565,2184
"29472",57,148716,700
"33535",181,944796,19722.37
"18664",1080,1602650,20844
"35408",18,9921,30
"34939",24,60974,348
"57072",12,7054,4
"25332",23,4590,0
"35405",111,3470,25
"31217",64,139478,1147
"91005",48,207990,1976.89
"34885",7,27641,64
"27197",58,311522,3015.06
"35267",13,19814,8
"19600",51,69532,323
"15696",32,77835,558.02
"35224",12,13446,67
"34676",21,37083,397.73
"35314",11,13092,90
"10361",87,153796,885
"29087",39,146136,419
"29849",66,130047,543
"35029",19,51346,420
"17230",125,390440,1945
"34947",17,48358,432
"34106",17,41328,413.62
"17622",45,105378,958.24
"9831",60,158583,943
"4061",8,23136,223.2
"29561",23,49920,209
