"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,13,90640,69571,888
"2",22039,24,114957,65272,739
"3",16522,142,754473,355822,4508
"4",16419,42,111884,63815,807
"5",30367,37,252275,160369,1226
"6",4788,7,22307,16382,172
"7",31826,68,224837,113466,1423
"8",57298,39,138401,108027,1353
"9",32487,16,47427,26096,327
"10",58485,47,229203,189839,2382
"11",57657,47,361225,215221,2716
"12",35456,44,276149,179266,2256
"13",58358,5,36420,22805,310
"14",58773,25,49218,30105,339
"15",11706,17,56386,41111,370
"16",27552,147,729430,457821,5725
"17",58321,60,526246,348589,4325
"18",34393,7,110623,81592,1031
"19",57611,4,53337,31451,396
"20",1673,482,504361,263406,4347
"21",58548,20,85622,56304,652
"22",6646,53,108521,78201,828
"23",3564,88,308917,198032,2133
"24",26977,54,127217,67097,844
"25",57157,16,67027,51875,673
"26",57633,79,272784,229001,2887
"27",9087,1170,4342464,3359059,43053
"28",57626,36,166701,141531,1770
"29",22543,5,26340,13297,97
"30",8426,155,700061,398918,6791
"31",57869,26,129212,95737,895
"32",35408,248,1255973,595660,12013
"33",31249,36,127813,90850,890
"34",9751,54,358846,290177,3384
"35",91005,37,182018,107802,1158
"36",27831,55,244777,110443,1383
"37",35029,56,143408,107494,1353
"38",32257,114,221792,114890,1023
"39",30332,18,41863,32287,405
"40",30619,15,80379,43674,558
"41",19795,68,300335,215679,2704
"42",26549,22,96822,60624,668
"43",27942,150,1176402,718892,4375
"44",32266,86,1045821,600543,7545
"45",19600,265,287205,177729,2363
"46",4061,19,69343,43463,548
"47",58562,28,108595,70242,886
"48",58727,27,124206,96136,1128
"49",35189,250,711402,601238,7563
"50",14936,30,118651,83463,1024
"51",7506,251,982544,662486,8360
"52",18489,147,512571,443972,5578
"53",26568,44,196056,119125,1492
"54",14311,14,114252,85302,816
"55",32304,6,26163,12265,154
"56",58697,9,51465,36022,454
"57",9812,8,40265,27385,188
"58",28380,153,557945,275124,3450
"59",27015,206,400246,311217,1377
"60",8251,28,118811,85400,1072
"61",8822,11,34233,21040,193
"62",31372,30,73828,44808,563
"63",18152,33,50681,34248,430
"64",57072,63,353001,263421,3353
"65",29864,210,763967,607817,7731
"66",10375,27,117409,94503,1183
"67",57103,76,594955,443219,8311
"68",34885,172,196841,140771,1752
"69",57264,31,364387,264477,3307
"70",57478,37,171941,91446,1147
"71",35267,37,1020389,399840,1912
"72",3304,69,271729,194854,2441
"73",35224,24,60570,42012,536
"74",35314,8,33939,23208,301
"75",13947,34,163956,91739,1143
"76",57845,81,304826,217493,2750
"77",29849,66,172261,131908,1407
"78",17230,100,514309,367609,4613
"79",34106,36,133336,100784,1271
"80",9831,60,223045,133154,1457
"81",17622,48,165141,120945,1531
"82",3931,466,1120897,809649,11627
"83",13080,38,143793,62824,789
"84",2773,259,944725,673403,8596
"85",20093,47,124212,88374,982
"86",57759,9,37751,26872,358
"87",6058,101,407934,236419,2967
"88",58629,86,488677,381276,4730
"89",35265,22,126342,69638,872
"90",15062,20,55178,31109,392
"91",10973,158,623782,547449,7003
"92",11569,188,550360,329304,4136
"93",12511,43,146425,98657,1235
"94",197,70,273880,176163,2218
"95",34566,40,137322,117694,1474
"96",34930,22,80744,54630,688
"97",57733,34,215741,169738,2146
"98",15657,57,194015,125843,1484
"99",34664,65,534747,330694,4152
"100",7237,328,1469695,860386,10705
"101",57424,15,58220,41890,529
"102",35173,29,153666,97062,1230
"103",1946,47,109626,101613,1279
"104",15083,7,14225,6766,87
"105",91,58,178673,143794,1810
"106",55130,21,146717,101463,1303
"107",4051,10,35726,17923,226
"108",34782,48,1080082,571261,0
"109",57803,1000,77423723,67101765,823099
"110",58424,105,662358,460726,5768
"111",15699,24,85180,61997,781
"112",15426,11,21430,17097,214
"113",59060,80,854500,194407,2422
"114",23091,494,2270283,1736749,22276
"115",18545,334,1015575,720822,9161
"116",35377,17,225197,160527,2041
"117",19590,56,150497,103883,1309
"118",58275,21,92881,73727,928
"119",1149,24,128721,90610,899
"120",8276,15,54320,32184,348
"121",27711,48,209415,133718,683
"122",10173,10,46328,31101,255
"123",9465,36,196431,139843,1753
"124",622,459,4391829,2450028,30808
"125",903,193,780678,440060,5546
"126",14531,650,2863326,2382288,29844
"127",34302,41,122820,64735,807
"128",28701,48,270145,151295,1454
"129",6423,240,2328198,2205013,27843
"130",24107,1613,11190264,9721676,124279
"131",27267,37,244835,211684,1812
"132",29031,156,437212,313215,3944
"133",20726,21,115854,93333,1180
"134",8893,13,31774,19891,255
"135",19838,52,230984,138303,1763
"136",20311,72,344088,293658,18748
"137",34422,50,497853,374284,4289
"138",32328,299,506116,258424,3303
"139",1117,74,290342,231957,2905
"140",19234,45,111276,74181,933
"141",17906,45,142556,85149,1067
"142",35568,63,231779,168865,2116
"143",31980,38,130391,92745,1163
"144",6183,34,132895,96987,1213
"145",20537,46,177669,94493,504
"146",34955,214,508321,363583,4583
"147",22559,231,592443,434933,5024
"148",4624,32,111768,75641,994
"149",34232,23,51580,37558,484
"150",18609,155,642572,470856,5900
"151",15423,37,103350,71789,914
"152",34606,50,138137,108898,961
"153",20843,185,443774,315097,4086
"154",20473,276,1132404,889158,11200
"155",23433,212,765374,432374,5421
"156",5216,175,637704,502416,6344
"157",5800,41,225687,190495,2392
"158",20241,250,1013684,664483,8346
"159",21567,10,43814,15266,170
"160",23886,89,371460,247232,3091
"161",34788,88,1106613,457195,5747
"162",27006,343,2348350,1771792,37908
