"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"15448",8,19017,146,11.017701425513,12.1067903951304
"23309",72,131774,1248.35,9.25699576979385,10.5195846155013
"16419",36,60126,491,11.9991276925753,13.2022258541139
"4788",7,14528,72.76,34.4895853955883,35.7531615453279
"31826",37,72050,431,12.0876421605954,13.1463240893125
"23406",210,1122572,8731.76,12.5527789739012,13.8033392136487
"33619",73,217158,1919,10.0273897751974,11.2354104280069
"11706",20,25625,113,15.5061208371726,16.2498354613663
"27552",36,87816,553,10.519984768087,11.5040090537352
"34393",5,5768,0,357.16370002918,357.16370002918
"1673",146,64859,765.06,8.91356440984894,10.1961319455644
"19713",31,48778,461.47,13.0400559805316,14.2921564036144
"6646",32,58658,255,22.396223452586,23.0525890404965
"26977",30,45339,300,16.089390560284,17.2272541076874
"28738",78,325599,1896,13.8004291730659,14.8150328301342
"20662",11,21914,108,13.4024400715005,14.2454590160096
"19593",17,21617,201.37,13.28792514987,14.5400493835758
"9087",801,2169976,24010.2,10.1175054179136,11.5464241472756
"22536",31,63956,356,13.4450039393005,14.4612292901266
"22543",8,17977,137.63,13.7725102154473,15.026984458301
"27789",72,252263,2092.07,13.7599159624939,15.0168676430307
"8426",85,165965,2275,12.4264696488247,14.5025670602278
"31249",40,72796,427,10.4742877359472,11.3629268901792
"27136",340,738728,6670.88,10.4489101680823,11.7055976137617
"8841",24,83307,498,12.6771163369786,13.6025346799595
"27831",60,187604,851,13.7342778661269,14.5544793022023
"32257",99,143972,722,15.6563667018578,16.7940374706522
"30332",12,32644,123,23.1294083428267,23.8747364083671
"30619",14,42269,248,14.8963551960289,16.0362182286161
"19795",33,116207,1287.72,10.4191183197422,11.6777399935413
"22051",164,500828,2090,12.0984182603087,12.9591785463942
"27942",55,279080,1248,15.9123569210531,16.6559027289561
"25002",30,56693,375,17.1542270089688,18.1777489068786
"32266",48,556447,1789,9.10416567186656,9.76128470627991
"27093",5,15178,13,349.173859432799,349.494451294698
"21109",58,81897,696,10.0075880828516,11.1265087745246
"14936",17,52720,328,16.2285491909263,17.2579369562761
"18489",100,195611,1811.96,11.2151415704635,12.470555663255
"26568",32,97888,633,19.1238740729499,20.1795479447714
"14311",12,41672,308,11.1957179536895,12.100541131264
"32304",6,21132,17,28.4244108263867,28.5993619429865
"7506",168,466009,3170,17.637173407382,18.7803602661426
