"","numemp","asset","RWAJT","RBCT2"
"57899",7,34110,28681,237
"15448",7,22787,18032,226
"22039",18,51144,36983,303
"16419",46,88503,57429,635
"30367",38,214977,126162,808
"4788",6,16493,10151,127
"31826",63,150349,94294,1101
"57298",25,73058,65966,739
"33025",127,445084,401941,5032
"57657",31,136640,90610,953
"35048",38,240130,172040,1991
"35456",34,172073,103900,1101
"11706",17,46081,33001,251
"27552",91,355968,265693,2266
"34393",13,121176,78450,981
"57611",5,36611,25580,301
"1149",13,67241,50651,545
"1673",434,255175,239272,4898
"57647",112,266514,220149,2461
"11338",82,328002,255194,2817
"6646",55,94955,77865,256
"26744",86,357739,267771,2717
"3564",87,235853,175699,1385
"26977",65,90713,49067,539
"35517",62,255242,246462,7736
"57157",13,63322,51686,532
"57633",107,256959,190429,2386
"35086",42,123594,75154,788
"9087",1053,3285317,2686490,34035
"57626",23,46551,40157,381
"27789",72,365563,278853,3496
"22543",5,21471,13043,129
"8426",138,403150,248126,3817
"57869",10,21772,13520,152
"35408",92,225447,194721,1730
"31249",39,117710,79314,711
"9751",57,343727,317162,3344
"91005",79,255996,191154,2410
"27831",64,261830,128040,1602
"35018",189,54477,10628,0
"27207",18,75184,54469,681
"32257",152,225424,121177,1355
"30332",16,26504,13276,85
"30619",15,72207,42854,538
"19795",55,219513,179317,2245
"27942",120,828819,501267,1392
"32266",61,1158489,694759,3554
"19600",201,148858,114806,1443
"4061",9,31976,25274,318
"35189",268,526040,385262,4818
"29088",129,365528,192265,1657
"14936",27,107962,85422,898
"30400",50,183142,142232,1174
"18489",168,387327,323798,4073
"26568",40,177164,116307,1181
"14311",13,65944,59286,615
"32304",6,24525,12909,140
"7506",229,929159,531799,4226
"22658",71,258994,228261,3104
"9812",6,25698,18743,190
"5682",20,81204,50258,613
"28380",146,382791,220100,2605
"8251",25,75932,59172,464
"8822",11,27356,17756,152
"31372",38,71227,41817,364
"33535",802,1708145,1947093,34988
"18664",2,109172,26043,282
"29864",289,1068612,734068,6642
"57072",66,286261,268481,2621
"34939",45,169941,128168,1214
"18152",49,42377,31807,398
"10375",22,95721,80987,1013
"57103",34,270035,181676,1382
"31217",82,213773,168775,1413
"34885",20,101053,69725,784
"27197",151,1031820,755378,9446
"57478",13,92440,47506,490
"35267",33,2438957,1265393,1029
"3304",24,56048,39803,492
"57840",12,94374,59123,568
"15696",31,81328,39158,492
"35224",24,63918,44042,471
"34676",42,144302,103448,2294
"35314",10,55831,38033,471
"10361",145,308374,230251,1779
"29087",48,155693,77732,279
"13947",35,106929,77030,963
"57845",33,61686,46099,392
"27311",30,64001,27256,329
"29849",69,174729,131262,1216
"35029",58,210135,150300,1515
"17230",112,514652,362722,3376
"34947",43,120124,89436,1121
"34106",45,117728,99027,1239
"9831",63,180633,103276,1291
"17622",61,192594,154196,1939
"3931",297,619214,521779,7956
"13080",39,135178,61521,770
"2773",253,821940,616225,7729
"20093",33,50062,28879,305
"57759",6,10875,3116,26
"6058",86,314596,188390,2995
"35078",30,116586,88952,1114
"35265",20,69504,53122,664
"34987",18,84574,68029,601
"57962",12,14020,7891,20
"8583",42,102889,80527,1008
"15062",21,46222,23356,129
"11569",204,438933,289281,1952
"12511",38,117887,81421,1024
"23124",94,582785,494202,5268
"34664",97,661891,359432,3150
"34566",48,117294,102971,808
"34930",17,59585,52917,637
"1932",92,405735,398811,4997
"57733",18,63239,54317,664
"57512",116,514073,434315,4984
"7237",309,977524,636918,5351
"57424",18,38021,25882,322
"28299",34,191808,117896,570
"35173",34,110977,91150,1044
"1946",38,75326,52695,660
"15083",11,20527,14501,192
"91",42,119954,78855,727
"55130",33,145744,106615,631
"33684",NA,2870659,NA,NA
"4051",8,16556,7646,96
"34782",49,1025994,315177,17
"15699",27,80021,61891,778
"15426",10,12769,9830,83
"10790",53,228686,149710,935
"23091",427,1581294,1299741,9513
"18545",178,468843,375303,4088
"35377",15,197537,116112,1410
"19590",58,124620,89100,1020
"8276",13,41228,22368,270
"27711",50,165762,113965,1331
"10173",11,41613,29100,279
"9465",36,170608,139998,1758
"622",443,4080459,1896910,9546
"903",214,682954,473664,5290
"14531",554,1706034,1319395,14986
"34302",36,84627,45695,574
"28701",48,209608,99328,795
"6423",226,2549762,2234469,28162
"3735",1406,5204989,4101002,39974
"24107",2096,7888111,6817342,49820
"27267",34,147007,116583,955
"29031",146,441768,264891,2859
"6782",70,135370,87616,1103
"20726",27,132134,102725,1284
"35461",40,86930,52039,653
"8893",15,32035,24450,306
"10973",50,158932,146258,1459
"32328",64,300499,216489,1924
"34422",49,516451,339553,3253
"19594",33,55531,37841,475
"19838",56,184129,134691,1714
"20311",77,460338,414453,18538
"1117",58,177431,152243,1870
"19234",32,82591,56259,706
"17906",42,102133,59206,726
"35568",45,147164,109463,1191
"31980",19,58331,43641,517
"6183",27,92740,73409,829
"20537",60,132646,83516,1047
"34955",182,467638,341529,4046
"4624",31,103329,87100,447
"34232",18,44289,24602,309
"18609",178,513538,424440,3844
"30617",67,554582,266351,1571
"34606",28,61299,50854,325
"20843",214,646350,582254,21465
"20473",318,870799,661925,8302
"23433",120,304659,239577,2616
"5216",143,433696,363566,4422
"5800",34,176343,148151,1527
"20241",257,676343,507319,5796
"21567",17,25282,14917,187
"23886",92,268203,175315,1537
"15836",22,48269,26666,239
"20504",57,181950,138925,1743
"34788",55,504181,228589,2575
"27006",297,1967215,1565726,19012
"21663",41,147784,106930,1047
"35033",23,75566,60112,762
"34868",108,442514,349196,3970
"35412",55,401431,331432,4145
"57444",13,62118,46717,511
"57359",24,89718,79101,647
"31581",6,30905,11892,33
"34090",82,294380,230969,1332
"57709",51,103024,91679,927
"428",33,63991,47092,421
"10647",9,31822,22095,251
"2328",16,37376,23154,281
"35328",171,14208980,12561461,159366
"27471",58,13965071,16502152,220920
"29140",117,253002,183522,2322
"30182",75,215232,147054,491
"34656",72,270008,224741,2695
"57113",47,294300,210445,2332
"313",92,313942,217818,2228
"35223",10,100231,70881,841
"57025",23,50478,41093,519
"4190",200,477502,234325,2108
"8843",59,190758,158274,1889
"57174",195,166235,86007,1068
"1439",15,95691,85032,1067
"57695",20,36026,28494,119
"30950",3,5569,2719,32
"16730",133,346909,282104,3533
"34334",23,58243,45394,539
"19300",353,1524458,1323365,15886
"18806",21,30338,23269,298
"33993",41,198687,176022,1982
"26398",29,180332,151385,1285
"22373",101,321020,211832,2280
"19220",610,1703233,1171425,14673
"24472",60,133059,82408,899
"25621",74,191798,130440,1443
"33812",24,181380,157339,1753
"6837",223,610481,444828,5619
"24481",40,155841,125053,1545
"26499",80,305439,293979,3568
"57198",17,69137,55896,619
"24655",90,612969,425187,5338
"29899",10,30838,20566,59
"9104",7,36998,21606,271
"32526",1299,6901229,3509333,30595
"29597",40,184359,116679,1930
"29878",31,162259,98948,719
"34549",2,22684,13363,169
"33121",116,384845,302349,3080
"57636",19,53914,47908,452
"57943",12,15177,15087,0
"26944",27,94035,66044,699
"16701",515,1916281,952281,11000
"20292",10,13113,7713,96
"15432",8,19221,12202,121
"5617",112,356737,242565,1863
"228",77,306337,292078,2685
"15444",69,197926,124144,1446
"57144",50,174623,133973,1676
"19115",98,186069,147916,1564
"10204",8,18280,13954,175
"22263",7,16823,10839,132
"20712",18,75564,70865,891
"22554",30,101855,76199,892
"8266",102,194287,110530,983
"13150",198,682629,604878,6401
"13099",57,136199,69924,541
"10120",10,30709,17259,221
"57432",23,130114,116572,1106
"57689",22,55051,42009,526
"30713",2,8762,2423,113
"57794",10,22561,22365,158
"8205",59,157265,150187,1543
"57724",12,27770,10699,125
"29668",33,118727,77294,705
"22441",429,1139034,1021539,12809
"34294",29,71308,41176,350
"19418",51,181308,149527,1422
"2838",46,175364,124126,1207
"23671",106,95899,67162,852
"22444",49,249172,211083,1858
"7542",313,884122,608352,7604
"15510",48,126784,78144,408
"57115",45,157872,132245,1657
"5417",48,140051,126521,1441
"26658",14,14150,11181,141
"28949",8,49826,25171,136
"26800",11713,51046105,42794664,1357774
"91325",8,210218,43703,0
"15354",39,75100,50256,305
"22381",22,51556,31828,398
"33901",137,882219,771134,9540
"5147",30,101079,87508,1095
"13810",57,250254,219000,2739
"18903",69,323398,252332,3073
"12922",18,57028,43205,536
"8868",91,320051,285554,3198
"57931",15,41261,29960,283
"28454",173,499389,385606,4075
"11681",4,12014,8224,85
"29979",869,4126182,3182862,13265
"22959",9,25058,13600,122
"34149",17,67499,60514,521
"9923",146,302327,220460,2758
"10858",9,51165,33548,268
"18483",6,14391,8934,112
"16410",22,50685,32830,280
"22015",91,192461,141890,1520
"17751",146,525187,397040,3742
"32018",20,41111,22011,183
"33134",66,328524,294965,3693
"11682",24,58013,28273,245
"10989",37,118568,81063,1015
"30079",8,38208,25888,325
"6051",54,120931,64494,712
"33989",161,545849,445795,5437
"16068",680,7282884,1957598,6247
"17453",40,189746,114445,1231
"34193",91,868252,1731300,25548
"33655",NA,430629,NA,NA
"18625",133,515900,347314,4002
"31813",4,4396,1757,22
"9641",15,42052,21610,272
"28507",16,54004,27422,101
"57620",32,123374,104873,1150
"32960",25,138704,45021,565
"13304",45,120059,70518,885
"1391",19,51851,29436,368
"35354",51,16170,9926,127
"4666",717,677931,436662,5455
"2315",177,341051,269825,2395
"29471",7,66447,31473,128
"29743",23,80962,46293,277
"9967",51,129755,60122,362
"1198",41,105178,58240,411
"35578",24,81611,70801,700
"15085",179,491390,390657,4007
"17123",146,572936,524184,5320
"28780",67,381471,143203,2237
"8728",4125,7821454,5614673,72569
"278",34,340603,278361,3490
"29663",155,572237,416102,4458
"1436",4,10487,8351,105
"11343",7,26930,19553,244
"25745",98,392195,302838,2823
"34095",17,92818,51391,721
"33825",50,130301,87381,762
"34759",28,58900,49912,589
"33013",16,52676,31512,381
"5296",4094,20505632,14881661,264016
"34976",25,53755,37515,414
"29805",1760,22398207,12084200,82047
"24064",18,51970,21290,138
"29085",69,189186,126483,1586
"28225",210,1010631,890408,9894
"9631",18,64130,64420,410
"90146",84,272371,146413,2190
"27293",22,90600,54974,1213
"9096",7,32657,23279,173
"57264",21,154134,136410,1561
"5915",394,2916664,1647746,8877
"24829",41,403153,367146,4595
"45826",148,716963,484918,4016
"30243",21,174353,101425,753
"34677",37,157055,93831,1061
"57213",60,357315,331926,3893
"26390",114,469241,349854,3714
"30783",9,63564,18252,50
"1396",8,21977,16346,205
"284",19,55824,36224,456
"34557",24,133086,109934,1369
"28288",15,60392,35571,244
"11477",22,73347,45385,532
"35",138,618713,344046,3812
"28191",28,156563,82356,432
"5814",26,64198,49540,600
"11694",83,267242,200545,1681
"3276",306,734357,544997,4159
"35115",4,4143,840,0
"26617",10,60270,23135,250
"10171",18,103445,63696,797
"57866",17,8264,3081,0
"30691",23,137745,90198,499
"21265",160,783554,405909,4099
"13272",16,99194,73490,830
"2987",181,377810,278930,3344
"26704",73,149965,143139,1803
"32004",56,103444,53697,477
"34456",18,34754,17642,197
"6959",115,310320,180112,2252
"34440",3,25086,10460,102
"32341",187,803055,439946,2209
"27476",1336,3033947,2447072,27173
"19919",1227,6647689,4089305,101142
"34968",6460,25391000,16152900,633000
"34967",2087,12130778,8574708,90293
"35208",202,73801,23388,293
"20828",1601,8484318,5536783,67610
"11813",3938,11056009,7671933,97162
"12342",33,52139,36185,386
"26653",17,33729,25345,318
"18408",521,1823332,1382944,17168
"1047",83,203290,143818,1799
"57730",42,106274,60948,644
"1961",75,200121,147379,1431
"34554",23,61417,50754,642
"11521",37,77259,51489,469
"8560",25,51125,38256,422
"4147",12,29175,20010,192
"9644",386,1098510,810449,7007
"22559",68,244376,186638,2031
"33686",NA,4875035,NA,NA
"16604",151,413810,281172,3522
"4456",34,103863,85062,804
"5801",26,111194,76438,806
"33927",28,80457,63499,580
"11354",26,83533,56686,617
"10130",28,128886,91025,834
"14521",28,93629,59998,538
"19842",467,6036578,4345228,134459
"5170",133,408302,310208,3133
"32964",888,3131842,2816992,35267
"30125",758,3507276,1711014,12110
"15093",41,100899,60133,752
"16601",21,72194,54367,462
"11782",38,118868,37288,468
"19434",114,385014,277543,2137
"13290",52,154790,102215,2582
"34577",55,245644,200882,2518
"155",38,83123,72332,766
"34992",211,1318310,560250,7007
"26689",25,166405,138181,1578
"57029",21,62398,41028,515
"25178",1,1498778,398252,224
"57117",1,6232808,2798677,3681
"35453",1,7265832,3071115,3430
"3510",162147,1057306654,775721981,15180168
"27595",7371,59745010,61946302,1771437
"58032",1,12887881,2942699,228
"12773",233,656695,540182,5754
"34830",26,159060,116824,1400
"8243",29,92519,73736,933
"34120",100,427785,340183,2834
"34002",31,176068,111236,1276
"33482",18,156070,90301,1131
"8252",18,78730,37117,261
"19877",63,212101,134863,1546
"57984",10,9259,4268,38
"33681",NA,225427,NA,NA
"23123",156,451008,317946,3221
"16282",9,33709,22512,181
"18930",27,47625,23927,206
"58002",7,14023,8267,62
"1623",40,63936,47979,229
"8595",30,64322,54250,678
"15817",5,14874,8929,111
"287",137,316474,216334,2714
"15267",8,27504,22123,277
"16959",9,29183,12449,133
"8278",14,24545,16261,204
"1756",8,17471,9117,114
"9788",39,152385,101085,1138
"32722",264,688269,605540,6906
"10883",15,45768,26407,229
"34397",42,132031,107287,1007
"6137",83,231976,178357,2230
"57952",12,24973,20930,217
"57102",14,42215,25649,322
"5605",28,55214,30219,288
"2224",50,160094,113645,903
"11245",30,137213,66308,416
"9385",22,65196,31423,393
"35439",23,79597,51763,560
"2733",13,53023,35838,449
"20239",40,95553,64554,640
"8254",25,68181,47491,595
"12549",21,51639,32586,415
"9176",42,142845,144152,1120
"17190",33,75406,53092,681
"15068",12,44371,18875,236
"7422",27,72436,54190,589
"12325",13,47600,38745,486
"9406",9,12004,6222,79
"105",45,103212,55134,698
"9023",98,275441,203262,2205
"2327",40,91695,58590,569
"10885",6,13828,8880,112
"5713",30,61647,25328,254
"33653",NA,2165075,NA,NA
"34502",98,423088,345129,3131
"34959",57,259941,252511,3167
"6123",152,456544,338808,3602
"16953",11,31929,28344,359
"13167",30,103338,54383,396
