"","numemp","asset","RBCT2"
"15448",7,17204,109
"23309",61,115628,1096.76
"16419",34,56645,466.06
"4788",7,14132,71.3
"23406",190,1037218,7589.55
"33619",63,173323,1663
"11706",22,25611,156
"27552",38,83269,451
"1673",102,46870,445.65
"19713",26,36817,327.41
"6646",30,60252,238
"26977",28,43224,278
"28738",79,286829,1784
"20662",8,21654,125
"19593",15,24426,198.36
"9087",795,1897056,21800.95
"22536",31,60489,298
"22543",6,15797,103
"27789",70,235509,1886.49
"8426",85,154341,2176
"27136",244,444054,4566.4
"8841",27,82028,616
"27831",59,188878,645
"32257",87,126177,773
"30332",11,31876,119
"30619",13,44134,268
"19795",33,104115,1081.16
"22051",157,484205,1745
"27942",56,264827,1243
"25002",30,58921,380
"32266",48,563890,1311
"21109",53,76967,685
"14936",17,48874,337.24
"23064",7,12178,54
"18489",89,178762,1659.46
"26568",30,94632,660
"14311",12,41785,306
"32304",6,20945,10
"7506",159,487537,3211
"22658",40,110029,927.78
"9812",6,18179,84
"26202",16,32377,237.43
"5682",20,55322,481
"28380",64,117800,947.7
"26973",26,43098,318.29
"10922",13,12701,99
"33914",26,90902,327
"8251",16,41190,212
"8822",11,23227,199.89
"13435",124,144113,1235.65
"33104",108,307600,649
"31372",26,35070,59
"29472",33,93513,328
"33535",57,149507,1837.09
"33979",0,2215407,84451
"18664",2,1678145,60952.13
"28923",255,1008868,5759
"25332",63,222181,1987.72
"91005",14,239625,2179.6
"27197",9,14506,81.01
"19600",35,58639,302.34
"15696",33,43004,381.53
"19158",119,436262,4115.75
"10361",74,97546,513
"29087",34,141797,539
"29849",55,109350,721
"32106",1141,3491581,25719
"17230",107,302774,2017
"230",13,26721,264.35
"34106",16,14425,79.3
"29349",26,59253,309
"9831",57,134438,834
"17622",32,58747,477.11
"4061",11,14559,129.81
"29561",12,45861,0
"13080",50,118740,717.79
"2773",75,234620,1330
"23032",25,34610,219
"6058",75,226605,1229
"26984",57,139320,969
"1078",87,351991,2724
"8583",25,40446,202.66
"15062",24,42702,309.7
"9296",26,56638,501.98
"23124",20,48058,988.54
"30196",65,166331,1381
"33468",32,55717,454.61
"163",258,461066,3304
"3640",26,53327,321
"33684",NA,356901,0
"32474",250,280961,2201
"15699",26,48649,449.58
"15426",9,13430,125.48
"23091",247,414196,2942
"18545",150,261835,1682
"31751",8,25295,93
"23403",32,94217,683
"19590",32,66330,400
"8276",11,29397,95
"14498",8,20586,133
"27711",37,90869,401
"10173",10,31209,187
"9465",35,143258,991
"11892",63,106879,571
"903",179,641083,2779
"622",436,1967762,5118
"14531",389,908275,7264.61
"18936",40,111930,738
"3831",71,168593,1242
"4415",170,424719,3388
"33197",73,202642,1282
"28701",30,134985,355
"6423",176,1081345,9006.12
"14341",51,234587,1424
"9266",139,570939,3288
"3735",333,1487250,7228
"15082",35,146957,506
"3706",127,437952,1908
"27267",28,106201,578
"29031",105,325645,905
"29738",255,821036,3024
