"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"57899",15,93579,71535,916,5.49241629971343,6.77290836653386
"22039",24,115741,60074,738,17.421846389453,18.650331258115
"16522",141,745201,356393,4541,17.1846809561355,18.4588361724276
"16419",42,109827,67285,762,13.6389982908523,14.771494389537
"30367",34,242795,158185,1149,11.6616619780637,12.3880266776243
"4788",7,22918,15234,142,13.8112117631613,14.7433372718918
"31826",68,240796,125676,1576,20.4104204462268,21.664438715427
"57298",38,138361,110526,1393,11.9790818449957,13.2394187792917
"32487",16,47369,26268,329,17.5422567382366,18.7947312319172
"58485",45,221917,177093,2226,16.2711117887212,17.528078467246
"57657",42,318971,223522,2830,18.1516808188903,19.4177754315011
"35456",43,276022,181903,2292,12.3356953980968,13.5957076024035
"58358",6,34513,23804,314,3.56242648294404,4.88153251554361
"58773",23,50981,26561,264,20.8237641655058,21.8177026467377
"11706",17,57659,41921,353,12.2086782280957,13.0507382934567
"27552",144,734371,422667,5298,14.1560613911188,15.4095304341243
"58321",59,509640,346916,4125,11.704274233532,12.8933228793137
"34393",7,115821,84798,1070,17.1230453548433,18.3848675676313
"57611",4,53331,33610,423,24.8408211841714,26.0993751859566
"1673",493,481409,255070,4178,37.685733328106,39.3237150586114
"58548",21,82347,56507,633,12.9364503512839,14.0566655458616
"6646",51,107909,78609,986,16.1419175921332,17.3962268951392
"3564",84,321271,201091,2060,14.5103460622305,15.5347578956791
"26977",54,129746,67413,849,16.6377404951567,17.8971415008975
"57157",16,70022,54130,700,4.44854978754849,5.74173286532422
"57633",80,277714,230455,2908,11.0425028747478,12.3043544292812
"9087",1151,4398359,3323057,42227,14.2767638352276,15.5474913611172
"57626",38,160969,134390,1661,11.0901108713446,12.3260659275244
"22543",5,26847,13404,89,22.5753506415995,23.239331542823
"8426",154,686153,396639,6636,12.6041564243556,14.2772142930978
"57869",26,131531,96227,898,10.8670123769836,11.8002223908051
"35408",285,1255330,560381,11710,18.800066383407,20.889716103865
"31249",36,126466,88433,637,12.2103739554239,12.9306932932276
"9751",52,361488,294361,3681,15.3542758721434,16.6047812040318
"91005",37,177080,101227,1122,36.4033311270708,37.5117310598951
"27831",58,253151,114945,1438,20.956109443647,22.2071425464353
"35029",53,138555,101000,1277,11.1990099009901,12.4633663366337
"32257",108,223662,114417,1021,35.5961089698209,33.4696767088807
"30332",18,41032,31002,389,33.6978259467131,34.9525837042771
"30619",15,81090,44712,573,16.3960458042584,17.6775809626051
"19795",67,298616,215136,2699,12.3982039268184,13.6527591848877
"26549",22,95863,63664,654,13.6780598140236,14.7053279718522
"27942",152,1172871,727568,4317,24.1712114881358,24.7645580894157
"32266",77,1112338,635286,7998,19.6516214744225,20.9105820055849
"19600",265,307942,180286,2377,27.1601788269749,28.4786394950246
"4061",18,69306,45860,575,11.2036633231574,12.4574792847798
"58562",29,109791,73353,934,14.7737652175098,16.0470601066078
"58727",27,111045,89542,1108,16.7999374595162,18.0373456031806
