"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"15448",7,18258,13274,166,13.1007985535634,14.3513635678771
"22039",18,44079,36331,457,14.9486664281192,16.2065453744736
"16419",40,76819,51304,598,13.7825510681428,14.9481521908623
"30367",28,141964,91564,704,10.1852256345289,10.9540867589882
"4788",6,18070,9176,115,21.8395815170009,23.0928509154316
"31826",52,114591,73473,905,12.17726239571,13.40900739047
"57298",15,26225,16211,147,38.7638023564246,39.6705940410832
"35048",32,148455,113159,995,9.61302238443252,10.4923161215635
"35456",13,72328,45994,425,14.7388789842153,15.6629125538114
"11706",17,39655,26754,199,8.6977648202138,9.44157882933393
"161",55,182966,153687,1560,9.00531599940138,10.0203660686981
"27552",50,217894,147098,1488,12.2720907150335,13.2836612326476
"34393",10,80130,64575,691,15.5865272938444,16.6566008517228
"1149",19,56603,46059,578,8.61503723485095,9.86994941270979
"1673",416,211650,310855,4246,7.47808463753197,8.84399478856702
"6646",34,80662,50360,254,21.8069896743447,22.3113582208102
"26744",73,207856,150090,1632,11.5424078886002,12.6297554800453
"3564",86,210305,138878,908,14.4803352582842,15.1341465170869
"26977",59,77648,45685,433,16.8173361059429,17.7651307869104
"35517",28,53979,48632,413,16.3472610626748,17.1964961342326
"57157",8,24253,13622,98,31.5078549405374,32.227279400969
"35086",31,35283,35761,216,17.8630351500238,18.4670451050027
"9087",1115,3409043,2942941,37924,9.77542533132672,11.0640682229103
"27789",84,341145,227718,2856,24.6076287337848,25.8618115388331
"22543",6,21541,13388,163,16.6268299970122,17.8443382133254
"8426",109,256843,164310,1884,11.9651877548536,13.1118008642201
"31249",42,93939,62280,632,10.1188182402055,11.1335902376365
"8841",16,51736,34778,340,19.3541894300995,20.331818966013
"9751",45,101622,79412,928,10.6570795345792,11.8256686646854
"91005",58,212319,137133,1786,19.4737955123858,20.7761807879941
"27831",73,207697,112183,1411,22.5248032233048,23.7825695515363
"35018",181,33173,7774,0,390.095189091845,390.095189091845
"34799",156,325351,236431,1331,15.63796625654,16.2009211989967
"32257",164,243098,135737,881,18.0444536125006,18.6935028768869
"30332",16,35031,17470,77,30.39496279336,30.835718374356
"30619",12,55966,33504,421,14.452005730659,15.7085721107927
"19795",51,165217,125895,1465,11.7367647642877,12.9004329004329
"27942",97,494461,305683,1419,15.1058449439452,15.5700513276826
"22051",273,849297,410656,5179,11.8142679030624,13.0754207901504
"25002",29,93437,55011,690,16.8584464925197,18.112741088146
"32266",63,643357,353411,3815,15.5244177459106,16.6038974451842
"35559",14,28639,21542,270,20.5505524092471,21.803917927769
"35189",142,128002,93866,1174,11.5292012017131,12.779920311934
"14936",25,72573,57574,543,9.51992218709834,10.4630562406642
"30400",50,162297,122345,1178,11.5738281090359,12.5366790633046
"18489",143,264080,214571,2695,11.7839782636051,13.0399727829017
"26568",36,141321,93340,815,15.6138847225198,16.48703664024
"14311",12,55401,45211,461,12.5787971953728,13.5984605516357
"32304",6,26218,13912,101,25.0646923519264,25.7906843013226
