"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"4829",33,194321,126131,1573,17.4096772403295,18.6567933339147
"33785",103,66027,31915,0,104.123452921824,104.123452921824
"57899",16,80411,69388,868,9.86481812417133,11.115754885571
"22039",9,48825,25012,993,19.402686710379,23.3727810650888
"16419",45,127198,75379,941,13.3286459093381,14.5770042054153
"30367",40,226507,147295,1347,15.8919175803659,16.8064089072949
"57298",54,226580,177293,1679,12.0833873869809,13.0304072918841
"32487",15,54370,24996,0,19.1830692910866,19.1830692910866
"58485",66,480450,317043,3984,13.3139668751557,14.5705787543015
"57657",72,616620,515004,6458,11.2884560119921,12.542426854937
"35456",50,427920,256050,3211,10.5744971685218,11.8285491115017
"11706",17,70954,48536,363,12.5226635899126,13.2705620570298
"27552",179,1014876,875333,7364,10.5723193344704,11.4135991674026
"34393",9,96798,64887,811,22.9583737882781,24.2082389384623
"57611",5,40213,29475,368,27.3689567430025,28.6174724342663
"1673",371,731314,627509,8041,20.0083186057889,21.2897344898639
"58548",29,128442,98055,1072,11.7780837285197,12.8713477130182
"6646",58,125419,79341,981,17.9276792578868,19.1641143923066
"3564",91,331273,219142,2172,13.8937310054668,14.8848691715874
"26977",47,138974,69323,866,18.406589443619,19.6558140876765
"57633",206,530745,465262,5828,12.4504042883365,13.7030318401245
"9087",1137,4848183,4068737,51425,13.7650823830589,15.0289881110526
"57626",46,210960,176614,2085,10.9266536061694,12.1071942201637
"22543",4,30454,12935,148,26.4398917665249,27.58407421724
"8426",169,906027,506958,6228,14.9718517115816,16.200355848019
"57869",41,190125,151714,955,11.1301527874817,11.7596266659636
"31249",34,142428,103557,907,11.7114246260514,12.5872707784119
"9751",45,359408,261967,1702,17.7823924387423,18.432092591815
"91005",27,168606,125658,1190,30.0840376259371,31.0310525394324
"27831",43,209585,90585,1070,31.8308770767787,33.0120880940553
"35029",36,136463,102534,1289,10.7340004291259,11.9911444008817
"32257",94,232004,130639,1647,25.7120767917697,26.9728029149029
"30332",22,60797,45054,567,29.5911572779331,30.8496470901585
"30619",14,67171,35178,442,20.1517994200921,21.4082665302178
"19795",74,323915,255093,3196,12.4883865884207,13.7412629903604
"11694",88,334653,258980,3075,14.3551625608155,15.5425129353618
"26549",23,120594,86408,890,12.5786964169984,13.6086936394778
"19600",293,309140,168437,2130,27.8454258862364,29.1099936474765
"4061",22,97905,82321,1029,10.2197495171341,11.4697343326733
"58727",49,228677,204468,2559,11.2428350646556,12.4943756480232
"35189",226,1068618,870208,10915,10.6013734647349,11.8556712877841
"58562",31,154361,113071,1413,14.5085831026523,15.7582403976263
"14936",40,148408,104564,1069,15.4842966986726,16.5066370835087
"7506",266,1096133,740743,9342,13.0000553498312,14.2612215032744
"18489",155,638907,566952,7090,12.8654630374353,14.1160098209372
"90140",88,397259,258007,3234,18.1386551527672,19.3921095164085
"14311",14,156843,99920,953,11.9815852682146,12.9353482786229
"32304",5,24395,11257,141,36.5727991471973,37.8253531136182
"58697",11,97613,59044,740,15.8356479913285,17.0889506131021
"9812",8,48611,32323,289,28.3327661417566,29.2268663181017
"28380",159,704723,364027,0,13.730025520085,13.730025520085
"27015",171,450504,369152,2673,14.2079685332871,14.9320605062413
