"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,15,74764,62582,786
"2",22039,23,149272,72349,739
"3",16419,43,118611,67514,855
"4",30367,37,238842,161125,1843
"5",4788,6,27939,17672,4
"6",57298,48,196728,137081,1632
"7",32487,15,50755,26393,330
"8",58485,57,329349,242306,3046
"9",57657,56,499144,324706,4085
"10",35456,46,304070,179166,2258
"11",58358,4,23577,16408,217
"12",11706,17,65246,47161,442
"13",27552,142,840968,627232,7151
"14",58321,73,706138,532524,5813
"15",34393,11,112577,82791,1041
"16",57611,5,53052,34432,433
"17",1673,433,652436,454848,6397
"18",58548,21,94588,64940,811
"19",6646,62,121321,79735,1009
"20",3564,92,292661,197490,2237
"21",26977,53,136601,72546,910
"22",57157,11,49626,37889,291
"23",57633,130,359055,314419,3942
"24",9087,1180,4539754,3557634,45332
"25",57626,41,180163,150829,1888
"26",22543,5,28098,13314,132
"27",8426,168,808260,440814,6340
"28",57869,32,153192,104378,761
"29",35408,292,1559666,798675,9604
"30",31249,38,141587,98338,1124
"31",9751,46,357409,257760,2850
"32",29132,167,714131,442418,5547
"33",91005,30,177964,123361,1305
"34",27831,45,221184,103633,1302
"35",35029,47,131340,93831,1180
"36",32257,112,258561,155980,1951
"37",30332,21,45918,35639,447
"38",30619,15,71423,35231,444
"39",19795,76,324078,231595,2906
"40",11694,91,339146,254066,3196
"41",26549,25,108915,70139,843
"42",32266,75,785176,346262,4373
"43",19600,248,294559,125707,1677
"44",4061,18,76054,54287,682
"45",58727,37,184040,136473,1710
"46",35189,305,862757,687610,8649
"47",58562,26,123048,80753,1014
"48",14936,43,153098,126225,1144
"49",7506,251,1034908,673982,8552
"50",18489,153,570099,466745,5836
"51",90140,88,389502,246053,2317
"52",14311,16,161982,100185,840
"53",32304,6,26070,12331,155
"54",58697,13,74410,44313,557
"55",9812,8,44652,30865,189
"56",28380,156,586241,304046,3276
"57",27015,244,646232,502627,3112
"58",8251,28,124103,87951,989
"59",8822,10,41702,25652,219
"60",31372,21,60763,38003,478
"61",18152,29,55554,36096,421
"62",57072,49,270261,213152,2723
"63",29864,211,763188,545729,6887
"64",10375,29,128953,94857,1190
"65",34885,262,334303,253540,3175
"66",57264,24,264766,219373,2754
"67",57478,36,174717,83309,1043
"68",35267,32,980437,226083,2543
"69",3304,99,407288,268142,3362
"70",35314,9,36647,28795,308
"71",13947,35,184214,98509,1233
"72",57845,91,277577,204620,2582
"73",29849,66,180682,137423,1720
"74",17230,90,548627,327919,4131
"75",34106,35,126094,81227,1037
"76",9831,58,244581,145575,1674
"77",17622,44,170124,117928,1483
"78",3931,534,1316119,950817,12423
"79",13080,33,149390,59456,747
"80",20093,47,125651,96335,1056
"81",6058,98,405289,235869,2954
"82",58629,115,775361,569612,6539
"83",15062,20,56133,31545,397
"84",11569,181,571933,305703,3867
"85",10973,159,606646,502606,6352
"86",12511,43,153461,95335,1197
"87",197,69,304410,184869,2332
"88",34566,42,155266,153402,1829
"89",34930,22,88289,49719,626
"90",57733,42,184551,134177,1725
"91",15657,54,190572,114828,1460
"92",7237,331,1403943,898021,8631
"93",57424,16,59492,42371,530
"94",35173,31,160520,99529,1261
"95",1946,48,120484,96947,1216
"96",91,57,157331,115009,1469
"97",55130,34,125340,86285,1086
"98",4051,8,45162,20136,253
"99",57803,995,94795926,86899620,691661
"100",58424,132,880773,715654,8963
"101",15699,24,82330,57667,728
"102",15426,12,28900,22720,242
"103",59060,109,777842,289050,3856
"104",23091,499,2397156,1675950,21219
"105",18545,337,1108002,684295,8734
"106",35377,15,271955,142986,1835
"107",19590,56,154890,102732,1285
"108",58275,36,215239,164352,1700
"109",1149,34,165323,139746,1482
"110",8276,16,61036,33521,394
"111",27711,46,210096,133478,807
"112",10173,9,48426,29727,240
"113",9465,39,236155,149385,1874
"114",622,448,3727315,2370501,29898
"115",903,181,929658,412031,5198
"116",14531,652,3614792,3051937,34066
"117",34302,38,121703,61623,782
"118",28701,54,312454,157541,1957
"119",6423,246,2202002,2089870,26562
"120",24107,1635,13040763,10541098,132707
"121",27267,38,313121,235169,2271
"122",29031,153,442624,309979,3927
"123",20726,20,131335,95343,1206
"124",8893,9,28961,18660,239
"125",19838,53,262128,148126,1884
"126",20311,67,323456,260695,17939
"127",34422,49,528476,379449,4462
"128",32328,248,429180,196560,2465
"129",1117,95,404576,314701,3935
"130",19234,46,110479,69001,839
"131",17906,45,179284,89033,1110
"132",35568,61,245025,181574,2282
"133",31980,36,150051,102755,1291
"134",6183,34,134129,96204,1204
"135",20537,45,189956,107482,683
"136",34955,187,399280,245744,3125
"137",22559,273,990471,622155,6254
"138",4624,28,98948,60798,799
"139",18609,159,694586,468238,5858
"140",34232,24,60240,40370,515
"141",15423,38,127530,88328,1096
"142",34606,51,152444,127429,675
"143",20843,158,361194,215646,2859
"144",20473,465,2020797,1408880,17680
"145",5216,187,591125,433975,5535
"146",5800,37,267668,221067,2770
"147",21567,12,49066,20793,175
"148",23886,87,375245,238136,2988
"149",20241,239,1142792,685066,8616
"150",34788,103,1298878,556216,7002
"151",27006,320,2358574,1727695,37231
"152",21663,59,234047,187934,2359
"153",35033,27,154986,129597,1647
"154",35412,61,500594,345408,4354
"155",57444,27,153189,115865,1459
"156",57359,24,170559,135452,1188
"157",58514,7,69653,57789,570
"158",34090,53,255809,189498,2440
"159",57709,41,187390,151504,1930
"160",428,29,66251,44387,555
"161",10647,9,40911,26085,329
"162",2328,15,50090,26935,343
"163",35328,332,37896870,40402983,906722
"164",27471,149,34457989,33042051,413700
"165",29140,114,485210,333587,3143
"166",30182,164,502636,273031,1825
"167",34656,195,887983,744297,9310
"168",57113,77,344495,226719,2845
"169",313,103,404325,234953,2995
"170",35223,29,108315,84801,1103
"171",57025,20,73091,54864,660
"172",4190,275,966992,396700,4969
"173",8843,48,231392,156177,1966
"174",1439,18,114948,81431,1021
"175",57695,8,95674,43855,552
"176",30950,3,5936,2956,37
"177",34334,16,79529,53042,692
"178",21272,135,501884,319818,4018
"179",58309,176,950377,873409,9619
"180",24472,100,311590,190957,2228
"181",19300,462,2029920,1458848,18237
"182",26398,36,227421,163434,2043
"183",22373,136,462335,293379,3689
"184",33812,28,242292,200588,2516
"185",6837,307,1282796,884056,11066
"186",26499,64,261165,199368,2516
"187",57169,29,83261,65177,797
"188",58469,36,296112,226030,2840
"189",58584,23,113980,87387,877
"190",24655,112,595965,306827,3862
"191",58281,28,171413,133668,1682
"192",29899,10,40125,24062,301
"193",9104,7,54381,34441,309
"194",32526,1170,5041723,3887295,42189
"195",29597,61,272818,169678,2046
"196",29878,36,179493,112907,1419
"197",33121,82,438394,284911,3577
"198",15432,7,28742,13304,148
"199",26944,34,146356,100491,1109
"200",228,89,606782,576902,7231
"201",9967,71,235057,189213,1046
"202",57144,55,295694,203263,2231
"203",15444,84,496751,256395,3213
"204",10204,7,24369,14131,179
"205",22263,7,26652,14953,187
"206",22554,22,177316,79351,37
"207",13150,269,971164,716142,8961
"208",10120,6,33208,27693,200
"209",58076,12,56858,36005,452
"210",57689,35,124724,92952,1202
"211",30713,3,6709,2141,0
"212",8205,37,126142,85387,1087
"213",22441,794,2733298,1928498,7761
