"","numemp","asset","RBCT2"
"15448",9,19896,167
"23309",95,187822,1786.19
"22039",19,39771,386.94
"16419",41,70701,588.12
"4788",7,16410,104.3
"31826",48,96668,493
"33619",96,483022,4567.46
"35048",25,87501,441
"35456",12,6538,0
"11706",18,33988,125
"27552",50,163140,1025
"34393",9,60703,426
"1673",267,118955,1412.78
"19713",56,141585,1196
"6646",37,71386,252
"26744",67,186009,1355
"26977",52,74214,416
"19593",16,27858,248
"9087",898,3061499,31827.12
"27789",80,335499,2737.53
"22536",27,79553,422
"22543",6,21197,130
"8426",106,223286,1966
"31249",39,89086,515
"8841",13,37434,344.84
"9751",37,83733,856
"27831",57,201057,1152
"35018",1,6363,0
"34799",10,2169,0
"32257",124,192130,821
"30332",16,33763,88
"30619",12,49451,353
"19795",47,142101,1486.25
"22051",254,716582,4332.55
"27942",85,420607,1346
"25002",30,90060,758.16
"32266",60,809550,3206
"35189",67,42053,343
"14936",18,65522,483
"18489",124,249188,2599.58
"26568",39,123590,668
"14311",13,49329,420
"32304",7,24221,70
"7506",158,518968,3443
"22658",50,150172,1402
"9812",6,21645,134
"5682",20,68274,479
"28380",76,178479,1476.29
"26973",66,192207,1463
"10922",13,21359,198.43
"33914",1,107235,0
"8251",18,56704,335
"8822",10,24252,201
"31372",20,39584,731
"11687",230,511815,2201
"29472",55,145876,682
"33535",181,1062408,20192.98
"18664",1200,2340016,29462.65
"35408",19,8853,10
"34939",21,46836,299
"25332",21,4860,0
"35405",105,3269,20
"31217",65,131719,1069
"91005",45,186657,1631.4
"34885",7,28058,153
"27197",59,320737,3140.55
"35267",11,14566,0
"19600",40,69490,335
"15696",33,72858,575.4
"35224",13,10259,30
"34676",16,33203,315.18
"35314",11,13088,65
"10361",87,155206,824
"29087",43,148363,419
"29849",67,128638,521
"35029",19,48357,391
"17230",122,370216,1863
"34947",17,39843,357
"34106",18,40478,370.2
"17622",45,103182,932.96
"9831",62,159954,888
"4061",8,22633,220.77
"29561",18,44972,157
"13080",49,135077,763.79
"2773",237,622329,4902
"20093",28,32971,171
"34388",26,61855,390
"6058",103,234565,1726.47
"35078",11,20009,193
"34987",10,25985,100
"35265",10,12180,10
"1078",207,826257,8506.85
"8583",22,51052,446.12
"15062",22,42347,272.34
"4822",5429,16787397,321015
"23834",2,55572,160
"1932",76,261601,2185
"11569",184,306576,2214
"34664",13,48629,348
"34566",17,42901,285
"23124",33,125734,3849.64
"34930",9,27481,263
"9296",25,62957,637.59
"30196",73,187655,1800.12
"35140",18,37137,219
"16635",16,23466,193
"34473",32,83976,471
"7237",262,566777,3481
"33468",71,98915,806
"35146",12,51578,38
"35173",15,20679,110
"33684",NA,876332,0
"34782",21,66801,0
"15699",27,73256,742.87
"15426",11,14873,151.55
"10790",53,145094,692.35
"23091",415,805781,5976
"18545",182,324952,2283
"35377",11,71444,20
"19590",52,98162,660
"8276",13,33998,130
"27711",37,108130,682.2
"10173",11,34133,212
"9465",36,177689,1438.22
"903",198,599885,4356.2
"622",508,2691124,7377.8
"14531",529,1204607,11494.37
"34302",30,46997,360
"28701",38,167943,0
"6423",203,1339190,13064.08
"3735",1250,4349653,29529
"27267",29,111367,857
"29031",133,401975,927
"28537",26,128196,279
"29738",286,1084149,5194
"6782",73,92503,395
"20726",29,83664,766
"35461",11,8771,9
"21614",54,124515,752
"15836",13,20753,106
"19838",58,157148,1512.75
"19594",45,75532,744.57
"34422",38,165972,881
"20557",31,73691,691
"32328",38,112662,713
"27501",174,467434,4342.57
"22968",95,279594,1397
"17906",43,77178,459.83
"19234",26,52212,441.74
"20156",74,187463,1256
"34955",94,252231,1950
"20537",66,156165,1043
"21919",58,95503,722.51
"10973",21,60971,522
"4624",22,70810,347
"18609",144,296890,2326
"34232",11,18062,157.23
"26498",145,831956,6358.17
"10892",16,32090,276
"20311",63,205212,1593
"34606",23,32961,145
"24678",25,59273,370
"20473",283,659152,5674.21
"10954",23,73638,561
"5800",26,110775,1160.52
"23886",80,181540,1211
"20241",215,388286,2312
"21567",18,24379,216.82
"20504",56,141275,1357.6
"34788",28,147439,895
"27006",126,576069,5039
"21663",42,100757,470
"21224",122,252640,2500
"35033",10,14206,33.61
"34868",50,105136,1143.02
"33994",27,131729,1133
"35412",16,53748,123
"34523",14,49216,388
"31581",7,24924,403
"34090",27,114568,512
"10647",10,24141,209.35
"428",40,54684,372
"2328",16,33383,209.04
"27471",1441,14905163,193813.44
"29140",132,275552,2204
"30182",73,151830,683
"34656",58,164668,1192
"32525",28,53026,60
"35223",5,11578,46
"23348",26,80906,903.54
"8843",68,140812,1204
"239",19,51361,435
"1439",16,65457,598
"25192",446,433622,5000.52
"26764",47,77585,881.67
"30950",3,5580,19
"16730",75,220589,1898
"34334",13,26075,241.47
"33993",15,61950,602
"35562",4,1987,15
"18806",20,30386,324.57
"22373",82,203539,1469
"24472",56,98229,498
"19300",234,684472,6909
"25621",45,98416,642
"26398",29,82193,793
"33812",18,79616,885.05
"6837",189,510586,4369.96
"3619",1475,12186412,554153.9
"13085",233,649789,5144
"24481",24,71228,575
"24334",16,43270,300
"23001",27,64945,527
"24655",64,208721,1879
"18246",295,1912064,39837.55
"9104",8,36708,230
"31980",20,40766,437.12
"30385",15,45885,173
"30617",42,221372,1498
"29597",28,129960,723
"32526",1168,6004908,29745
"29878",28,129202,597
"34549",5,20371,145
"20292",16,16119,103
"5617",66,173089,976
"26944",28,67176,509
"20006",7,14315,97.38
"22569",18,46545,323.16
"16701",503,1095750,6148.12
"15432",9,19933,112
"9645",37,51857,270
"228",62,219566,2469.73
"1117",44,109042,1045.69
"15444",73,151175,1336
"19115",72,109446,835
"10204",7,16645,141.26
"22263",8,13116,121.88
"20712",18,36003,436.8
"22554",31,81364,695
"21131",35,118070,1255.28
"8266",189,262933,1241
"13150",179,485250,4542
"13099",55,114406,429
"10120",9,34527,250.51
"30713",3,8379,86
"8205",40,70192,609
"5174",92,90436,545
"29668",29,71074,436
"22441",47,124424,911
"34294",13,19989,160.86
"19418",47,134675,842
"2838",29,116354,764
"23671",59,59089,515.14
"22444",36,109850,865
"26478",6,21305,123
"5417",38,71264,730
"28393",28,31529,0
"28949",6,44221,72
"26800",12164,42529171,658064
"33784",84,110228,764.65
"15354",26,45062,299.69
"22381",16,42328,227.06
"33467",23,58745,489
"5147",19,56649,540.85
"18903",61,204856,1651
"12922",10,44485,266
"8868",43,143543,1190
"28454",111,356047,2213
"11681",4,12227,67
"29979",710,2969505,23610
"22959",7,19279,87
"34149",10,35506,288
"9923",119,183702,1585
"10858",13,42005,237
"18483",6,12703,94.74
"23284",276,1626907,11953.9
"16410",21,49045,290
"22015",81,149713,1313.66
"17751",149,434511,3298.6
"32018",21,39877,206
"33134",50,223802,2303.26
"11682",22,52014,148
"10989",33,81874,580
"30079",7,27773,104
"23339",133,223331,1901
"9619",31,54010,436
"6051",62,114837,973.02
"23684",24,77251,641
"16068",738,5875934,25764.56
"17453",27,115829,785
"32649",153,57067,381
"22288",45,532602,3643.18
"33655",NA,417713,0
"21001",50,121306,533
"18625",61,141253,1058
"31813",3,5083,21.83
"28507",17,53052,94
"32569",69,378580,1563
"15392",8,14457,110
"32960",22,72839,250
"13304",42,87867,741.31
"33901",117,456100,3619
"18277",45,112527,664
"26822",49,89990,640
"1391",18,46080,264
"35354",5,3886,17
"4666",536,428060,1716.79
"2315",147,217405,1088
"29471",8,53238,162
"29743",19,57447,180
"9967",53,99298,225
"1198",28,84489,210
"15085",82,139902,1200.27
"17123",130,369199,1906
"28780",66,304966,1948
"34012",126,155029,1601
"4081",46,89999,850.59
"3879",27,24041,259
"13595",59,135108,928.05
"26867",115,259051,2254.9
"3891",207,569950,5270.42
"25137",150,182505,1615
"22671",25,84296,669.68
"8023",42,169830,1640
