"","numemp","asset","RBCT2"
"26979",11,20559,111
"16419",34,47131,366.07
"4788",7,14552,63.47
"23406",150,786181,5089.51
"33619",25,65821,463
"27552",30,61038,321
"1673",46,31914,294.77
"19713",14,14666,79.69
"6646",28,59557,230
"26977",26,32677,206
"17316",39,157167,877
"21170",44,46890,324.25
"28738",71,164827,1052
"20662",9,18331,111
"19593",14,18965,170.93
"9087",715,1530476,18706.93
"14181",12,45783,273.73
"22536",32,48574,211
"22543",6,13639,79
"27789",66,207612,1605.31
"27136",160,285996,2660.91
"21442",36,134002,1214.32
"8841",27,63960,550
"27831",59,141040,312
"32257",110,83606,715
"30332",10,28999,111.56
"30619",13,39497,233
"19795",35,87773,858.46
"22051",140,403908,2646.45
"27942",51,213619,1336
"25002",28,55972,256
"32266",49,319115,986
"26668",16,23653,174.2
"21109",44,57155,451.29
"14936",15,37475,282.6
"23064",7,10730,60
"18489",85,150880,1427.25
"26568",30,85068,626.63
"14311",9,30817,246
"32304",6,20602,10
"7506",144,469624,2782.66
"22658",37,80970,842.86
"9812",6,16281,84
"26202",21,27100,127.62
"5682",20,44017,395.33
"9531",11,25786,185.63
"28380",55,87928,730
"26973",30,27981,197.93
"10922",9,12760,93
"8251",14,38087,202
"8822",11,19882,128
"13435",73,124008,870.93
"33104",129,349281,598
"31372",25,35414,188
"29472",29,79062,174
"28923",199,700185,3962
"25332",64,350624,3030.03
"13693",56,169219,1173.69
"91005",15,151988,1360.49
"27318",28,44002,415.71
"19600",35,64216,289.84
"15696",33,43218,279
"19158",80,229918,1321
"10361",66,79779,509
"29087",31,132986,573
"29849",60,103777,321
"17230",119,280698,1726
"32106",863,2764279,14809
"230",14,27385,240.35
"29349",17,51942,119
"16321",9,17644,153.27
"17622",30,44582,352.43
"9831",45,116450,670.93
"4061",8,13131,93.15
"29561",12,44184,148
"13080",43,112895,663.66
"10326",94,175653,797.47
"23032",26,31479,212.23
"20153",34,72094,584
"32575",53,37681,197
"6058",73,200736,971
"26984",51,105370,769.76
"1078",40,92058,723
"11010",13,39819,314.01
"8583",26,45595,208.91
"15062",23,39495,301.9
"23124",16,44378,951.37
"33468",25,41042,354.36
"5373",24,48224,189
"163",167,281174,1971.42
"3640",23,48789,264.6
"33684",NA,265036,0
"32474",259,317239,2113
"10623",12,21185,117
"15699",23,38034,329.66
"24473",10,18757,162.9
"23091",41,65322,571.03
"18545",129,199590,1684.57
"27532",28,60787,545.95
"22306",20,38440,297
"20937",28,45150,365
"33210",15,21512,145
"21687",16,39556,365
"23403",31,76134,357
"19590",29,55545,378.76
"8276",12,26501,88
"14498",8,18445,140.73
"27711",32,83497,386
"10173",11,26561,157
"9465",28,144253,1117.68
"19950",15,19652,142.15
"11892",53,90195,573
"903",164,466535,2870.88
"622",434,1891783,5995.15
"14531",400,808485,7160.39
"33197",42,109454,785
"28701",30,125114,0
"6423",174,897367,7356.26
"14341",73,155836,1151
"9266",93,220014,1726
"3735",388,1016602,7608
"3655",64,238706,1350
"27267",29,75649,575
"29031",103,267914,754
"31335",498,1068836,7638
"20289",89,153355,1299.07
"29289",96,297195,876
"6782",49,74982,429.64
"26213",26,56369,543.3
"20726",26,49920,459.06
"21946",23,35621,238.52
"19345",61,93541,673.12
"22968",89,158784,1001.96
"21614",32,44257,193
"19594",42,48738,385.12
"19838",31,80744,714.31
"20311",69,140404,1223
"19234",30,30243,234.04
"17906",47,53734,351
"19281",75,77868,534.53
"26904",15,32442,241
"20156",47,90406,525
"20537",76,138051,1138.01
"10570",71,142091,1311.8
"21919",62,72780,526.24
"4624",19,47104,207
"27501",66,95267,550
"20663",21,51765,470.96
"22440",68,63639,527.09
"22989",96,235026,786
"18609",97,165869,952
"26498",126,466970,3632.4
"20639",129,216980,1398
"10892",12,14036,81
"21260",48,67724,526.73
"16749",34,81181,427.79
"19862",49,125217,565
"24678",17,27227,194.89
"20473",87,170567,1499.96
"21567",18,18911,73
"23886",75,113443,690.5
"20504",42,82426,799.55
"27006",31,73143,637.08
"33709",8,22631,168
"32723",15,45988,393
"21663",77,86457,419
"21224",57,104984,538
"15001",160,405227,2411
"31581",6,20879,56
"30809",29,84675,388
"428",38,55170,225.52
"10647",9,22153,162.57
"2328",15,30007,116
"26365",1185,10042784,85130.8
"27471",93,235419,2712.9
"29242",14,50599,127
"28574",593,1208897,8144
"31346",5,20348,50
"29140",75,155647,1145
"30182",76,115485,527
"32328",20,81193,703
"27930",283,733718,3140
"22461",45,51414,415
"18362",47,65511,503
"25711",28,49708,355
"26306",157,170575,2156.87
"23348",20,44961,296
"8843",35,78047,322
"25046",25,31698,272.67
"22675",143,286725,3100.79
"1439",21,40888,419.49
"25192",167,180151,2000.57
"26764",11,42969,365.95
"30950",3,6589,15
"16730",58,106400,633
"26398",18,29824,277.02
"25621",22,41210,328.95
"32972",71,134668,508
"10882",52,129459,602
"24472",42,65904,483
"22373",59,148501,901.95
"20241",119,203403,604
"19300",95,219675,1422
"22695",60,112064,855.63
"18806",22,28414,251
"22962",14,19851,111
"24179",55,63287,179
"33812",8,14476,68
"11598",28,43111,417
"6837",108,244126,1794.34
"5243",430,776208,6158.52
"894",581,1418649,11988.59
"3619",1936,5464244,137270.25
"13085",167,312152,1363
"13595",67,98410,781.57
"22322",36,37661,251
"24525",24,43095,285.85
"15872",346,600154,3356
"24481",17,27347,222
"3696",115,282106,1894
"5184",24,67855,503
"23939",10,29153,200.14
