"","numemp","asset","RWAJT","RBCT2"
"57899",7,39840,37924,316
"15448",7,22500,18337,229
"22039",18,54127,41914,322
"16419",45,88731,59849,655
"30367",38,217282,139284,875
"4788",6,17665,10050,126
"31826",63,148481,93791,1116
"57298",37,111376,79169,780
"33025",132,455732,406513,5082
"57657",28,161635,107787,1347
"35048",38,243917,169924,1754
"35456",32,164853,107306,1154
"11706",17,47048,33394,237
"27552",84,372424,285213,2361
"34393",13,127196,84662,1018
"57611",5,43875,29930,324
"1149",13,74887,58965,568
"1673",455,252105,253840,5150
"11338",81,334769,258040,2911
"6646",62,96399,80138,268
"26744",87,376987,278815,2846
"3564",86,249658,185022,1387
"26977",72,92518,50257,566
"35517",69,265582,247282,7809
"57157",13,62802,52935,537
"57633",112,254664,192275,2407
"35086",43,128258,78061,825
"9087",1056,3430130,2777634,35301
"57626",25,55275,43312,456
"27789",72,370428,283973,3558
"22543",5,21539,12673,124
"8426",141,404901,252229,3651
"57869",10,25556,17680,199
"35408",99,246747,215194,1893
"31249",40,118314,82754,709
"9751",55,338015,326878,3386
"91005",68,207265,141060,1788
"27831",66,257947,131037,1638
"35018",194,58727,14167,0
"27207",17,88257,64988,815
"32257",142,219369,118664,1355
"30332",16,31754,15296,85
"30619",15,74981,43032,541
"19795",55,221881,186567,2335
"27942",118,844390,517480,1455
"32266",64,1239590,818271,1278
"19600",220,159986,120627,1517
"4061",9,33425,28323,355
"35189",242,536540,388864,4867
"29088",129,352615,189023,1531
"14936",27,107214,86125,941
"30400",51,180948,139082,943
"18489",165,399061,325703,4088
"26568",40,181286,120101,1040
"14311",12,62794,54460,615
"32304",6,24400,12753,140
"7506",203,930857,544338,4456
"22658",73,270117,240186,3243
"9812",7,26309,19382,190
"28380",144,409004,229868,2565
"8251",24,80573,59968,381
"8822",11,29177,18166,114
"31372",36,70341,40631,330
"33535",779,1662359,1805353,34759
"18664",2,109649,26243,282
"29864",292,1063567,741008,6959
"57072",65,294270,280606,2815
"34939",45,168082,130983,1266
"18152",49,42980,32749,390
"10375",23,102745,78852,988
"57103",34,277879,184765,1403
"31217",81,217618,172609,1469
"28225",222,1031555,928004,10000
"34885",20,101440,69899,832
"27197",157,1035815,753318,9421
"57478",17,94820,49965,515
"35267",36,2037344,1109732,1104
"3304",26,62289,44002,527
"57840",12,155568,77988,600
"15696",30,82612,40202,505
"35224",23,68715,48385,601
"34676",37,160323,104273,2306
"35314",10,70763,42138,527
"10361",148,312004,232931,1642
"29087",48,156877,79228,239
"13947",35,110908,76120,854
"57845",34,72217,57995,564
"27311",28,63436,26453,331
"29849",67,175370,132004,1248
"35029",62,224427,163973,1999
"17230",113,520154,368885,3458
"34947",41,115291,85371,1070
"34106",42,119538,96965,1213
"9831",60,183084,103962,1301
"17622",60,190271,152825,1921
"3931",295,654128,555006,8018
"13080",39,133818,61562,770
"2773",264,856199,644206,8075
"20093",33,50161,36630,281
"57759",8,19010,11863,121
"6058",86,308791,184540,2963
"35078",31,122593,86896,1091
"34987",18,89498,77424,616
"35265",18,64544,52054,607
"57962",11,18723,15977,45
"8583",47,110238,85494,1070
"15062",21,44667,23477,146
"11569",207,453144,298023,1941
"12511",38,119634,82270,1033
"197",68,223988,166420,1651
"23124",99,674286,577703,6051
"34664",107,611007,369181,3422
"34566",49,117627,103626,806
"34930",17,59724,53813,674
"1932",91,403776,389173,4871
"57733",18,72455,63193,752
"57512",122,519961,479634,5557
"7237",265,977731,650400,5162
"57424",16,38190,27438,344
"28299",33,189033,116396,570
"35173",35,114462,102017,983
"1946",38,80982,54552,683
"15083",9,20849,14024,163
"91",45,119289,78474,713
"55130",34,153110,115142,709
"33684",NA,2909831,NA,NA
"4051",7,16950,8359,105
"34782",51,1000266,324795,44
"15699",27,82519,62859,786
"15426",9,12876,10462,80
"10790",53,223430,148001,1324
"23091",427,1605743,1321394,9753
"18545",171,472257,361347,4052
"35377",15,185678,118243,1478
"19590",56,128627,91375,1088
"8276",13,42954,23071,260
"27711",48,166432,112503,1194
