"","numemp","asset","RBCT2"
"15448",9,19854,184.43
"23309",79,154272,1397.99
"22039",20,42944,461.58
"16419",41,68587,537
"4788",7,15342,95.31
"31826",39,84610,532
"33619",134,338290,2338.15
"11706",18,30060,86
"27552",47,136287,823
"34393",6,43834,296
"1673",245,81129,1064.8
"19713",46,93120,809
"6646",34,62581,254
"26977",44,62665,342
"20662",12,23583,146
"19593",17,23611,208
"9087",906,2606015,26960.9
"27789",78,375600,2437.06
"22536",30,76108,384
"22543",6,20042,130
"8426",91,189915,2040.4
"31249",45,79669,459
"8841",30,71002,485.27
"9751",36,76054,711.44
"27831",52,186192,1147
"35018",0,5634,0
"34799",6,3196,0
"32257",111,172082,936
"30332",15,35386,107
"30619",14,44272,308
"19795",45,137495,1420.03
"22051",206,599669,3504.9
"27942",77,368614,1327
"25002",30,88529,484
"27093",14,99062,1147
"32266",54,614790,3046
"14936",18,55495,422
"18489",103,225148,2150.63
"26568",38,107520,608
"14311",13,47695,408
"32304",7,23976,30
"7506",160,500907,3440
"22658",52,131733,1140
"9812",6,20985,134
"5682",20,64594,442
"28380",91,152118,1288
"26973",45,92009,630
"10922",15,19874,115
"33914",7,279364,169
"8251",15,54644,285
"8822",10,24452,197.48
"31372",19,39406,1008
"33104",101,284227,1596.58
"29472",52,125309,576
"33535",145,335084,5101.07
"18664",1071,2438179,10168
"34939",12,13358,51
"25332",59,195763,1954
"31217",60,105746,0
"91005",43,200506,1841.11
"34885",6,12381,70
"27197",37,198138,2017
"19600",29,70407,287.09
"15696",35,66431,518.52
"34676",11,16377,121.63
"10361",75,127333,626
"29087",45,160536,477
"29849",61,110396,688
"34525",188,794685,1548
"17230",120,356849,1601
"34947",11,13024,57
"34106",18,37919,283.36
"29349",28,77096,235
"17622",40,88402,737.41
"9831",59,149346,960
"4061",10,20233,173.01
"29561",21,48333,152
"13080",46,132992,718.61
"2773",243,569201,4128
"23032",21,42027,277
"20093",28,32100,140
"34388",24,41544,331.15
"6058",97,233730,1756.75
"1078",219,620685,6565.46
"8583",22,50635,375
"15062",22,43664,275.76
"34427",12,29133,242.62
"9296",25,64950,604.12
"30196",74,187504,1620.43
"34930",8,15052,77
"11569",191,310469,1869
"1932",83,237968,2128
"34566",19,36480,208
"34664",11,21718,64
"23124",23,90328,912.96
"34473",28,61260,278
"33468",39,72130,624.15
"33684",NA,524019,0
"34782",22,66275,0
"15699",26,60821,578.8
"15426",11,14752,154.74
"10790",56,122229,584
"23091",407,676814,4625
"18545",167,290034,2556
"31751",9,25287,73
"19590",48,83392,502
"8276",12,31245,112
"27711",36,100728,743.1
"10173",10,33601,211
"9465",35,160961,1266.5
"11892",50,114015,824.59
"903",200,490942,3365.19
"622",481,2364371,7090
"14531",475,1232893,10108.68
"34302",28,38770,245
"3831",99,240941,2181.25
"4415",178,428494,4739.61
"28701",32,151052,0
"6423",218,1276455,10236.19
"14341",62,265550,1896
"9266",125,637227,4470
"3735",346,1857094,11474
"15082",30,141769,571
"29320",94,241296,2325
"15225",28,81914,615
"15178",27,73870,450
"3706",117,442877,2008
"5310",155,474841,3498
"27267",28,112385,881
"29031",124,315057,970
"28537",33,89817,256
"29738",269,917286,4017
"6782",51,54176,0
"26213",60,157445,1187
"20726",28,62851,624.36
"20557",36,70785,649.96
"27501",230,488683,2423
"22968",94,217071,1292
"26248",52,281285,2754.09
"15836",10,5766,3
"21614",50,102699,665
"19594",40,77395,672.14
"19838",47,135066,1289.35
"19234",27,50458,390.13
"17906",44,75977,401.87
"20156",102,175831,1141
"34955",87,191039,1301
"20537",66,155832,1216.44
"21919",60,85799,526
"10973",22,61854,496.09
"4624",24,55259,459.72
"18609",146,260082,2161
"34232",9,17856,120.54
"26498",137,702690,5751.47
"10892",17,25284,121
"20311",62,186671,1310
"34606",19,25532,74
"24678",25,63565,417
"20473",275,642305,5095.32
"34422",24,83480,546
"10954",24,61572,467
"5800",25,92964,969.12
"23886",83,153793,1187.22
"20241",201,345514,2204
"21567",12,23691,161.42
"20504",52,137761,1194.29
"34523",20,32349,164
"27006",117,461775,4183.47
"21663",54,104533,411
"21224",107,247166,1787
"34868",28,34493,325
"33994",28,108315,982
"31581",7,23837,0
"34090",27,90693,462
"10647",9,24561,191.07
"428",38,53309,282
"2328",17,34357,220.14
"27471",1120,12689256,160565.5
"29140",133,260800,1892
"28574",416,1255372,10625
"30182",72,146068,629
"32328",20,86941,557
"34656",42,127950,778
"26306",15,6536,0
"23348",34,90163,589
"8843",60,116206,881
"22675",96,209407,4276.37
"239",22,50205,445
"1439",19,55517,484
"25192",156,200267,2225.33
"26764",36,51816,503.79
"30950",3,6113,17
"16730",68,150643,975
"34334",12,25106,200.01
"33993",13,53842,405
"18806",19,30631,312.17
"24472",56,89400,432
"22373",77,177670,1216
"19300",233,626073,5273
"25621",42,94374,578
"26398",28,75226,771
"33812",15,58252,617.92
"6837",177,458306,3749.1
"3619",1941,9870268,389348.04
"13085",187,454288,2417
"13595",63,126494,872.17
"24481",20,47269,347
"24334",17,45474,280
"23001",32,52540,441
"20393",166,413949,3319
"24655",68,174889,1478
"18246",280,1584010,35893.3
"9104",8,35376,228.59
"31980",20,36490,406.77
"30385",15,44003,168
"30617",42,189075,1251
"29597",25,120169,746
"32526",1357,5587700,26168
"29878",25,116064,522
"34549",4,13391,82
"17784",200,249637,1652.53
"15432",9,18880,128.42
"9645",34,49199,270
"228",65,215585,2341.56
"1117",32,66968,605.38
"20292",18,16687,100.05
"5617",43,99036,507
"26944",27,61297,457
"20006",8,13723,96.29
"22569",19,52632,384.03
"16701",513,1054873,6266.73
"15444",77,149343,1298
"19115",65,93571,750
"10204",9,15182,122.5
"22263",8,12130,105.9
"20712",16,34337,318
"22554",29,74838,659
"21131",28,84364,914
"8266",90,179897,1314
"13150",172,458453,4234
"13099",56,100334,389
"10120",10,34364,233.43
"30713",3,7882,121
"8205",29,46974,485
"5174",42,80285,498
"29668",27,76168,317
"34294",6,12681,55
"19418",48,120386,707
"2838",27,106612,711
"23671",61,53819,470.35
"22444",44,96994,742
"26478",6,22382,122
"5417",27,57109,542.4
"28949",7,42318,64
"26800",6380,20005117,476595
"33784",68,122003,706.67
"15354",25,53548,358.54
"22381",14,31714,160.21
"33467",31,54037,367
"18903",51,181574,1203
"8868",36,121352,1035
"28454",108,297420,2422
"11681",4,12192,83
"29979",565,2114766,17241
"22959",8,16687,91
"34149",9,28984,207
"9923",62,79896,726
"33991",28,83160,800.19
"10858",10,42268,247.35
"16782",47,80498,525
"18483",6,12457,80.41
"23284",265,1340391,9521.27
"34067",16,89412,473
"16410",22,46815,288
"22015",58,127213,1122.03
"17751",152,358256,4005.35
"32018",20,41984,191
"33134",37,199855,1927.5
"11682",21,52335,148
"10989",33,75435,543.31
"30079",6,22331,332.6
"23339",143,221262,1850.61
"9619",30,50134,434
"6051",60,118923,844
"23684",23,52317,465.73
"16068",716,5623650,25508.02
"17453",25,108511,643
"32649",66,38581,306
"22288",70,508960,3694.92
"33655",NA,546560,0
"21001",52,120284,533
"18625",56,103570,765
"31813",3,5360,24.48
"28507",15,50696,96
"32569",56,301509,923
"15392",8,14907,112
"18775",397,832576,7861.58
"32960",19,76342,160
"33901",111,312929,2548
"18277",50,111528,508
"26822",37,83876,392
"1391",18,43556,261
"4666",484,379213,1418.54
"2315",129,190966,980
"29471",7,55658,162
"29743",18,50857,150
"9967",49,103027,224
"1198",30,85866,253
"15085",77,130642,998
"17123",118,357999,1848.35
"28780",65,291997,0
"34012",70,75788,697
"22671",27,98635,685.81
"8023",36,119119,1122
"32422",4,9835,31
"29663",142,360851,2206
"11343",7,23620,184.62
"1436",4,6007,48.17
"25745",69,260707,1785
"34095",19,68044,580
"33825",39,62779,631.96
"24497",15,39275,306
"33013",16,40562,293.04
"34831",11,7360,0
"22177",122,533679,6224
"5296",374,1903075,30625.8
"34916",794,2724114,18630.92
"11619",143,539714,10969
"1509",559,2504746,21771
"12340",319,1326957,12078.83
"13237",294,856756,8221.25
"5311",242,705514,8993.04
"34208",69,42630,0
"33792",3,88810,801.16
"33367",412,417864,4975.8
"29805",1988,22943850,76187
"24064",18,35107,124
"29085",63,143182,602
"28225",191,584859,5066.98
"9631",14,45817,146
"90146",72,178504,2933.4
"27293",20,69783,1053.52
"9096",7,19839,111
"21641",89,228920,1295
"27184",145,463717,5683.27
"5915",343,1605653,10485.85
"24829",26,173012,1770.99
"30243",18,109530,602
"34677",19,64291,275
"32335",45,347827,1542
"34340",162,369038,2228
"26390",78,185407,1574.93
"30783",9,61650,50
"1396",8,17215,158
"284",21,56827,419
"34557",13,17981,140
"28288",9,38797,131
"11477",18,61282,379
"35",103,320703,2745
"26336",39,186860,735
"28191",12,68046,348
"5814",26,54835,424.66
"28242",30,95948,376
"14418",44,120166,1154.98
"18836",58,181866,1394
"23658",34,100855,865
"11694",74,146700,1236
"17270",13,23320,168.61
"25294",107,180262,1200
"3276",87,203002,1648
"19483",46,85107,340
"11556",30,84146,540.37
"13191",13,54631,250.31
"26617",7,40605,206
"10171",16,67500,513.29
"34167",10,24384,182
"1814",8,25708,200.89
"30691",9,62191,0
"21265",90,360742,2060.13
"13272",16,47701,421.93
"2987",162,304871,2044.05
"26704",30,50015,600.12
"32004",35,67927,346
"34456",19,34574,233.37
"6959",107,219974,980
"34440",2,11600,42
"32477",25,28509,215
"32341",85,272842,1205
"11652",86,265183,3456.8
"27476",1239,2261159,17462.7
"19919",1325,3396115,45469.5
"22302",71,102450,1035.01
"34968",7000,16585000,114875
"34967",2030,4157022,37752.91
"22759",104,125315,532
"20828",1698,7238513,68952
"11813",2413,5491048,49175.08
"12342",19,32668,254.07
"26653",11,21071,143.94
"18408",529,1138524,10972.19
"1047",88,140014,1138.28
"1961",54,84076,737
"34554",13,19006,123
"8560",26,52348,436.68
"33927",12,28394,95
"21269",45,108321,411
"27122",23,79968,749.28
"24516",58,616879,8611
"9644",328,767113,3921
"22559",63,141704,982
"33658",NA,416322,0
"33686",NA,2778009,0
"16604",114,291163,2669.63
"4456",36,83843,598
"19842",410,3124235,84546.57
"5170",71,228686,1970
"32964",503,2135092,13612.45
"15093",39,76105,514.5
"34421",12,27099,241.91
"16601",20,45794,310
"11782",41,107613,505.8
"866",17,35752,237.03
"19434",74,163325,1135
"13290",45,119912,1285.74
"22130",91,169055,1534.82
"34577",19,50994,220
"155",26,47733,393
"34992",184,691762,430
"26689",20,108943,1008.58
"9108",133,213476,2027.47
"24799",36,83241,692
"25178",206,564353,28476
"27595",1954,4132048,144826.88
"3510",55129,250700000,8408071.25
"33404",1369,5270829,35967.05
"9575",3300,28887682,357689
"12773",153,289741,2761.58
"5618",15,62330,523.46
"34830",11,26905,145
"8243",28,64785,634.73
"34120",43,114850,694
"33482",29,101906,1043.18
"8252",16,57685,161
"19588",72,167686,1360.6
"19877",46,100698,532
"581",15,17526,123.31
"34330",37,74093,531.04
"33681",NA,57577,0
"6195",23,67079,551.52
"23123",123,315986,2543
"16282",10,29472,116
"1465",13,21640,194.83
"18930",30,38811,197
"33696",31,65989,507
"18407",34,56952,385
"1623",38,58109,303
"8595",13,31098,208
"15817",6,16384,138.29
"287",132,199313,1775.69
"100",195,594845,11041.81
"32715",26,10898,0
"15267",8,23717,192.76
"10253",16,45762,320.7
"16959",7,21066,56
"8278",11,24172,137.65
"1756",7,15220,79.15
"9788",31,106540,755.33
"32722",89,257528,2488.54
"10883",17,55073,169
"34397",14,35962,286
"23813",23,44202,202
"6137",52,115153,1017
"15103",6,10198,49
"5605",29,47814,116
"15833",9,19400,151.07
"11245",26,85193,261
"9385",24,63403,407.07
"15906",16,31260,213
"2733",9,33936,255.78
"16288",28,39874,342
"20239",27,65163,378
"8254",30,57712,400
"12549",29,72324,587.19
"9176",42,128079,898.86
