"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"26979",13,17999,106,16.6142831450667,17.5220738736116
"16419",33,46943,353.21,12.6357400682266,13.8904687017656
"4788",7,14750,55.51,43.1853119537402,44.4570449333434
"23406",148,768604,4926.26,14.3981199842137,15.6591003137029
"33619",25,63974,394,7.29525599526644,8.20948336871904
"27552",28,58030,292,16.5449889347714,17.5406890108129
"1673",43,30558,281.14,9.91774267817197,11.1944249934381
"6646",24,59454,229,21.6876881016381,22.4392741451119
"26977",23,31310,197,18.7219530741447,19.8567914604852
"17316",37,165109,842,15.3659223453723,16.4791650415351
"21170",40,43936,301.48,15.295555081832,16.5459086463848
"28738",70,150846,1026,16.9374457524969,18.1208053691275
"20662",9,18387,107,15.3944452209333,16.4626719645389
"19593",11,17222,168.47,11.987638026808,13.2389127346001
"9087",719,1456463,18482.07,10.2886723687756,12.0480724698745
"14181",13,42990,286.92,16.5136908339611,17.7688188270949
"22536",31,47767,207,14.4493399765073,15.3532424773042
"22543",6,13592,85,15.8675602910007,17.0848370281263
"27789",68,209702,1602.62,12.2407309344399,13.4939084104941
"27136",70,155985,1356.15,13.8581343058728,15.1096298668311
"21442",37,131716,1203.31,14.1088062420974,16.2580995246874
"8841",21,62165,544.35,9.60684746315595,10.8573226942819
"27831",60,140254,267,13.5844112037986,13.9308000674615
"32257",110,76736,753,12.2053956473774,13.4640457326246
"30332",10,30603,114.25,33.9728678973445,35.2293910949074
"30619",13,39686,221,15.7452605290044,16.9996594392099
"19795",34,80795,811.58,12.2515418332773,13.5101628865749
"22051",122,355538,2189,14.1717029206764,15.3240750489587
"27942",52,212210,1336,13.1799962472052,14.1867701172033
"25002",29,63586,276,17.4318220985169,18.3292634152845
"32266",50,267160,1035,8.42489196455988,9.20005092831839
"26668",16,23948,189.2,13.7852984087593,15.0751987346432
"21109",47,56522,440.35,11.7825089156226,13.0433662184159
"14936",16,36986,275.39,16.6897466109946,17.9479424279127
"23064",7,10766,60,24.7421839970652,25.9650266987323
"2730",8,13896,82.5,15.956230854809,17.2135269823369
"18489",82,140789,1301.75,9.54142393713295,10.797674428704
"26568",30,83905,611.16,18.0497066820342,19.3004162892668
"14311",9,29951,241,13.3605335285557,14.4363399369694
"32304",6,20721,10,24.8470859780727,24.9624927870744
"7506",150,473472,2749.34,20.9812367328154,22.2350307121016
"22658",39,83831,857.61,9.33930820573896,10.7801220410194
"9812",6,16200,84,37.0565816476107,37.8774552917033
"26202",20,24509,125.42,15.0640398263751,16.3294998900214
"5682",20,43635,390.8,10.4980539486011,11.7561463997244
"9531",11,26736,185.37,12.779729393445,14.0298499410244
"28380",55,84284,691,7.69230769230769,8.94181042276952
"26973",29,24104,176.1,16.3048914674402,17.5631260806814
"10922",9,12422,92,13.4514524851219,14.7014864534362
"8251",14,38366,197,24.3229854689564,25.407309555262
"8822",10,20570,170.64,16.1676919170347,17.4200091883569
"13435",77,123952,861.11,13.21465417709,14.4653983910309
"33104",128,360689,600,25.208215166418,25.7688753250661
"31372",26,35231,196,27.1414656506045,28.2644817509884
"29472",29,71729,150,11.4547318724815,11.8123941915639
"28923",190,678102,3800,19.6407235767907,20.8645048677511
"25332",68,364337,3057.33,9.37276480029196,10.633239640042
"13693",54,154530,1063.15,14.0292663503335,15.3120748581478
"91005",14,156871,1420.21,13.0662286456585,14.3211680238184
"27318",26,45325,425.03,10.9623825738587,12.2179313384416
"19600",37,58375,294.33,25.281397334282,26.5460257634797
"15696",33,42034,335.38,14.1999359939843,15.4508880648177
"19158",77,255305,1510,16.6690405163387,17.6647385732108
"10361",66,81300,501,12.135360354141,13.1995675198025
"29087",31,131898,552,29.9220499955201,30.8484902786489
"29849",61,103034,610,12.3716172155201,13.6146886208021
"17230",114,280630,1681,15.4957849335717,16.6284724351299
"32106",976,2730112,14213,17.9407152585946,18.8720759567584
"230",10,16872,148.7,16.8555431886404,18.109379742993
"29349",18,50717,110,17.0485303648355,17.4678815142389
"16321",9,18057,153.45,13.5928126571822,14.8478169304943
"17622",27,43493,333.06,14.5763996179509,15.8357551709352
