"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"35523",3,22618,0,338.680986742742,338.680986742742
"15448",8,19415,167,12.9962455290694,14.2329253030606
"23309",93,187754,1824.86,8.96243350068818,10.2209119862273
"22039",18,40115,410.43,16.1064106452265,17.3624536095283
"16419",38,69829,585.2,13.1746415423678,14.4264357022304
"30367",26,127005,704,10.9640329797262,11.8987240935222
"4788",6,15711,104.21,24.8005292707704,26.0563422714055
"31826",48,99201,511,12.2679197092243,13.1045548315269
"35048",28,103421,512,12.7120030539347,13.4100452636745
"35456",12,24600,50,49.9976326878462,50.4710951186023
"11706",17,35147,137,10.6189871119985,11.1596044417436
"27552",49,167035,1070,13.2022004853018,14.153598284283
"34393",8,63230,454,13.4296789266877,14.4341392615668
"1673",276,125517,1526.96,8.85352196087937,10.1193434864772
"19713",51,155294,1285,9.20231411818678,10.3980845339892
"6646",41,67600,252,23.0678494747166,23.6244996774963
"26744",68,187037,1357,10.7965454623872,11.8056309498491
"26977",53,69624,423,16.0163988161689,17.0211350907113
"19593",16,30147,284,10.9525715882739,12.0251682541601
"9087",918,3073573,31793.48,11.0586195667478,12.3143904941428
"27789",80,337435,2788.51,23.4126803915235,24.6677409544484
"22543",6,21006,133,15.1655834107088,16.1456721345301
"8426",105,224166,1965.1,11.6649554044164,12.9819794702147
"31249",39,90620,546,10.0690307659962,11.0256500105123
"8841",15,38102,340,21.8941517658079,23.0693983083363
"9751",35,92343,871,10.3281165253922,11.5061926769921
"27831",57,197793,1139,20.6107123870282,21.8722310827574
"35018",2,6204,0,756.107382550336,756.107382550336
"34799",10,2040,0,161.616161616162,161.616161616162
"32257",125,195328,821,16.8130525546181,17.6028629424045
"30332",15,34424,88,22.7992640503784,23.2165550729311
"30619",12,50522,365,14.209299135921,15.460842134138
"19795",48,146178,1513.16,11.320871372198,12.5783249232187
"22051",239,728411,4441.15,10.477248395054,11.5657954336001
"27942",87,437422,1346,15.4766441733491,16.0033055238402
"25002",30,99247,791.88,13.0867387082443,14.3378707435315
"32266",60,811488,3036,10.3194257233316,11.0514982650652
"35189",68,51397,419,25.3846939378793,26.5106929596844
"14936",18,67902,526,10.8151469064241,11.886074480366
"18489",117,264535,2780.14,10.678156629839,11.9303402966553
"26568",38,126605,668,16.7268413706022,17.5505442851294
"14311",13,51338,421,11.6591321601299,12.6083672480074
"32304",6,24562,75,27.2815377160394,27.887255693749
"7506",152,523386,3481,18.288289260804,19.4625746705187
"22658",56,161139,1822,12.2787019387673,13.7150010484511
"9812",6,23634,134,34.1734220736208,35.0187679399426
"5682",20,73910,478,16.0762105639312,17.1177433166499
"28380",77,181031,1462.9,9.92253828199143,11.1732970819333
"26973",85,219955,1746,8.92648820432136,9.90201183590642
"10922",13,20626,192.28,11.098172865034,12.3790592266719
"33914",1,122492,0,88.3453288676691,88.3453288676691
"8251",18,58541,341,11.953819035056,12.7499620606329
"8822",10,24807,188,18.2282418349478,19.379370308233
"31372",23,39175,731,33.3995113011607,37.1207493382203
"11687",232,548565,2184,13.4148194147764,14.1604228636703
"29472",57,148716,700,14.3993286298389,15.0824087356187
"33535",181,944796,19722.37,11.2544398935338,12.5193374757257
"18664",1080,1602650,20844,14.3648908039911,15.4120800849608
"35408",18,9921,30,114.793838760887,115.437422233664
"34939",24,60974,348,17.9730624862,18.7818851611254
"57072",12,7054,4,313.233486084721,313.457024701017
"25332",23,4590,0,168.625146886016,168.625146886016
"35405",111,3470,25,392.507204610951,396.109510086455
"31217",64,139478,1147,11.7249364641697,12.7375847553257
"91005",48,207990,1976.89,15.3006629479472,16.604289784213
"34885",7,27641,64,15.6180862831858,16.060564159292
"27197",58,311522,3015.06,11.7351482078991,12.9873043446337
"35267",13,19814,8,282.210362463865,282.388258839226
"19600",51,69532,323,34.7849497623592,35.8998077474001
"15696",32,77835,558.02,12.4404604674546,13.6917268247092
"35224",12,13446,67,49.8802663087814,50.7618220573143
"34676",21,37083,397.73,18.5635559438788,19.8153842086395
"35314",11,13092,90,92.0324441451202,92.9108957277971
"10361",87,153796,885,11.588168146435,12.361703280663
"29087",39,146136,419,32.6277770205806,33.1443369224479
"29849",66,130047,543,14.9157634939371,15.5631863218514
"35029",19,51346,420,18.4783973019139,19.6244290306209
"17230",125,390440,1945,13.5587601070782,14.2249162253026
"34947",17,48358,432,14.6359988607007,15.7153350689326
"34106",17,41328,413.62,10.2750673126089,11.5294868349942
"17622",45,105378,958.24,12.2668496215244,13.5272598704339
"9831",60,158583,943,25.8668476073281,26.9513415293319
"4061",8,23136,223.2,12.4419497056171,13.6923068304679
"29561",23,49920,209,38.0869659627599,39.2215406329732
"13080",48,137668,789.42,28.1992410492481,29.449931811038
"2773",238,644510,5205.8,9.93065127587344,11.0070887141765
"20093",28,34223,171,13.5519259168786,14.5012824641077
"34388",30,61440,406,28.5193491239388,29.5587437149908
