"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"15448",8,20446,14778,184,10.8945730139396,12.1396670726756
"23309",78,156825,108725.69,1375.59,10.5884818942055,11.8453973481336
"22039",18,43753,39416.65,493.55,11.553493257291,12.8056290932893
"16419",42,66740,46407.7,505,11.5002467262976,12.5884282134215
"4788",7,16073,7306.39,91.99,26.1825607447727,27.4415956443606
"31826",38,81971,46923,517,12.2605119024785,13.3623169874049
"33619",124,326454,243891.7,2209,8.56035691251486,9.46608679180144
"11706",20,29902,19657,96,11.848196571196,12.3365722134609
"27552",45,129809,85350.9,776,14.2271493329303,15.1363371680908
"34393",7,42871,27631.7,261,18.095158821209,19.0397261116761
"1673",218,82204,80191.53,1029.03,8.7241133820492,10.0073287041661
"19713",49,92811,65047.9,771,10.8535402372713,12.0388206229563
"6646",28,60797,40569.4,255,22.6032428381983,23.2317953925865
"26977",42,58250,32782.6,340,14.4314361887099,15.4685717423267
"20662",12,24965,14817,110,12.3236822568671,13.0660727542687
"19593",16,22936,18343.7,204,12.6964570942612,13.8085555258754
"9087",872,2614164,2041694.7,26237.2,11.1350634352923,12.4201331374372
"27789",78,291930,182189.18,2289.88,14.6056972208778,15.8625665914957
"22536",29,74656,39082.9,399,13.8679575978241,14.8888644394352
"22543",7,19654,12124.9,123,14.4331087266699,15.4475500828873
"8426",92,184719,129875.85,2261.45,11.8959760417352,13.6372158488279
"31249",47,81693,50393,481,10.4240668346794,11.3785644831623
"8841",27,71900,40646.44,510.64,17.7555525157923,19.0118495002268
"9751",35,77310,57775.25,722.25,11.3145334723779,12.5646362412971
"27831",57,189486,93480,1176,17.3224219084296,18.5804450149765
"35018",0,5634,72,0,7041.66666666667,7041.66666666667
"34799",5,3196,992,0,250.907258064516,250.907258064516
"32257",115,173749,83661,1046,15.8209918600065,17.0712757437755
"30332",14,34585,20579.3,108,20.2096281214619,20.7344273128824
"30619",14,44002,24432,306,14.5997053045187,15.8521611001965
"19795",41,140738,114405.74,1438.54,10.2084038790361,11.4658058240784
"22051",197,590078,318252.9,3282.2,10.5937762075381,11.6250943824864
"27942",74,359966,203995.6,1330,15.9812270460735,16.6332018925898
"25002",30,80429,53010.7,463,12.1277402486668,13.0011488246712
"27093",14,84895,98825.7,1147,14.0378464306349,15.1984757001468
"32266",52,584005,275403,2917,10.9588493952499,12.0180244950128
"14936",18,55973,38652,404,14.6383110835144,15.6835351340164
"18489",98,229492,176144.48,2209.98,10.0565172408468,11.3111577495928
"26568",38,106876,66128.3,607,18.9994298961262,19.9173424993535
"14311",13,50299,40529.4,407,10.4319333619545,11.4361426520008
"32304",7,23669,10819,30,28.8658840927997,29.1431740456604
"7506",158,498538,282331.9,3424,18.8161521953417,20.0289092376738
"22658",53,128937,108476.9,1134,11.0770127096184,12.1223965655361
"9812",6,21413,13140.6,134,36.9922225773557,38.0119629240674
"26202",15,41485,16834.08,211.08,14.1498674118217,15.4037523880129
"5682",20,67975,39601.6,442,14.2064967072037,15.3226132277484
"28380",86,151844,103715,1246,8.98307862893506,10.1844477655113
"26973",45,80645,56760.3,602,24.0363423026305,25.0969427575259
"10922",14,19149,12324.6,131,13.160670528861,14.223585349626
"33914",8,165904,38951,0,62.6094323637391,62.6094323637391
"8251",17,53393,35721.9,281,11.4887505983724,12.2753828883682
"8822",10,24261,15937.5,197,17.8007843137255,19.036862745098
"13435",77,171324,121204.52,1549.17,9.39577170884386,10.6739171113421
"31372",22,38349,18407,1008,33.6448090400391,39.1209865811919
"33104",105,295035,133436.49,1678.09,23.6260710994421,24.8836656299937
"29472",51,122506,84576,551,15.5788876276958,16.2303726825577
"33535",150,283244,290139.82,3675.32,13.1450415871906,14.4117825674532
"18664",1163,2547627,3136646.2,9826,11.8049973248497,12.1182618556087
"25332",58,211101,168315,2104,9.55232748121082,10.8023646139679
"31217",50,104030,62809,0,17.7108376188126,17.7108376188126
"91005",48,211267,148886.85,1896.85,15.819395735755,17.0934169135824
"34885",5,10818,9375,62,21.44,22.1013333333333
"27197",33,171965,146616.7,1560,11.5259721436917,12.5899709923904
"19600",32,74763,30577.13,382.43,22.2257615413873,23.4764675428989
"15696",35,66779,42071.5,521,12.39794159942,13.6363096157731
"34676",11,14001,7482.82,93.62,92.6789632785501,93.9300958729463
"10361",75,122006,81201.2,575,12.7719787392305,13.4800963532559
"29087",45,160727,73592,481,29.8660180454397,30.4584737471464
"29849",61,109843,65030,674,11.606950638167,12.6433953559895
"34525",228,711574,280053.1,1683,13.9391422555223,14.5400997168037
"17230",120,351668,252600.6,1578,13.8677421985538,14.492443802588
"34947",11,8629,3487.6,0,196.438811790343,196.438811790343
"34106",19,37472,22846.76,289.16,11.2444828063148,12.5101327277916
"29349",27,75459,38232,253,15.0580665411174,15.7198158610588
"17622",40,87885,56479.72,710.82,13.4172053260887,14.6757455596451
"9831",58,148205,87778.5,950,22.0338693415814,23.1161389178443
"4061",10,17731,13604.5,170.5,12.6943290822889,13.9475908706678
"29561",17,47879,12749,151,59.4556435798886,60.6400502000157
"13080",48,133201,57922.42,724.82,28.2222324274435,29.473595889122
"2773",251,561881,409090.6,3917,11.0369194501169,11.9944090624424
"23032",21,42605,23412.3,256,15.9061689795535,16.9996113154197
"20093",28,31345,15950.4,142,12.5137927575484,13.4040525629451
"34388",26,40325,23312.43,291.43,25.5271543978899,26.7772600282339
"6058",93,234984,94969.79,1774.89,30.5760389698661,32.4449385430883
"1078",180,595046,474985.68,5940.48,9.68279717401165,10.9334622466934
"8583",22,49120,29464.9,367,13.4261443276577,14.6716941174075
"15062",23,39677,21015.97,266.57,14.1606597268649,15.4290760788105
"34427",12,28743,17135.79,214.89,23.3546279453705,24.6086699241762
"9296",25,65337,49512.02,622.12,12.3545757171693,13.6110786835197
"34930",8,10584,5995.3,52,80.9300618818074,81.7974079695762
"11569",204,310841,178797.5,1773,11.1942281072163,12.1858527104685
"1932",90,243243,188296.1,2097,9.75166240830267,10.8653339076062
"34566",17,30523,17568.3,164,20.6451392565018,21.5786387982901
"34664",10,12235,4185.5,16,189.272488352646,189.654760482619
"23124",21,82114,67995.72,1377.02,7.20339456659919,9.22855144412031
"34473",25,44950,24890.7,266,16.6287006793702,17.6973729143817
"30196",69,183885,116105,1456,12.531760044787,13.7685715516128
"33468",37,71445,47494.98,594.58,11.2475044731043,12.4993841454402
"33684",NA,465737,NA,0,NA,NA
"34782",19,66391,19185,0,338.034923117018,338.034923117018
"15699",26,62101,47124.24,589.44,11.8516500213054,13.1024712547088
"15426",11,15650,12842.67,162.17,7.44393494499197,8.70667859565028
"10790",56,122264,81166.4,582,11.55527410357,12.2723195805161
"23091",384,620363,492458.1,4505,9.15854567119517,10.073344310917
"18545",171,284891,206310.1,2443,10.7837667666295,11.967906563954
"31751",8,25850,12276.3,71,13.513843747709,14.0921939020715
"19590",48,84003,60071,500,12.0057931447787,12.8381415325199
"8276",12,31639,17922,111,25.2427184466019,25.8620689655172
"27711",37,100546,53784.85,780.35,23.4880268328349,24.9389000805989
"10173",10,34179,21736.1,189,17.5100408997014,18.3795621109583
"9465",35,159363,103035.58,1291.38,22.5572564351072,23.8105904775807
"11892",56,138815,71564.41,897.81,13.1056764109423,14.3602245864949
"903",206,657609,299815.34,3755.54,15.8734372964372,17.1260549910488
"622",470,2257507,806399.1,7115,19.3677051474884,20.2500226004717
"14531",476,1215482,815555.55,10198.45,12.1118175211977,13.3623086741302
"34302",27,35830,21702.4,223,13.7629939545857,14.7905300796225
"3831",100,250164,184892.17,2326.97,15.4809151734224,16.7394703626443
"4415",188,443901,378425.91,4764.81,11.3290339976985,12.5881470431028
"28701",32,147123,72567,16,17.2626676037317,17.284716193311
"6423",208,1245718,770624.81,9834.81,12.6061344949431,13.8823469750474
"14341",59,260583,177520.2,1744,9.50652376461946,10.4889471733358
"9266",131,651548,402000.5,4103,11.0586927130688,12.0793382097783
"3735",345,1826420,1239518.8,10792,10.239457441065,11.1101178941376
"15082",31,139511,74907.9,510,13.0026339010972,13.6834699677871
"29320",96,234455,182781,1995,9.73022360092132,10.821693720901
"15225",35,87925,58759.8,599,10.4220912937076,11.4414957164592
"15178",28,73365,46370.8,447,11.0888748954083,12.0528435998516
"3706",115,445722,244563.6,1956,12.1498047951535,12.949596751111
"5310",161,486448,327868.8,3477,11.4219468275115,12.4824319971891
"27267",28,117014,76373,870,13.5375067104867,14.6766527437707
"29031",139,313158,150141,954,21.6802871967018,22.013973531547
"28537",31,91948,46315,258,16.9318795206736,17.4889344704739
"29738",264,938131,607049.7,3823,9.6301999655053,10.2599671822587
"6782",51,55038,21272,267,18.686536291839,19.9417074088003
"26213",58,146018,112773.4,1082,12.6199972688595,13.5794433793785
"20726",28,54499,41987.92,532.12,14.1350178813335,15.4023347667615
"20557",38,75139,52358.93,655.23,10.296237910133,11.5476576774965
"27501",218,455841,323579.2,2323,11.5645257791601,12.2824334815093
"22968",93,239076,144917.9,1284,10.2492514727304,11.1352703841278
"26248",52,282245,260859.92,3345.72,6.28229894419963,7.56487236521425
"15836",10,4529,2012.5,0,92.1242236024845,92.1242236024845
"21614",45,95802,63030.1,576,11.0296509128178,11.9435000103125
"19594",40,74693,49200.69,616.49,14.6197136666173,15.8727245491882
"19838",47,135254,96672.19,1219.39,19.1722148841358,20.4335807433348
"19234",27,50764,30453.24,382.74,11.5488532583068,12.8056653413561
"17906",44,73632,33347.96,419.06,27.4469562755863,28.7035848669604
"20156",96,182333,121319,1172,9.56156908645802,10.5276172734691
"20537",68,148444,88459.17,1107.57,14.6790886688175,15.9311578437826
"21919",62,87438,50549.4,536,14.5362754058406,15.5966242922765
"10973",22,62515,39585.33,494.93,13.5681576988243,14.81844410543
"4624",20,53706,34828.21,435.51,12.6592782115417,13.9097300722604
"18609",142,265225,192953,2152,8.87107223002493,9.98636973770815
"34232",9,15441,8727.63,109.23,29.5498319704204,30.8013744853987
"26498",139,670279,433953.52,8746.42,12.9904695784009,15.005989581557
"10892",14,25808,15524.2,120,9.27584030094949,10.0488269926953
"20311",64,190309,157885.3,1305,11.2233374481348,12.0498868482373
"34606",21,24329,15135,67,13.9015526924348,14.3442352163859
"19862",78,180955,103817.1,1177,15.1403766816835,16.2741012800396
"24678",26,61171,40060.9,393,9.28086987561438,10.2618762933434
"20473",291,640479,401180.23,5022.63,9.2751330243766,10.5270965122085
"34422",21,73510,39932.98,499.28,25.1671675892959,26.417462458349
"10954",32,62664,47016.6,461,10.5473385995585,11.5278433574525
"5800",24,91321,75362.02,942.22,8.54807235793308,9.79833077722704
"23886",86,150471,94073.13,1176.53,13.1971796835079,14.4478343603535
"20241",197,347484,224361.7,2091,11.1240020021242,12.0559792513606
"21567",14,23275,12041.23,150.73,16.2026636813681,17.454446098945
"20504",53,142670,96950.32,1218.62,11.6595798755486,12.916532921191
"34523",18,21183,12858,95,50.5444081505677,51.2832477834811
