"","numemp","asset","RWAJT","RBCT2"
"15448",6,21542,16680,209
"22039",19,48817,34490,435
"16419",43,83883,51299,611
"30367",32,182572,104713,752
"4788",6,17061,10303,129
"31826",59,146565,89898,1035
"57298",20,60836,57892,605
"33025",110,356178,323947,3840
"57657",19,92918,42617,276
"35048",39,214413,149748,1581
"35456",28,144569,83658,946
"11706",17,45699,32082,233
"27552",87,329791,228062,1945
"34393",12,101564,80745,917
"57611",4,30040,21797,227
"1149",12,57758,42900,536
"1673",440,236812,376553,6882
"57647",46,166264,122706,1453
"11338",83,277409,191741,4663
"6646",40,91829,63785,240
"26744",79,311121,237326,2360
"3564",86,236663,173958,1298
"26977",67,85208,49787,515
"35517",46,195427,180648,1955
"57157",13,52280,41911,469
"57633",129,273139,202936,2542
"35086",36,91232,51500,501
"9087",1042,3315960,2631889,33334
"57626",14,18081,10088,131
"27789",83,375123,278878,3492
"22543",5,19341,12292,133
"8426",127,369586,225508,3794
"35408",71,140692,101096,1265
"31249",38,111707,75264,741
"9751",62,277020,261438,3269
"91005",63,194851,122179,1559
"27831",68,273206,132506,1659
"35018",184,47354,9614,0
"27207",21,35730,21527,283
"32257",148,224995,177756,1351
"30332",17,28854,14499,82
"30619",14,67528,42257,529
"19795",54,191345,148937,1872
"27942",110,657744,391491,1412
"32266",62,943525,553066,3699
"35559",16,44563,34614,433
"4061",8,32613,26103,326
"35189",325,389678,305175,3248
"29088",119,283013,185634,1324
"14936",24,94111,73635,922
"30400",55,167430,124528,1473
"18489",164,351210,288896,3631
"26568",40,165179,106245,761
"14311",13,69282,57790,567
"32304",6,25286,13033,135
"7506",189,938891,521080,4170
"22658",67,238776,193614,2671
"9812",6,25782,19709,207
"5682",20,80936,54137,611
"28380",125,328916,187408,2208
"8251",24,66459,52207,592
"8822",11,28563,17134,91
"31372",38,74302,41586,428
"29472",90,314016,203353,1861
"33535",824,1153658,1268478,27268
"18664",2,83918,23299,293
"29864",276,1121744,743014,6398
"57072",52,195075,189532,1815
"34939",42,147571,113767,1052
"18152",42,39350,28628,359
"10375",22,79839,58161,731
"57103",35,237325,174765,1283
"31217",83,219216,174043,1344
"34885",19,101038,63358,658
"27197",133,868847,664269,8309
"57478",12,99201,37075,330
"35267",31,1445197,684476,967
"3304",20,36646,30284,378
"19600",148,98349,76413,960
"57840",4,30424,7064,10
"15696",33,81795,40558,510
"35224",23,62379,35705,446
"34676",53,145848,101923,2779
"35314",10,63596,41054,514
"10361",136,283794,203863,1408
"29087",48,156582,80358,365
"27311",32,69858,26794,337
"29849",72,172410,132248,1136
"35029",55,149356,105882,1012
"17230",120,476051,333088,3111
"34947",51,120149,89124,1118
"34106",48,108009,86251,1080
"9831",60,181528,101480,842
"17622",58,197869,152146,1913
"3931",292,613603,479363,4676
"13080",42,137571,57361,718
"2773",250,710955,550065,6901
"20093",32,53136,33698,288
"34388",70,206186,139469,1172
"6058",86,308556,189661,3123
"35078",20,81233,67903,853
"34987",15,67249,54133,528
"35265",13,73362,54008,473
"8583",37,97157,72614,865
"15062",22,42978,21485,272
"11569",171,412148,260730,2318
"12511",39,117106,76808,968
"23124",67,378297,291027,5216
"34664",87,525096,255959,1926
"34566",36,102830,85612,743
"34930",15,55389,48962,613
"1932",87,392970,376267,4071
"57733",12,11442,7341,92
"57512",73,294656,247876,2922
