"","numemp","asset","RWAJT","RBCT2"
"15448",10,21561,15662.1,145
"23309",69,137297,101630.77,1284.17
"16419",39,61813,42845.2,479
"4788",7,15374,6167.66,77.86
"31826",37,73031,43449,496
"23406",217,1221070,770039.3,9180
"33619",77,244696,175764.9,1896
"11706",20,25520,14712.4,99
"27552",37,101697,69332,628
"34393",6,16305,11736.6,118
"1673",140,67932,67058.97,861.67
"19713",36,63344,47519.63,594.53
"6646",32,60244,39693.7,260
"26977",36,48299,27326.9,309
"28738",72,339873,202990,2549
"20662",10,22832,13696,112
"19593",18,21596,17271.6,216
"9087",821,2332369,1862490.95,26303.05
"22536",31,65428,36308.4,376
"22543",6,18549,11535.1,132
"27789",78,260047,173886.96,2185.06
"8426",88,169771,115339.7,2285
"31249",40,71175,49975,424
"27136",331,916649,543741.07,6853.57
"8841",24,81782,51160.35,641.15
"27831",57,184193,100430,1222
"32257",105,151537,66861,722
"30332",12,33354,17464,94
"30619",13,41879,21611,268
"19795",34,124413,106236.55,1338.75
"22051",165,531848,270170.2,2280
"27942",59,290490,177160.5,1300
"25002",30,68153,38411.5,388
"27093",9,31673,31568,204
"32266",51,562003,277008,2082
"14936",17,54190,36126.6,363
"18489",98,200261,154480.13,1940.03
"26568",32,99849,61749.3,613
"14311",13,44730,37212.2,333
"32304",6,21417,10182,20
"7506",160,466518,278521.3,3174
"22658",43,128708,91886.1,1117
"9812",6,20111,12069.5,134
"26202",19,38318,25020.67,313.27
"5682",20,61122,41174.1,479
"28380",77,134707,90399.56,1130.86
"26973",26,48187,31211.7,378
"10922",13,16953,10827.7,107
"33914",28,170051,46212,577
"8251",17,48744,30913.8,238
"8822",10,24712,15322.6,191.9
"13435",85,168957,116900.42,1461.52
"33104",107,303088,130997.14,1643.84
"31372",19,35577,17177,187
"29472",41,107656,70787,328
"33535",129,237839,178764.3,2296.4
"18664",4304,4814831,5033002.46,173889.66
"28923",285,1009095,479100,5818
"25332",62,225106,172691,2162
"31217",27,91099,50481,636
"91005",13,241283,170865.24,2172.44
"27197",20,87148,46773,570
"19600",35,64251,28385.79,355.99
"15696",35,64556,38786.4,363
"10361",77,108499,73896,586
"29087",40,157725,63955,516
"29849",58,114015,67563,751
"34525",207,590132,187941.8,1986
"32106",1231,3764541,2294649,27131
"17230",110,315837,220688.6,1941
"34106",21,31015,20926.23,265.93
"29349",28,71362,35712,239
"17622",32,74713,47209.35,593.35
"9831",54,140277,87984.1,938
"4061",8,16081,11801.03,147.63
"29561",13,43517,11221,142
"13080",49,119291,53134.26,665.26
"2773",247,516759,381147.8,3855
"23032",24,36478,20390.3,226
"20093",24,27031,13886.8,139
"34388",13,19631,10111.5,86
"6058",94,233504,89755.6,1075
"1078",173,572019,413184.4,4584
"29376",7,38303,17687,220
"8583",23,41631,22155.75,278.05
"15062",23,40600,22484.31,285.81
"34427",10,21951,8798.71,110.11
"9296",25,57482,45963.83,578.53
"10106",46,126150,82764.6,667
"11569",198,303524,162726.07,2034.77
"34566",8,10609,4379.4,27
"23124",22,64995,49787.84,1154.44
"34473",15,20218,10757.41,134.61
"30196",67,189298,112635,1414
"33468",37,63239,43574.39,545.09
"163",232,535505,305776.67,3824.17
