"","cert","numemp","asset","RWAJT","RBCT2"
"1",15448,8,13467,9643.1,93
"2",23309,40,83302,53530.01,672.41
"3",16419,32,48317,30674.87,384.17
"4",4788,7,14445,4685.48,59.48
"5",23406,158,856514,419936.06,5286.56
"6",33619,36,77327,58431.4,649
"7",27552,30,64713,34368.1,369
"8",1673,61,33550,24299.4,310.3
"9",19713,17,20351,8611.39,108.59
"10",6646,25,57983,32980.1,232
"11",26977,25,34915,19851.5,233
"12",21170,43,50079,29094.3,326
"13",28738,72,193474,102502,1285
"14",20662,9,19270,10347,115
"15",19593,11,21109,14935.03,186.93
"16",9087,705,1503752,1084634.51,18467.51
"17",14181,12,41968,18661.7,235.1
"18",22536,30,50878,23499.7,230
"19",22543,6,13658,8236.6,89
"20",27789,68,217954,136011.56,1707.56
"21",27136,152,274596,196301.84,2501.74
"22",21442,34,143688,62908.9,1289.1
"23",8841,27,65661,48898.9,549
"24",27831,65,152211,90995,381
"25",32257,94,86525,55471,695
"26",30332,9,29454,9411.79,118.39
"27",30619,13,41507,20379,255
"28",19795,35,87115,67910.08,862.38
"29",22051,136,412978,214247.47,2680.57
"30",27942,53,225755,144265.2,1263
"31",25002,30,56608,32993.3,310
"32",32266,47,386896,187691,1072
"33",26668,16,21323,13134.41,171.01
"34",21109,42,63494,40916.44,513.54
"35",14936,14,35893,21689.38,272.68
"36",23064,6,10811,5482.9,65
"37",18489,85,151710,114417.67,1434.97
"38",26568,30,84964,51219.98,640.28
"39",14311,9,30768,23631.9,276
"40",32304,6,19336,8766,10
"41",7506,167,471615,236417.74,2960.34
"42",22658,35,82341,63071.79,861.79
"43",9812,6,16565,10653.9,84
"44",26202,20,28433,10436.61,132.21
"45",5682,20,47728,31381.91,395.31
"46",9531,11,27279,15414.48,192.88
"47",28380,56,92767,59481,745
"48",26973,33,35319,17348.09,218.79
"49",10922,9,12719,7290.82,91.22
"50",33914,9,6013,3291,0
"51",8251,14,38877,20546.6,200
"52",8822,11,20809,15020.2,135
"53",13435,70,127686,71745.47,900.17
"54",33104,128,332465,107542,618
"55",31372,24,35223,16743,112
"56",29472,29,79848,46264,214
"57",28923,220,883281,388248,4865
"58",25332,67,353337,238421.6,2998.9
"59",13693,61,186164,105406.79,1344.39
"60",91005,16,175087,120457.03,1510.83
"61",27318,28,41625,32424.5,402
"62",19600,35,58929,23167.29,292.79
"63",15696,32,44199,31424.6,343
"64",19158,162,499079,316513,3959.2
"65",10361,66,83146,55339.1,482
"66",29087,32,131519,56253,568
"67",29849,53,103432,49859,368
"68",17230,112,289156,167113.4,1804
"69",32106,914,2939931,1726256,15509
"70",230,12,26653,19465.72,243.42
"71",29349,21,55371,30632,224
"72",16321,9,17190,11117.68,139.38
"73",17622,27,49485,30281.19,381.79
"74",9831,49,117398,59561.18,745.98
"75",4061,8,13006,8342.18,104.88
"76",29561,12,42279,11527,146
"77",13080,46,122094,53244.94,666.44
