"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,12,65534,58520,625
"2",15448,8,31885,28431,288
"3",16522,97,313619,196846,2462
"4",22039,13,61064,45927,518
"5",16419,47,105768,68930,761
"6",30367,38,183426,134571,763
"7",4788,6,17610,10320,130
"8",31826,64,164061,107535,1093
"9",57298,35,117427,81158,935
"10",33025,141,573877,503359,6298
"11",57657,32,221726,154789,1828
"12",35048,44,307448,195827,2063
"13",35456,32,191420,127859,1232
"14",58358,11,17062,14190,157
"15",11706,17,48281,34634,281
"16",27552,102,421520,320371,3348
"17",58321,26,131945,48469,370
"18",34393,11,139141,94538,1103
"19",57611,5,50170,38399,414
"20",1149,22,100537,81589,554
"21",1673,502,271068,271025,6100
"22",11338,88,336208,259112,2937
"23",6646,54,115941,81416,263
"24",3564,98,329419,181594,1515
"25",26977,62,100188,58815,598
"26",35517,72,315179,298897,8328
"27",57157,20,78417,68457,790
"28",57633,126,258785,216433,2602
"29",9087,1111,3756117,3135306,40437
"30",57626,31,105480,94664,964
"31",22543,5,22792,13203,117
"32",8426,141,443065,297326,3734
"33",57869,20,53819,39916,447
"34",35408,123,351900,324122,2218
"35",31249,40,116307,83477,861
"36",9751,56,360833,352571,3596
"37",91005,62,165658,90929,1162
"38",27831,61,268490,121572,1520
"39",35018,195,44822,17842,0
"40",27207,23,90012,64636,825
"41",32257,141,238027,126670,1039
"42",30332,14,26460,17675,85
"43",30619,15,81836,49846,626
"44",19795,60,236462,199399,2493
"45",27942,142,951174,593770,1599
"46",32266,61,1307053,798008,3503
"47",19600,226,251817,186074,2336
"48",4061,17,46224,38713,488
"49",35189,257,666034,508299,5990
"50",14936,27,111004,85668,742
"51",30400,42,144618,89324,703
"52",18489,153,432759,365243,4580
"53",26568,41,194236,125786,1285
"54",14311,12,67951,60482,616
"55",32304,6,23583,12072,140
"56",7506,229,947039,580838,5515
"57",22658,75,333422,298933,3742
"58",9812,7,29280,20934,139
"59",28380,146,449994,244639,3040
"60",8251,26,83530,61321,632
"61",8822,11,27468,19794,154
"62",31372,34,71804,44386,280
"63",33535,861,1960154,1979156,39275
"64",18664,2,35054,15542,195
"65",29864,269,1043035,756935,7126
"66",57072,76,339071,319007,3439
"67",18152,44,47790,34128,428
"68",10375,25,109170,97951,1225
"69",57103,38,294316,212695,1259
"70",31217,84,246665,192741,1655
"71",28225,239,1219546,1095495,11764
"72",34885,21,113394,89178,883
"73",27197,184,1201361,809043,9135
"74",57478,26,100546,66995,715
"75",35267,35,1210026,510107,1152
"76",3304,35,91346,65328,813
"77",57840,14,271248,128320,964
"78",15696,31,82080,37615,475
"79",35224,26,90155,64634,621
"80",35314,10,54708,39373,492
"81",29087,43,146067,82930,219
"82",13947,34,121464,79661,946
"83",57845,55,164758,142018,1488
"84",27311,31,59608,23337,240
"85",29849,68,176779,136868,1213
"86",35029,58,196231,138204,1749
"87",17230,110,508447,383755,3678
"88",34106,51,146347,123567,1324
"89",9831,63,188384,108563,959
"90",17622,59,178978,143073,1797
"91",3931,340,748600,608733,8541
"92",13080,40,135375,60638,759
"93",2773,261,902557,697678,8749
"94",20093,35,154544,96007,270
"95",57759,9,18683,15573,200
"96",6058,100,369261,223099,3525
"97",35078,42,139222,103495,1303
"98",34987,33,145510,127664,696
"99",35265,18,72919,55248,628
"100",57962,14,41989,32372,80
"101",8583,47,108757,88430,1074
"102",15062,21,50282,25289,101
"103",11569,214,482041,342906,2012
"104",10973,157,574997,572205,7180
"105",12511,44,126693,86317,1039
"106",197,70,219332,173229,1655
"107",23124,138,949009,824071,10176
"108",34566,46,138537,125549,708
"109",34930,20,63458,60336,755
"110",57733,28,121476,88698,1110
"111",34664,112,629068,439429,4470
"112",57512,134,708043,622197,15805
"113",7237,313,1277015,870494,7537
"114",57424,16,46526,36933,462
"115",28299,33,188386,127293,570
"116",35173,35,131464,96808,982
"117",1946,41,99497,64606,799
"118",15083,11,22036,14649,192
"119",91,50,126332,90752,771
"120",55130,38,157030,122823,889
"121",33684,NA,2487203,NA,NA
"122",4051,7,17418,8279,104
"123",34782,56,848307,329786,1168
"124",15699,30,89567,60885,762
"125",15426,8,13312,11126,92
"126",58241,32,222511,230693,1833
"127",10790,50,183227,122311,1544
"128",23091,506,2194871,1779956,12347
"129",18545,196,558798,452053,4223
"130",35377,15,190075,120568,1516
"131",58400,30,64922,31730,113
"132",19590,56,137478,100633,1229
"133",8276,13,45683,23542,243
"134",27711,48,175805,116948,1789
"135",10173,11,41798,29219,280
"136",9465,38,181405,158684,1984
"137",622,459,4582775,2438174,16538
"138",903,193,665262,455799,4236
"139",14531,597,2321210,1888041,19642
"140",34302,40,88655,52125,654
"141",28701,39,223570,116511,885
"142",6423,240,2932708,2351314,29799
"143",3735,1401,5228949,4615756,92259
"144",24107,1604,10043039,9173555,322355
"145",27267,32,152430,133799,985
"146",29031,156,435493,279652,2842
"147",6782,72,167961,107832,1366
"148",20726,27,148156,115648,1401
"149",35461,59,207613,179698,1813
"150",8893,13,34582,24277,304
"151",19594,35,61215,42189,528
"152",19838,53,255189,161250,2043
