"","cert","numemp","asset","RWAJT","RBCT2"
"1",4829,34,191843,118181,1478
"2",33785,100,66310,35264,0
"3",57899,16,76151,65210,816
"4",22039,10,53074,27184,993
"5",16419,45,128302,76219,954
"6",30367,38,233370,143199,1230
"7",57298,53,214295,167033,1634
"8",3881,95,323583,231208,60
"9",32487,15,50810,25725,266
"10",58485,63,464863,299692,3768
"11",57657,71,585189,482535,6055
"12",35456,50,408849,244564,3066
"13",11706,17,70709,49111,348
"14",27552,179,956780,800563,6925
"15",34393,9,99264,64432,806
"16",57611,5,40974,29512,342
"17",1673,374,703205,586508,7591
"18",58548,27,117625,93815,1068
"19",6646,58,125648,87908,1089
"20",3564,91,318960,215099,2123
"21",26977,49,130363,74273,892
"22",57633,209,500664,415285,5208
"23",9087,1115,4815555,3948573,49944
"24",57626,46,215831,163716,2045
"25",22543,5,29284,13187,120
"26",8426,170,897177,491088,6228
"27",57869,42,195377,150309,879
"28",31249,36,140803,103053,1110
"29",9751,45,353108,248881,1651
"30",91005,25,172746,124714,1172
"31",27831,44,217133,95018,1103
"32",35029,36,145194,107532,1349
"33",32257,92,243270,135176,1686
"34",30332,21,59354,43142,540
"35",30619,14,66398,35193,443
"36",19795,77,328638,247588,3104
"37",11694,86,339180,256914,3237
"38",26549,25,120535,83380,876
"39",19600,302,325064,151053,1910
"40",4061,21,97235,75629,947
"41",58727,48,225688,193911,2428
"42",35189,217,1052329,875311,10980
"43",58562,26,139557,99466,1247
"44",14936,38,152743,134235,1054
"45",7506,267,1076784,745416,9397
"46",18489,158,664052,556385,6931
"47",90140,87,394815,251835,3301
"48",14311,14,168363,112542,952
"49",32304,6,24415,11285,141
"50",58697,10,94236,57537,722
"51",9812,8,47808,33580,208
"52",28380,169,675790,347074,3118
"53",27015,205,451471,380127,2458
"54",8251,30,133803,92410,1034
"55",8822,10,47104,30961,239
"56",18152,28,57911,39529,413
"57",57072,42,261922,193062,322
"58",10375,28,139088,97590,1134
"59",34885,172,500435,407993,5103
"60",57264,25,250548,217416,2721
"61",35267,11,18824,4083,0
"62",3304,134,591245,471023,5902
"63",35314,9,40502,31884,410
"64",13947,36,208260,115520,1445
"65",17230,87,566352,329835,3508
"66",34106,39,145431,101901,1283
"67",9831,55,270608,168409,2105
"68",17622,39,169655,121145,1529
"69",3931,624,1477918,1237652,15489
"70",13080,29,131132,49336,617
"71",20093,42,127589,93998,1077
"72",6058,89,413861,296044,3727
"73",58629,195,1280741,988331,8246
"74",197,69,318479,197324,2494
"75",11569,178,642920,324085,4072
"76",10973,134,550884,478117,6005
"77",12511,45,157546,98943,1240
"78",34566,45,166944,179200,2032
"79",34930,19,97436,60244,755
"80",57733,33,163786,119785,1511
"81",15657,53,189328,104328,1314
"82",57424,15,60933,40378,506
"83",1946,51,145715,108111,1353
"84",91,47,111538,74411,955
"85",55130,160,117266,69325,875
"86",4051,11,49552,25485,320
"87",57803,787,104474692,94839035,445817
"88",58424,155,940129,774881,9728
"89",15699,25,81979,55972,703
"90",15426,14,33691,28623,271
"91",59060,98,902851,713541,8956
"92",23091,551,2446133,1807115,22685
"93",18545,343,1161382,759357,9543
"94",35377,15,287670,198766,2525
"95",19590,56,148819,109771,1355
"96",58275,52,337918,299140,2863
"97",1149,48,258795,207852,337
"98",8276,17,64736,36091,393
"99",27711,44,207871,125604,1002
"100",10173,9,47757,31807,240
"101",9465,41,305314,218880,2703
"102",622,415,3728585,2481346,31093
"103",903,181,917417,454267,5701
"104",14531,675,3891248,3433175,39624
"105",28701,51,317916,156951,1800
"106",6423,257,2227712,2023707,25441
"107",24107,1602,13888144,12362442,154900
"108",27267,58,430422,333090,3051
"109",29031,143,469069,311666,3914
"110",20726,20,133648,90702,1153
"111",8893,6,27666,19616,248
"112",19838,79,448339,354706,4449
"113",20311,65,321583,267925,18353
"114",34422,51,523709,423242,5287
"115",32328,226,395549,140366,1758
"116",1117,114,607333,491050,5607
"117",19234,38,116475,69205,757
"118",17906,47,185179,95548,1194
"119",35568,68,261093,192366,2410
"120",31980,44,190586,147115,1728
"121",6183,34,150245,108030,1323
"122",20537,41,218991,114365,667
"123",34955,138,353451,218740,2751
"124",22559,320,1229285,797700,7743
"125",4624,31,99192,47611,616
"126",18609,164,726945,533355,6192
"127",34232,22,84292,50818,636
"128",32649,34,123313,90867,1143
"129",15423,48,146069,100164,1258
"130",34606,68,216307,181361,1167
"131",20843,165,301721,196013,2529
"132",20473,469,2196869,1686551,21091
"133",5216,172,550685,422364,5323
"134",5800,39,279943,253308,3172
"135",21567,20,62024,33696,423
"136",23886,83,419230,236097,2961
"137",20241,246,1271298,847378,10632
"138",34788,108,1535724,771001,9680
"139",27006,308,2613494,1996313,24997
"140",21663,65,264347,215672,2128
"141",35033,30,153506,134112,1694
"142",35412,55,477925,332651,4198
"143",29878,35,184764,140696,1759
"144",57444,30,198850,130070,1639
"145",57359,23,171208,148712,1050
"146",58514,8,77244,64664,520
"147",34090,51,231502,178461,2244
"148",57709,43,198535,145954,1838
"149",428,23,60962,41547,342
"150",10647,9,41946,32224,387
"151",2328,15,57808,29046,369
"152",35328,344,44887004,47503214,881334
"153",27471,274,34758392,32819426,410125
"154",29140,118,490173,363690,4004
"155",34656,208,1090035,950365,11892
"156",57113,55,290973,214952,2687
"157",313,88,366156,185466,2064
"158",35223,18,136406,114556,1449
"159",57025,20,83584,57050,667
"160",4190,296,1028079,426118,5329
"161",8843,48,244283,179810,2259
"162",1439,14,108789,80485,1010
"163",57695,9,87202,50822,401
"164",30950,4,4935,2021,25
"165",34334,16,61021,41625,533
"166",21272,151,478740,350149,3813
"167",58309,185,1030543,977521,9625
"168",24472,86,349900,216476,2711
"169",19300,448,2189966,1793509,19302
"170",26398,38,266547,197269,2005
"171",22373,133,445423,285956,3595
"172",33812,29,257418,191819,2418
"173",6837,284,1338465,941373,11777
"174",26499,61,247735,183840,2328
"175",57169,22,70662,51893,657
"176",58469,43,303187,273309,3427
"177",58584,25,121104,88256,791
"178",24655,106,617911,323653,4061
"179",58281,33,225203,174403,2144
"180",29899,10,38954,22136,276
"181",9104,7,52515,34105,309
"182",32526,1162,5565241,4370132,46828
"183",29597,72,247377,163872,1777
"184",228,95,745810,706948,8452
"185",9967,62,280148,176600,1477
"186",15432,6,27865,9636,121
"187",26944,39,175230,127874,1292
"188",57144,66,354279,246995,1776
"189",15444,95,663404,345904,4325
"190",22263,15,47965,25620,232
"191",13150,296,996226,863990,8542
"192",10120,6,38930,34180,144
"193",58076,13,60254,41091,516
"194",57689,37,135457,99827,1149
"195",30713,2,6727,1972,0
"196",8205,36,117221,75954,956
"197",22441,878,4201859,2904030,18721
"198",58360,19,161093,113734,1428
"199",2838,42,143222,97847,1225
"200",58303,15,40167,5447,0
"201",20504,1027,4040577,2781601,21157
"202",7542,245,1061080,878814,10505
"203",15510,64,216636,144942,1816
"204",5417,57,263049,205818,2577
"205",57295,126,281688,166335,1405
"206",26658,12,27963,21836,236
"207",28949,12,94113,43493,544
"208",15354,28,84217,66833,817
"209",22381,27,100856,62791,791
"210",19220,513,2390870,1512492,12704
"211",28454,110,377341,318084,3976
"212",8868,274,1475664,1182527,13251
"213",57931,20,102739,60398,761
"214",4208,51,177889,124009,1020
"215",11681,3,14948,6633,83
"216",29979,655,2082246,1276638,16373
"217",22959,15,40927,23056,297
"218",9923,226,489919,387371,4863
"219",10858,9,78686,43236,300
"220",18483,6,25147,12920,94
"221",16410,18,74088,60532,651
"222",22015,103,300000,211152,2664
"223",17751,129,807822,667343,9003
"224",32018,22,59474,27126,156
"225",58889,36,231404,155214,1200
"226",11682,20,73546,36200,326
"227",10989,32,136568,107718,1104
"228",3869,94,416108,257842,2703
"229",29679,39,135662,87817,701
"230",33316,116,322769,107633,1371
"231",35599,97,463758,363268,2805
"232",6051,49,152448,70343,618
"233",16068,804,11659371,4607234,24227
"234",17453,56,290213,187656,2182
"235",34193,37,219142,93618,1171
"236",58296,65,263729,230692,2480
"237",33450,63,249549,194769,2314
"238",3598,18,115721,43313,543
"239",28507,14,50637,25534,156
"240",57620,96,470997,351891,3278
"241",3858,53,178399,111798,1234
"242",1391,14,54332,27711,347
"243",35354,35,16903,7984,101
"244",4666,983,1672142,923979,11763
"245",2315,201,662845,480281,4514
"246",29471,7,90408,39819,259
"247",29743,24,95245,54989,642
"248",1198,35,152292,89192,434
"249",15085,152,515067,367591,4613
"250",17123,117,472587,357050,4478
"251",28780,75,466354,186236,856
"252",8728,5941,14944176,8992053,115026
