"","numemp","asset","RWAJT","RBCT2"
"15448",7,18330,13366,167
"22039",18,44690,33873,428
"16419",40,77989,50324,541
"30367",32,178469,116455,716
"4788",6,17770,9675,121
"31826",61,135520,80116,955
"57298",16,43268,39032,323
"33025",99,218312,169797,1980
"35048",34,176093,126683,1077
"35456",22,100714,61232,637
"11706",15,44861,29830,210
"161",55,193974,129357,1621
"27552",60,262447,183183,1730
"34393",12,105220,77409,897
"1149",17,60267,48391,611
"1673",396,213878,295020,4862
"6646",38,77518,52726,254
"26744",73,225385,159047,1730
"3564",87,232737,151352,1061
"26977",58,88806,50592,517
"35517",36,108507,98175,943
"57157",9,40175,25935,237
"35086",35,71054,48353,329
"9087",1076,3188170,2716731,35470
"27789",84,343461,246400,3090
"22543",5,21592,13431,139
"8426",115,316456,185738,3203
"31249",41,110309,68555,674
"9751",51,191622,155025,1121
"91005",60,217762,124910,1621
"27831",73,239916,122860,1542
"35018",182,39480,8134,0
"32257",154,286319,160603,887
"30332",18,34549,15362,79
"30619",12,63098,37386,465
"19795",53,173113,131469,1650
"27942",105,554089,340896,1267
"22051",310,1003273,520538,4192
"25002",26,96478,35173,442
"32266",61,687109,453975,3771
"35559",15,39366,29656,366
"35189",243,259838,178116,2227
"14936",24,78152,59168,742
"30400",51,159580,121012,1519
"18489",128,271027,222734,2797
"26568",38,155213,100744,713
"14311",12,60876,45039,492
"32304",6,25715,13538,114
"7506",199,788935,474340,3849
"22658",58,208861,168553,2359
"9812",6,25968,19689,215
"5682",20,72498,50369,623
"28380",102,257964,157581,1930
"26973",118,713820,534807,5694
"33914",1,28292,7084,0
"8251",19,66003,47727,387
"8822",11,25946,16180,159
"31372",26,43607,24905,693
"11687",228,628892,412737,4974
"29472",92,323202,177678,984
"33535",662,1262683,1737856,31087
"18664",2,245865,210495,964
"35408",19,48918,39974,503
"57072",36,112510,100598,1049
"27642",298,1063151,634292,5702
"34939",40,109165,87671,797
"18152",37,34042,24774,312
"57103",22,104333,72261,903
