"","cert","numemp","asset","RBCT2"
"1",15448,9,19437,142
"2",23309,74,137228,1262.33
"3",16419,36,61033,529.62
"4",4788,7,14927,77.42
"5",31826,37,73677,463
"6",23406,206,1142348,8829
"7",33619,74,236447,1819
"8",11706,20,24731,111
"9",27552,40,95106,590
"10",34393,6,12663,25
"11",1673,146,63796,828.84
"12",19713,31,56151,519.03
"13",6646,30,58333,256
"14",26977,35,48634,317
"15",28738,78,341157,1914
"16",20662,10,22659,110
"17",19593,17,25018,209.72
"18",9087,803,2231658,25016.21
"19",22536,31,67832,369
"20",22543,7,17884,140.85
"21",27789,72,258730,2132.24
"22",8426,87,164988,2286
"23",31249,41,74325,443
"24",27136,354,724028,7124.32
"25",8841,24,81580,521
"26",27831,60,185499,817
"27",32257,109,147571,722
"28",30332,12,32931,114
"29",30619,13,42818,269
"30",19795,33,120535,1308.2
"31",22051,165,501118,2193
"32",27942,56,283800,1263
"33",25002,30,67892,395
"34",27093,8,16074,65
"35",32266,49,566976,1950
"36",21109,56,81096,776.45
"37",14936,17,51910,357
"38",18489,100,196352,1911.89
"39",26568,32,99007,633
"40",14311,12,48471,333
"41",32304,6,21347,17
"42",7506,164,469633,3176
"43",22658,49,120973,1099
"44",9812,6,19177,134
"45",26202,21,36117,267.15
"46",5682,20,57671,466
"47",28380,74,131681,1093.6
"48",26973,27,45903,367
"49",10922,13,15595,98
"50",33914,32,107711,406
"51",8251,17,45882,263
"52",8822,10,22618,185.12
"53",13435,84,169133,1409
"54",33104,104,299034,1691.9
"55",31372,20,35622,197
"56",29472,38,105062,298
"57",33535,123,278528,3298.89
"58",18664,3622,4806048,176729.03
"59",28923,290,1022467,5782
"60",25332,68,223223,2173
"61",91005,14,246469,2092.95
"62",27197,16,55478,326
"63",19600,35,62584,380.72
"64",15696,31,49088,360
"65",10361,76,103716,542
"66",29087,37,148095,542
"67",29849,59,112881,735
"68",32106,1223,3698120,26458
"69",17230,118,312923,1838
"70",230,13,26689,256
"71",34106,22,29608,237.14
"72",29349,29,70227,231
"73",17622,33,68146,565.4
"74",9831,54,140117,806
"75",4061,8,15521,139.78
"76",29561,13,43450,137
"77",13080,49,121811,687.68
"78",2773,233,505178,3722
"79",23032,24,36372,221
"80",20093,29,26401,149
"81",34388,12,14120,41
"82",6058,80,230064,1143.46
"83",1078,168,548510,4258
"84",29376,8,29902,154
"85",8583,21,41179,257.35
"86",15062,23,41837,303.82
"87",34427,11,10176,60
"88",9296,26,57225,538.48
"89",10106,47,129460,695
"90",11569,205,294296,2001.19
"91",23124,22,60069,1075.81
"92",34473,10,15309,45
"93",30196,67,172179,1446
"94",33468,34,63845,522.54
"95",163,234,486227,3638.38
"96",33684,NA,456096,0
"97",15699,25,53317,462
"98",15426,9,14451,144.87
"99",23091,323,502691,3464
"100",18545,156,271488,1894
"101",31751,8,25905,84
"102",19590,41,72658,420
"103",8276,12,30753,96
"104",27711,37,94926,426
"105",10173,11,31174,200
"106",9465,35,142165,992.89
"107",11892,63,120771,621
"108",903,191,654802,3239
"109",622,442,2151425,7188
"110",14531,412,1038586,7802
"111",34302,18,16475,30
"112",3831,108,279952,1933
"113",4415,172,461682,3736
"114",33197,83,257778,1554
"115",28701,34,135323,352
"116",6423,182,1125173,9486.31
"117",14341,56,217093,1464
"118",9266,139,689896,3465
"119",3735,326,1645241,7971
"120",15082,33,152288,535
"121",12780,18,42164,309
"122",15225,31,73807,544
"123",15178,29,64675,433
"124",3706,128,484702,1857
"125",5310,91,234456,1732
"126",27267,26,114512,650
"127",29031,123,317409,874
"128",29738,251,867001,3230
"129",6782,53,54366,280
"130",26213,64,116199,1001.2
"131",20726,22,60141,557.04
"132",20557,35,63156,612.6
"133",22968,83,175031,1232
"134",26248,52,172695,1428
"135",21614,41,74458,421
"136",19594,41,61688,505.01
"137",19838,40,114111,1018.78
"138",20311,78,184948,1155
"139",19234,26,40762,361.37
"140",17906,42,64035,402.48
"141",34063,4,9112,59
"142",20156,66,141750,845
"143",20537,68,145030,1038
"144",21919,57,78594,567.06
"145",10973,19,58477,476
"146",4624,20,53892,438.65
"147",27501,144,268923,1316
"148",18609,133,232527,1861
"149",34232,7,10263,65
"150",26498,135,609923,4593.87
"151",20639,149,278350,1586
"152",10892,11,22064,119
"153",19862,55,155091,1028
"154",24678,22,49302,452
"155",20473,263,562247,4487.29
"156",34422,13,15783,19
"157",23886,80,130666,986.79
"158",5800,17,61124,452
"159",20241,175,293503,1750
"160",21567,15,20058,55
"161",20504,51,116343,1133.7
"162",27006,79,306981,4803
"163",21663,55,84043,446
"164",21224,73,131309,908
"165",33994,20,76079,669.57
"166",15001,157,377403,3238
"167",31581,7,21804,0
"168",34090,16,69895,254
"169",10647,9,23696,186.64
"170",428,40,50901,262
"171",2328,17,32128,122
"172",27471,975,10774427,137128.93
"173",29140,132,290794,2191
"174",28574,473,1306169,9966
"175",30182,70,139096,557
"176",32328,14,76931,507
"177",26306,21,7603,0
"178",23348,33,81360,426
"179",8843,55,102701,652
"180",25046,25,35135,267
"181",22675,97,224485,5900.05
"182",239,22,50208,471
"183",1439,20,48179,462
"184",25192,154,198620,2201.63
"185",26764,22,55862,496.11
"186",30950,3,5881,22
"187",16730,60,130028,810
"188",34334,11,15531,20
"189",33993,13,46372,257
"190",18806,21,29928,309.28
"191",24472,47,81408,407
"192",22373,61,167143,1065
"193",19300,107,276892,2246
"194",26398,23,47163,467.58
"195",25621,36,81093,532
"196",32972,46,116432,1023.58
"197",33812,14,44774,440.46
"198",6837,176,425656,3133.71
"199",3619,2717,8895368,287545.09
"200",13085,143,350040,2195
"201",13595,63,113235,913.33
"202",15872,256,543929,3558
"203",24481,19,35471,302.46
"204",24334,18,43259,291.34
"205",27528,43,87031,537
"206",28268,144,499863,3214
"207",23001,30,42824,406.81
"208",20393,166,337873,2729.76
"209",24655,68,149267,1160
"210",18246,253,1432932,5697
"211",9104,8,31262,216.09
"212",31980,17,30943,257.85
"213",30385,8,37301,152
"214",30617,39,155054,952
"215",32633,3569,25787544,275570
"216",32526,790,3848386,16053
"217",29597,22,109944,637
"218",29878,29,101168,388
"219",34549,2,2084,10.32
"220",17784,185,231457,1532.63
"221",8733,37,83835,550
"222",15432,9,19426,146.47
"223",9645,39,44215,270
"224",228,64,194956,1941
"225",1117,31,68414,591.35
"226",20292,22,16735,104
"227",5617,19,24486,171.08
"228",22569,21,51619,384.81
"229",26944,23,51518,416
"230",16701,332,769227,3738.96
"231",20006,10,15510,96.96
"232",15444,80,146238,1266.29
"233",19115,52,85310,640
"234",10204,8,14781,125.16
"235",22263,8,11306,97
"236",20712,16,29397,281
"237",22554,28,67458,529
"238",21131,28,72820,604
"239",13150,167,423900,3658
"240",13099,59,103020,358
"241",10120,12,33404,233.78
"242",6770,357,919145,7434.58
"243",30713,3,6896,0
"244",19355,37,112070,599
"245",8205,29,47651,333
"246",5174,39,79629,443
"247",1804,90,191147,896.63
"248",29668,25,69636,376
"249",2838,29,104020,716
"250",28705,85,209765,1773
"251",23671,64,49308,408.57
"252",22444,36,56375,497.39
"253",28254,470,1369339,11672
"254",26478,6,21162,124
"255",5417,27,48119,474.16
"256",28949,6,39334,54
"257",4131,206,363921,2745
"258",26800,6076,18037189,179126
"259",29688,47,158917,866
"260",15954,185,524145,2962
"261",33784,51,142972,854
"262",15354,20,38178,304.34
"263",22381,13,29439,160.51
"264",33467,13,29954,215
"265",18903,49,157351,1273
"266",8868,35,97814,773
"267",28454,97,271374,2221
"268",32113,44,164692,1123
"269",11681,4,11915,75
"270",29979,547,1928761,14835
"271",22959,8,14272,72
"272",34149,10,18428,89
"273",9923,51,70336,637.94
"274",33991,26,53902,520.51
"275",25244,30,117929,896
"276",10858,11,39052,180
"277",16782,45,79173,514
"278",18483,6,12139,82.62
"279",23284,264,1214133,8208.88
"280",34067,16,83738,303
"281",16410,22,37527,247
"282",22015,45,109395,970.88
"283",17751,101,261250,1824
"284",32018,22,35893,202
"285",33134,29,128269,1244.68
"286",11682,22,50506,148
"287",10989,33,73009,504
"288",30079,5,20624,100
"289",23339,153,187703,1470
"290",9619,32,41890,344
"291",6051,57,109648,787.47
"292",16068,792,4422898,21027.37
"293",17453,20,80525,353
"294",32649,5,13402,51
"295",22288,78,553847,3487.3
"296",33655,NA,542735,0
"297",21001,54,105278,631
"298",18625,42,90416,561
"299",31813,3,5620,22.16
"300",12612,254,758068,5834.97
"301",28507,13,46160,91
"302",32569,59,213069,714
"303",15392,7,13977,114
"304",18775,323,690340,16909.53
"305",97,164,430984,3437.82
"306",32960,16,43912,40
"307",33901,89,177062,1085
"308",19732,86,149535,1425.79
"309",18277,48,122679,755.64
"310",26822,34,57778,237
"311",1391,18,40849,250
"312",4666,349,311601,1562
"313",2315,119,166039,835
"314",29471,7,55015,210
"315",29743,16,45605,127
"316",9967,45,94724,215
"317",1198,29,71023,315
"318",15085,70,103802,707
"319",17123,92,354637,924
"320",28780,61,272335,695
"321",34012,11,8005,31
"322",22671,31,122629,799.46
"323",8023,37,95396,1029.83
"324",32422,4,8610,31
"325",31217,28,88653,583
"326",29663,150,338220,2076
"327",11343,7,24869,189.75
"328",1436,4,4147,42.95
"329",9049,68,144477,524
"330",25745,68,225199,1747.93
"331",34095,15,33179,301
"332",33825,28,46231,314
"333",24497,17,36944,296
"334",33013,12,32333,259.46
"335",19601,87,342303,3908
"336",22177,56,153516,1213.57
"337",5296,366,1316792,25070.59
"338",11619,145,409693,9761
"339",1515,67,166169,2003.68
"340",1509,247,752692,9410.65
"341",12340,166,515249,6061.71
"342",13237,27,68975,632.73
"343",5319,83,215526,1746.07
"344",15389,36,139971,1153.93
"345",18233,28,75899,528.19
"346",5311,214,512984,7034.78
"347",33792,4,98249,1052.79
"348",33367,462,438376,5119.81
"349",29805,933,7880927,14464
"350",26243,10,97115,1221.44
"351",24064,13,28987,128
"352",29085,53,138761,645
"353",28225,180,547746,4630.77
"354",9631,12,39303,115
"355",90146,67,165717,919.98
"356",27293,20,61242,439.36
"357",9096,6,17637,114
"358",32575,15,72068,392
"359",21641,34,58562,436.33
"360",27184,51,300426,2259
"361",25663,171,465655,3765.39
"362",5915,299,1153886,9538.71
"363",24829,17,117788,1244.7
"364",30243,25,108416,614
"365",32335,51,320449,1290
"366",34340,39,70471,138
"367",26390,69,140224,1148.52
"368",30783,9,58203,20
"369",1396,9,16043,133
"370",284,12,48824,392.44
"371",28288,8,29867,107
"372",11477,18,58305,369.61
"373",35,104,260077,2171.16
"374",26336,32,148598,658
"375",28191,12,71510,341
"376",5814,18,54539,445.5
"377",28242,30,89279,374
"378",18836,50,166940,1577.15
"379",14418,81,119095,2190
"380",23658,29,84411,548
"381",11694,87,137714,1258.62
"382",17270,12,20926,157.39
"383",25294,97,152947,769
"384",1214,18,54371,416.39
"385",3276,67,135446,838
"386",19483,40,78536,254
"387",11556,34,85893,594.05
"388",26579,29,62710,248
"389",90030,3,4368,27.36
"390",22314,1,2251,0
"391",13191,14,51624,263.65
"392",26617,7,34674,200
"393",10171,16,61177,456
"394",28626,205,596613,4765
"395",34167,9,19381,187
"396",28522,44,213283,521
"397",1814,9,26134,149
"398",18331,49,91771,624
"399",30691,9,58601,0
"400",13272,17,43793,363.88
"401",33365,29,76360,644.68
"402",2987,156,267096,1416
"403",26704,28,36216,421.15
"404",32004,36,58154,337
"405",34456,19,33516,260.78
"406",6959,90,169675,710
"407",32477,13,27021,237
"408",32341,76,253720,729
"409",32404,12,36008,93
"410",11652,97,265822,1704.63
"411",27476,820,1318973,10292.4
"412",19919,607,1258544,31678.86
"413",9828,52,406403,2164
"414",22302,68,86808,948.29
"415",16876,7392,16712000,113291.25
"416",33976,727,1385921,12273
"417",22043,193,469068,3627.11
"418",24553,76,144073,1277.77
"419",26789,101,50742,296
"420",20828,1732,5574523,78436.41
"421",11813,1999,3968828,34161.58
"422",12342,14,28582,242.18
"423",14618,100,263141,2583.08
"424",26653,11,17508,132.57
"425",18408,295,847665,8015.99
"426",1047,75,117719,973.55
"427",1961,50,68076,612.78
"428",8560,25,46090,380.43
"429",33927,9,20634,79
"430",21269,49,105807,449
"431",27122,21,63744,689.15
"432",24516,56,509550,9834
"433",9644,308,738310,4266
"434",22559,57,116746,821
"435",33658,NA,356329,0
"436",33686,NA,1548557,0
"437",16604,124,270808,2327.97
"438",33666,NA,154778,0
"439",33660,NA,316942,0
"440",19842,334,2245602,21575.61
"441",5170,70,201703,1795
"442",32964,492,1227121,11698.92
"443",15093,40,71176,490.01
"444",34421,7,14327,35
"445",16601,20,43616,336
"446",11782,38,95223,439.34
"447",866,20,37449,314.04
"448",19434,68,128377,1120.38
"449",13290,47,110486,681.5
"450",22130,77,119673,1160.06
"451",155,26,45131,376.46
"452",26689,18,97972,877
"453",9108,125,199945,1795.02
"454",18700,48,80977,407
"455",24799,38,77102,710.46
"456",25178,148,368377,27410
"457",27595,2495,7945282,206464.75
"458",3510,67220,235952000,7333178.75
"459",33404,1781,5186274,36377.63
"460",9575,4535,14154881,279562
"461",12773,134,249048,1962
"462",5618,16,58084,502.44
"463",8243,28,68537,712.86
"464",34120,27,68224,460
"465",33554,229,218922,1782
"466",33482,39,86656,810.83
"467",8252,16,51449,164
"468",20360,26,61610,223
"469",19588,72,160316,1333.84
"470",19877,49,89417,547
"471",14033,13,37922,308.95
"472",581,15,16419,106.6
"473",34330,35,74875,275
"474",33681,NA,46401,0
"475",6195,22,69793,602
"476",23123,88,205506,1491
"477",16282,10,24723,107
"478",1465,14,18170,144.13
"479",18930,27,34029,180
"480",33589,32,62112,512.55
"481",33696,26,54529,439
"482",18407,34,52530,321
"483",1623,32,48428,251
"484",8595,11,25009,178
"485",15817,7,16875,143.75
"486",287,118,182335,1584.26
"487",100,178,500992,15856.64
"488",32715,23,224744,509
"489",15267,9,25600,254.49
"490",10253,17,48361,374.13
"491",16959,8,17548,54
"492",8278,11,21658,132
"493",1756,8,14593,57.63
"494",9788,27,92977,702.22
"495",32722,49,181725,1477
"496",10883,12,53740,115
"497",34397,10,11831,76
"498",23813,63,56630,385.32
"499",17948,1030,4295062,42898
"500",6137,49,98052,661
"501",27473,24,49224,303
"502",15103,6,9447,54
"503",5605,29,46682,105
"504",15833,10,18127,148
"505",11245,25,76531,320
"506",9385,21,61555,361
"507",15906,12,29344,213
"508",2733,10,30859,241.91
"509",16288,26,35090,249
"510",1749,80,168445,1455.47
"511",20239,27,58628,364
"512",8254,30,51762,412.66
"513",12549,29,70386,574.82
