"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"15448",10,15875,105,12.096439347106,13.065261720444
"23309",52,104370,988.51,9.1120104060177,10.3700150717234
"16419",34,55659,441.02,12.9247284246416,14.176114534375
"4788",7,14687,67.88,35.9307327036758,37.1957628571642
"23406",178,948076,6777.83,13.7160945717468,14.9717553531294
"33619",57,145985,1196,8.28493434901789,9.41697838893853
"11706",23,25238,150,14.5851166274342,15.5882195591697
"27552",38,77161,415,13.1549481120641,14.1130568285447
"1673",77,39110,372.63,9.61274234188853,10.8879278808198
"19713",25,28472,233.34,21.3494024528735,22.6017075228468
"6646",31,61406,207,20.8795915525156,21.4235225179537
"26977",26,39170,263,16.213473852949,17.3347317081489
"28738",69,259478,1708,17.1499285390595,18.2389235542232
"20662",9,21470,119,12.8011656345944,13.685799032107
"19593",16,20294,190.14,13.0274814062311,14.2785143933931
"9087",742,1771450,20797.6,11.1340806548814,12.7268648773296
"22536",40,55838,270,13.9838419917622,14.936804469747
"22543",6,16076,91,12.7242184935607,13.6027495124636
"27789",66,228632,1799.52,14.0212532091709,15.2788680013239
"27136",258,458536,4160.83,10.7092402280011,11.9769309255224
"8841",27,79198,588,11.6572452387297,12.7685390455347
"27831",60,190781,589,11.851395321436,12.3852337922471
"32257",78,109716,600,14.5742134062927,15.6002051983584
"30332",10,32964,121,24.2753322832905,25.1112216419354
"30619",12,44598,263,14.868846226953,16.1186086295381
"19795",32,98928,990.49,11.9266514759327,13.1895581490561
"22051",152,478660,1570,12.0269684476541,12.7165076115022
"27942",53,243544,1222,15.7647527413722,16.5925157220776
"25002",29,57619,328,14.1328095305795,15.0844747997296
"32266",50,515811,1090,8.52493608732703,8.96725236375441
"26668",14,22669,179.37,18.0951342055787,19.3739853570581
"21109",54,73132,632.8,10.2673263605197,11.5191884262108
"14936",17,49603,295.66,19.9128700648133,21.1663167676795
"23064",6,11817,56,23.8372598452578,24.8109188907242
"18489",94,162294,1451.89,10.5742778765147,11.8307381683661
"26568",30,94615,659,18.5808248029915,19.7570749033922
"14311",12,37146,294,13.8186087935875,14.9927911592854
"32304",6,20981,10,27.9222847436034,28.0284531266589
"7506",177,460225,3192.21,17.446236486491,18.6965350872709
"22658",36,88748,867.87,10.0327415006514,11.3354218367032
"9812",6,18250,84,37.9045920641997,38.6535889433794
"26202",20,30710,210.01,13.4573131749253,14.7156258819004
"5682",20,52998,452.51,10.9619408182789,12.2170996845946
"28380",60,110577,896.51,8.98922396011404,10.2408048224346
"26973",30,39456,332.77,10.1581735137844,11.4092228846882
"10922",13,12748,95,14.6273479606813,15.7990157990158
"33914",22,56095,205,60.1158919985205,60.7631611391937
"8251",15,38622,210,13.9148756847872,14.7998314369996
"8822",11,22994,180,15.4422415498395,16.5908380287532
"13435",125,140597,1099.08,10.2318769787097,11.4838978370664
"33104",105,328940,616,23.8288697521465,24.3215058028688
"31372",25,35733,57,31.4308363059849,31.7535813374101
"29472",30,90469,200,11.251040221914,11.6208969024503
"33535",39,105895,1257.91,12.9083046479354,14.1605206963417
"33979",1,1979839,72100,8.19398783688481,12.1473237779943
"28923",250,980063,5327,14.8127774408596,16.0137342384284
"25332",64,244436,2173.1,8.18722492885942,9.44104159502604
"13693",81,314843,2991.68,9.75048948800028,11.0137671455924
"91005",16,251083,2233.28,11.7785159229863,13.0540820194118
"27197",5,13664,83.84,17.0540905691332,18.3182947718883
"19600",35,58199,296.53,26.5074598346941,27.7721834171208
"15696",34,42886,374.82,13.4190310279903,14.6752051563398
"19158",134,445504,3901,10.9613253838442,12.1864738086444
"10361",74,99792,639,12.1186950242064,13.1089566764401
"29087",32,140278,549,36.8355857937843,37.7415001201723
"29849",59,104265,703,11.5116958546562,12.7565385228339
"32106",1089,3313058,23973,13.3525565485812,14.5700326412281
"17230",108,312099,2026,13.766084717603,14.7805648441076
"230",14,26803,243.45,11.5370655903544,12.7903893823989
"34106",14,8682,6,264.483469783139,264.858446347103
"29349",24,55895,252,16.3883775966342,17.2166710491717
"17622",31,53780,435.46,13.9100726360381,15.1670305588622
"9831",56,127669,891.41,21.0029114738788,22.2537269012525
"4061",9,13259,113.57,15.7596493339974,17.0139053780494
"29561",12,43502,0,36.4968658956476,36.4968658956476
"13080",50,125920,678.98,27.0801053410198,28.3319333587517
"2773",63,219349,1294,11.6547087581418,12.5350539296459
"10326",81,154949,775.04,18.1157825871391,19.378981519783
"23032",23,42294,223.92,18.6219530390242,19.8779252451984
"6058",76,221988,1050,24.9301660284964,25.9560585794417
"26984",56,137460,1007,10.1793600187866,11.0819412936759
"1078",95,275845,2257,11.5781175445512,12.7486878410057
"8583",27,45693,222.7,22.4532083290873,23.7140074957256
"15062",23,43125,305.63,12.8715017958929,14.143379291489
"9296",26,57922,466.1,12.5424288968893,13.8050695251485
"23124",17,46858,981.18,8.80152478523781,11.5189194009646
"30196",65,172928,0,15.0653138100735,15.0410109970229
"33468",28,52094,429,11.0998785723831,12.3461093778142
"163",249,462091,3431.33,14.2937672956899,15.5443507510232
"3640",25,50928,293,11.3829767765313,12.4553922734843
"33684",NA,360564,0,NA,NA
"32474",234,312737,2378,9.15390611136444,10.2222212238902
"15699",26,46910,389.57,15.0571777527789,16.3089542651882
"15426",8,12321,114.44,9.22425958255272,10.4839544114636
"23091",232,372647,2515,10.30386872108,11.2636550112102
"18545",148,243778,1795,10.8245938861059,11.8437465756186
"31751",8,24412,90,15.0545144143095,15.92752104916
"23403",32,91182,571,13.9594971930966,15.0721260173929
"19590",32,63096,402,16.3989310152418,17.5795130833162
"8276",12,29280,96,23.5382732322757,24.1408530270219
"14498",8,19367,136,19.8277974169613,21.017815267229
"27711",33,90374,389,26.187166274506,27.1425974957386
"10173",10,29205,173,15.0221952199434,15.8698272398554
"9465",38,133863,1012.56,28.3405252580776,29.5918435441858
"11892",64,102830,561,18.5469090981728,19.4807464706441
"903",186,604371,3131,15.0285610748542,16.2129160893362
"622",441,1993799,4832,24.6474000351866,25.612335841594
"14531",388,872435,7142.47,13.6267770993873,14.877388684727
"33197",61,174479,1088,11.0093317673822,11.9246728160535
"28701",29,132749,330,14.3081342394731,14.7705457857493
"6423",176,1065226,8323.61,15.611877339872,16.8847212291575
"3706",32,179013,921,19.3580537170019,20.4278867487066
"14341",49,166769,1363.73,13.6519641306081,14.902390152761
"11980",28,60996,159,13.4857177274849,13.9645540648387
"9266",142,552149,2803,13.7870902533948,14.6422242147213
"3735",338,1392944,6319,9.78080277291395,10.525179951033
"15082",34,124214,513,16.0636732894512,16.8830691726657
"10817",10,19223,120.95,13.6284789644013,14.8810355987055
"10459",67,170940,659,15.146567630408,16.0107743895802
"27267",31,113512,580,12.266131880573,12.9676757609332
"29031",102,310702,860,23.2459394581788,23.4997038376407
"20289",70,152010,1233.15,15.5886686742982,16.8405029264284
"6782",50,61644,388.22,15.0622844007938,16.3597062002338
"26213",33,84037,742.15,11.9218609290324,13.1722579172293
"20726",25,62675,548.81,15.0895088009797,16.3590585978624
"20557",34,52334,479.38,11.0328640949605,12.2846828854556
"21946",19,34625,224.84,19.4059015453014,20.6654924527625
"22968",84,163579,1057,14.3293863009803,15.5221852709076
"21614",35,58262,285,11.7836651656114,12.5980067204608
"19594",39,54408,423.27,15.4678489922296,16.7244855455772
"19838",38,97069,846.08,19.9565946324618,21.2301559227494
"20311",79,156984,1307,9.42724316789205,10.5327978399813
"19234",26,35878,329.95,9.7528255181784,11.0103264090432
"17906",41,58665,369.52,23.8288417695303,25.0896140505551
"19281",73,89414,614.24,17.5753533256317,18.8375402807043
"34063",4,5768,32,49.8458524217017,50.7678566283459
"26904",15,58748,339,12.7492486643712,13.7131191588453
"20156",49,120354,558,11.5038954398906,12.1963629323889
"20537",69,134989,1065.54,10.8664542057917,12.1194183454345
"21919",61,81816,527.33,12.5955793717305,13.8471389854661
"10973",21,49653,395.38,15.844868899599,17.0950673161872
"10570",59,144539,1290,12.6146364788726,13.7784814980219
"5243",343,790786,6942.68,10.7856889568983,12.0367805814999
"4624",17,50368,216,14.6281008255542,15.4916345173606
"27501",105,165832,925,10.8583678563705,11.6458847347728
"18609",125,203254,1482,9.71183032089636,10.7402642284039
"22989",111,284144,1234,15.893733714941,16.640094450318
"26498",125,516883,4140.03,12.4898657057056,13.7435550915122
"20639",142,259631,1597,14.6221322368864,15.6176365717249
"10892",11,16577,78,14.115512682943,14.978373176101
"16749",35,90802,507.64,19.2220082003245,20.4899214335382
"19862",48,142861,639,16.7520791541291,17.5866140086927
"24678",21,35367,283.56,11.5921683735869,12.8486956151826
"20473",180,345341,2992.79,10.8323463112681,12.0863668016324
"20241",160,238130,816,12.5810208539094,13.1587424643083
"21567",15,19088,97,20.9844680059524,22.1121651785714
"23886",74,127212,774.85,15.6773844648276,16.9338616423795
"5800",15,43423,334.56,13.7707704436924,15.0244164191051
"20504",49,111922,1019.53,9.91318387195293,11.1641788407575
"27006",67,200909,1562,8.75104087196386,9.79912596949549
"21663",52,76969,449,11.8068109789279,12.7219254497614
"21224",65,118786,651,12.0064315153614,12.7682431056636
"9771",88,278273,2556.89,12.7007854492459,13.9544339709925
"33994",12,36351,306,18.4989108850886,19.5898083086455
"15001",151,403269,2437,11.5462876079757,12.5470452599527
"31581",6,19770,0,35.8928783031165,35.8928783031165
"34090",8,25393,20,97.0647616089455,97.4098807613329
"10647",9,22857,182.14,24.90731920544,26.159145673453
"428",41,50558,325.21,29.5841120752277,30.8453927632173
"2328",17,30946,102,36.6379166805421,37.3172599820174
"26365",785,11426180,112481.06,11.930019860735,13.2257115906364
"27471",101,231166,2690.22,15.2132720467808,16.4881785549638
"29140",112,205965,1491,9.22076061584097,10.4772177606243
"29242",14,53407,127,26.9748653500898,27.4930634894728
"28574",578,1340354,9444,13.5235349603433,14.7782014321585
"31346",4,19352,50,61.7275520655514,62.5810856947764
"30182",69,129461,567,14.8624070267792,15.7008295503275
"32328",14,66907,513,9.44525933585015,10.6788178998245
"22461",44,80344,656,11.5163559654955,12.5991608262329
"31758",18,35536,104,15.3443597364001,16.0162811732782
"25711",34,63788,365,11.2631897880413,12.2248422494764
"26306",90,20374,206.81,60.2896415370383,61.5508696137401
"23348",33,67343,427,11.2571130393174,12.1377996035879
"8843",51,87100,493,16.8042193593077,17.6889353080624
"25046",23,28479,249.05,12.4338444409178,13.6885644401117
"22675",125,257685,2407.85,5.68899598038378,6.98753128907342
"239",5,12772,100.15,10.7477488248583,12.0081552005135
"1439",21,43026,430,8.86079836519108,10.0612215841678
"14993",8,15502,151.9,17.8646576834531,19.1180717721905
"4488",10,23877,170,11.2636056388707,12.3559119472609
"25192",186,204338,2259.32,17.7821427387356,19.0780864415994
"26764",11,61080,582.54,29.8789378100773,31.1477580777462
"30950",3,6652,19,27.2952853598015,27.8846153846154
"16730",61,120564,647,18.4987169980349,19.3822744982363
"26398",17,36260,328.03,13.925531399575,15.1766932908384
"26248",52,132114,884,11.4637798561504,12.3317868276996
"25621",25,49845,433.33,12.366539363488,13.6209383574908
"32972",57,135378,1139.46,11.9199574465032,13.1975714726524
"24472",42,70694,409,13.9798044193486,14.9110324336016
"22373",61,163905,1044,14.4930529807685,15.5712791128802
"19300",100,253310,1725,9.95437671157694,10.9253843923884
"24179",46,69363,286,13.9488052481887,14.5425481118562
"18806",22,29263,288,18.7354244785628,19.9955371011284
"33993",11,30634,201,10.6180908672621,11.408548742936
"33812",11,31612,259,17.9855949559335,19.1775778355616
"6837",151,393964,2653.89,21.5582526951115,22.8091158806868
"3619",1999,6689290,160478.03,9.22297074592398,11.5981511627982
"13085",145,327968,2000,14.3192305941148,15.2119785347685
"13595",59,111018,840.5,12.4439409947681,13.6999914818706
"15872",261,551184,3004,11.4507386390046,12.2918893914762
"24481",19,32868,257.66,11.2782174005117,12.5297012486667
"24334",19,40028,274.66,23.7269109092765,24.9782229965157
"27528",39,69623,605.74,9.22207907545195,10.4743055222496
"28268",140,455759,1828,17.7987966045123,18.6233119536684
"23001",28,41774,259.68,14.5231151961752,15.7731525028185
"20393",156,288865,2525.39,12.3747545592723,13.6393661413555
"24655",73,134299,1277.05,11.1784113127172,12.4321782341036
"18246",238,1323549,5004,30.2163066024825,30.9962672864788
"9104",8,28387,149,27.6572588354684,28.7529598635154
"31980",16,26946,221.51,11.5718462062126,12.8222265248165
"30385",8,35603,79,15.3671950824976,15.8586964636787
"30617",38,152702,854,17.4534244342014,18.7191534140594
"32633",2935,19838857,177746,9.40646230590427,10.964856906785
"32526",768,3413606,11212,12.2946877908706,13.0343031934999
"29597",22,105919,591,36.5591170500677,37.8086941813261
"29878",27,80581,360,27.5192706599401,28.4027759993854
"17784",175,218831,1190,15.6879850275592,16.7077426166123
"8733",40,80327,537,15.8581702653605,16.971788342057
"15432",8,18447,127.35,21.6885445949084,22.9468754168499
"228",58,160205,1510.59,10.7748098693283,12.0258721322421
"1117",31,73982,617.44,17.919042631679,19.1865341750979
"9645",38,45936,261.57,15.0978612000744,16.3483829081502
"20292",19,18438,84.32,17.8488627851954,19.1019985970586
"5617",16,22835,103.58,38.0628858677137,39.3322206127806
"26944",23,47138,396,10.9306988800313,12.1411454003032
"20006",10,13093,84.86,35.8104196384341,37.0766163928164
"22569",22,45248,398.48,9.46527366492236,10.7246133143375
"14542",5,11540,68.58,35.3311750170634,36.582730793236
"16701",313,747865,2958.31,30.8755847939482,32.1445774201921
"15444",77,153409,1228.48,12.483570093157,13.7354734554461
"19115",41,71951,357,12.7160015333753,13.4720995592605
"10204",8,13791,104,14.3088156024893,15.5828882246288
