"","numemp","asset","RWAJT","RBCT2"
"57899",14,121339,101056,1286
"15448",6,18396,12848,169
"16522",140,598751,368817,4676
"22039",21,101929,70221,696
"16419",47,107627,68420,825
"30367",38,234864,156217,982
"4788",7,19174,13169,165
"31826",68,236596,132988,1339
"57298",41,119965,118733,1224
"32487",16,47078,28111,292
"58485",37,156890,132269,1659
"57657",43,257910,222895,2823
"35456",43,257265,173561,2039
"58358",9,41184,33223,425
"58773",23,49591,14613,49
"11706",17,49788,41225,359
"27552",122,666594,429098,4112
"58321",47,365750,210478,2145
"34393",9,117324,90331,1134
"57611",5,55214,40783,511
"1149",14,106774,81123,1034
"1673",578,643874,583381,10225
"58548",16,56485,39106,394
"6646",43,106072,72843,773
"3564",86,315558,238708,2239
"26977",60,123301,74083,926
"35517",99,379151,351637,9442
"57157",16,88226,73434,931
"57633",86,268075,245248,3137
"9087",1178,4396088,3461366,43807
"57626",32,149402,127771,1398
"22543",5,23768,13836,149
"8426",145,598845,378662,4031
"57869",22,105356,71923,702
"35408",133,669148,474708,10949
"31249",36,122174,89794,620
"9751",53,390312,338433,4020
"91005",53,179929,134705,1714
"27831",54,237437,115402,1447
"35029",52,171030,117583,1481
"32257",133,257682,128085,1005
"30332",15,33812,25240,101
"30619",17,88006,53048,664
"19795",66,268393,226658,2839
"26549",18,91064,53290,591
"27942",159,1227352,808543,10215
"32266",84,1395984,849633,10646
"19600",267,377230,257983,3395
"4061",18,62256,45934,453
"58562",33,103949,88128,1104
"58727",15,80622,65281,707
"16476",11,38142,28869,367
"35189",315,694523,530784,6660
"14936",29,111341,90232,1129
"18489",144,494547,460941,5769
"26568",43,200588,127282,1605
"14311",14,87569,73976,752
"32304",6,23608,12226,143
"7506",243,952152,635105,7977
"58697",9,42727,32505,409
"22658",64,282169,226124,2903
"9812",8,35427,25079,100
"28380",146,508682,268714,2838
"8251",27,102369,80601,892
"8822",11,28455,21017,172
"31372",44,79540,52074,382
"18664",3,21813,8036,101
"33535",143,2284186,1111183,14924
"57072",72,454763,353463,4433
"29864",231,889621,605058,7624
"18152",39,48467,35201,441
"10375",27,111676,110514,1262
"57103",55,491992,368255,12749
"28225",252,1706080,1373530,17282
"34885",90,173194,132590,844
"57478",37,158279,98962,1238
"35267",36,1134761,537571,2000
"3304",55,158980,126685,1570
"35224",24,76356,61539,775
"35314",9,81988,30659,290
"13947",34,153010,93111,1174
"57845",67,301309,240138,2881
"29849",64,179943,146875,1075
"17230",100,546989,409720,4142
"34106",45,216319,159213,2012
"9831",61,202768,121538,1486
"17622",51,181480,127097,1608
"3931",397,958140,656069,10777
"13080",42,131632,72422,906
"2773",263,1003643,712939,9069
"20093",52,131668,93892,592
"57759",9,37943,27175,362
"6058",91,393361,255535,3187
"35078",32,148023,95855,1205
"58629",66,312977,238112,2155
"35265",18,109767,68116,852
"34987",36,181282,161915,1970
"57962",18,58940,38319,64
"8583",46,125122,87064,1094
"15062",20,57913,31005,390
"10973",170,682634,639448,8062
"11569",182,484121,361773,2580
"12511",45,136066,95920,1202
"197",70,269447,185360,2334
"34566",39,120587,105190,1320
"34930",20,74183,56724,719
"57733",30,173124,137656,1745
"15657",37,126947,87832,954
"34664",107,634875,401244,5019
"57512",145,1024891,781421,27853
"7237",328,1449228,888465,10011
"57424",17,58817,40628,517
"35173",22,155737,100811,1273
"1946",38,99766,82586,1036
"15083",7,14682,9904,128
"91",53,159806,127150,1133
"55130",32,146510,120070,1522
"4051",7,23497,12956,162
"34782",57,1180122,641577,4492
"57803",672,52512982,32712723,413397
"58424",52,330086,218037,2450
"15699",28,83824,69034,868
"15426",9,18758,15744,104
"23091",509,2697516,2286435,28382
"18545",338,1010319,763520,9589
"35377",16,218591,146937,1860
"58400",31,176172,111586,1412
