"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"15448",8,13467,9643.1,93,14.735925169292,15.7003453246363
"23309",40,83302,53530.01,672.41,9.63384837776044,10.8899848888502
"16419",32,48317,30674.87,384.17,12.8443902125747,14.096783458251
"4788",7,14445,4685.48,59.48,39.718449337101,40.9879030536893
"23406",158,856514,419936.06,5286.56,14.4867292415898,15.7456256554867
"33619",36,77327,58431.4,649,12.3649270768799,13.4756312530591
"27552",30,64713,34368.1,369,15.0459292192469,16.1195992795645
"1673",61,33550,24299.4,310.3,9.45290830226261,10.7298945652979
"19713",17,20351,8611.39,108.59,35.5343330170855,36.7953373381069
"6646",25,57983,32980.1,232,21.4462660816674,22.1497205890825
"26977",25,34915,19851.5,233,17.0415333853865,18.2152482180188
"21170",43,50079,29094.3,326,13.3703165224803,14.4908109148527
"28738",72,193474,102502,1285,23.4005190142631,24.5595207898382
"20662",9,19270,10347,115,14.9608582197738,16.0722914854547
"19593",11,21109,14935.03,186.93,11.2487219644018,12.5003431529766
"9087",705,1503752,1084634.51,18467.51,10.9305022942705,12.6331504978576
"14181",12,41968,18661.7,235.1,21.8361671230381,23.0959666054004
"22536",30,50878,23499.7,230,15.1150865755733,16.0938224743295
"22543",6,13658,8236.6,89,14.1684675715708,15.2490105140471
"27789",68,217954,136011.56,1707.56,12.478351104862,13.733803214962
"27136",152,274596,196301.84,2501.74,13.9310971308267,15.205532459604
"21442",34,143688,62908.9,1289.1,14.559148228629,16.6083018460027
"8841",27,65661,48898.9,549,10.3928718232926,11.5155964653602
"27831",65,152211,90995,381,12.4303533161163,12.8490576405297
"32257",94,86525,55471,695,13.1510158461178,14.4039227704566
"30332",9,29454,9411.79,118.39,34.2761578828257,35.5340482522453
"30619",13,41507,20379,255,14.3333824034545,15.5846704941361
"19795",35,87115,67910.08,862.38,11.6138870694895,12.8837721881641
"22051",136,412978,214247.47,2680.57,12.3548716817986,13.6060276464408
"27942",53,225755,144265.2,1263,13.6339186442746,14.5093896518356
"25002",30,56608,32993.3,310,18.6371172328927,19.5767019364538
"32266",47,386896,187691,1072,8.56460885178299,9.13576037210095
"26668",16,21323,13134.41,171.01,17.3437558291541,18.6457556905868
"21109",42,63494,40916.44,513.54,10.8220558777841,12.0771504070247
"14936",14,35893,21689.38,272.68,17.9949818759227,19.2521870150276
"23064",6,10811,5482.9,65,23.7100804318882,24.8955844534826
"18489",85,151710,114417.67,1434.97,9.58156200873519,10.8357127006694
"26568",30,84964,51219.98,640.28,18.5806398206325,19.8306988796169
"14311",9,30768,23631.9,276,13.0713146213381,14.2392274848827
"32304",6,19336,8766,10,27.1731690622861,27.2872461784166
"7506",167,471615,236417.74,2960.34,20.3076977218376,21.5598626397495
"22658",35,82341,63071.79,861.79,9.14037797246598,10.5067416034966
"9812",6,16565,10653.9,84,37.5167778935413,38.3052215620571
"26202",20,28433,10436.61,132.21,16.3846306415589,17.6514212948457
"5682",20,47728,31381.91,395.31,11.2740110464914,12.5336858081615
"9531",11,27279,15414.48,192.88,13.578142110535,14.8294331044576
"28380",56,92767,59481,745,7.80921638842656,9.06171718700089
"26973",33,35319,17348.09,218.79,13.1599501731891,14.4211264755947
"10922",9,12719,7290.82,91.22,14.4428198748563,15.6939822955443
"33914",9,6013,3291,0,175.843208751139,169.340625949559
"8251",14,38877,20546.6,200,23.3177265338304,24.2911235922245
"8822",11,20809,15020.2,135,15.4125777286587,16.3113673586237
"13435",70,127686,71745.47,900.17,12.3547869990956,13.6094585483934
"33104",128,332465,107542,618,26.7086347659519,27.283293968868
"31372",24,35223,16743,112,30.1797766230664,30.8487128949412
"29472",29,79848,46264,214,11.4603147155456,11.9228773992737
"28923",220,883281,388248,4865,16.2437411139272,17.4968061651316
"25332",67,353337,238421.6,2998.9,9.40183271985424,10.6596466091998
"13693",61,186164,105406.79,1344.39,11.0030862338185,12.2785164029756
"91005",16,175087,120457.03,1510.83,13.6347376321664,14.8889857237888
"27318",28,41625,32424.5,402,10.4673934833228,11.7071967185307
"19600",35,58929,23167.29,292.79,25.2899670181536,26.5537747401617
"15696",32,44199,31424.6,343,12.1847215239017,13.2762230863718
"19158",162,499079,316513,3959.2,8.51434222291028,9.76522291343484
