"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"57899",15,73570,61376,771,6.92127215849844,8.17746350364964
"22039",23,149326,72021,737,18.4210160925286,19.4443287374516
"16419",42,118276,66760,846,18.6833433193529,19.9505692031156
"30367",36,241602,158558,1343,13.5149282912247,14.3619369568234
"4788",6,24998,16289,85,14.5926698999325,15.1144944441034
"57298",50,201996,133863,1655,13.8432576589498,15.0795963036836
"3881",97,298708,208606,2631,14.9036940452336,16.1649233483217
"32487",15,53025,26612,333,17.8378175259282,19.0891327220803
"58485",58,345304,245656,3087,13.8197316572768,15.0763669521607
"57657",52,493386,359003,4516,13.1475224441021,14.4054506508302
"35456",45,300973,183232,2309,13.3502881592735,14.6104392245896
"58358",5,20152,15275,201,3.45662847790507,4.77250409165303
"11706",17,66275,47057,452,11.6837027434813,12.6442399642986
"27552",141,812721,511417,6023,14.2564678139366,15.4341760246531
"58321",76,701784,548403,5988,11.9156897391152,13.0075874858453
"34393",11,118465,82212,961,18.7284094779351,19.8973385880407
"57611",5,53366,33803,425,24.1605774635387,25.4178623199124
"1673",400,638129,426347,5980,25.6356911154529,27.0383044796844
"58548",22,99191,65821,823,15.1684112973063,16.418772124398
"6646",60,118400,81680,1036,16.7029872673849,17.9713516160627
"3564",92,302468,202653,2200,14.7962280351142,15.8818275574504
"26977",53,148997,74524,933,17.6050668241104,18.8570125060383
"57633",146,371560,326834,4100,14.7876291940251,16.0420886443883
"9087",1136,4546786,3597552,46070,13.7894045728873,15.0699975983669
"57626",43,182270,149721,1875,12.5860767694579,13.8384061020164
"22543",5,31910,13438,131,23.9098080071439,24.8846554546808
"8426",165,816078,441745,6317,14.2543775254955,15.6843880519304
"57869",32,154630,103130,791,12.473577038689,13.2405701541743
"35408",289,1554642,843946,9339,18.0654923419271,19.1720797302197
"31249",39,145835,98736,1124,12.3237724842003,13.4621617241938
"9751",46,364824,256143,3212,17.9075750654908,19.1615620961728
"29132",165,718579,450260,5641,16.6514902500777,17.9043219473193
"91005",33,175092,116807,1206,30.6257330468208,31.6582054157713
"27831",47,218312,101827,1277,22.1837037328017,23.4377915484105
"35029",45,130626,94905,1193,11.1932985617196,12.450345081924
"32257",111,263509,143774,1798,26.2439662247694,25.1971844700711
"30332",22,47925,36784,461,32.5549151805133,33.8081774684646
"30619",16,71116,34357,433,18.4707628721949,19.7310591728032
"19795",73,330150,223929,2812,13.5105323562379,14.7662875286363
"11694",87,334545,253090,3188,13.3865423367182,14.6461732980363
"26549",24,116163,73788,839,13.0563235214398,14.1933647747601
"32266",78,745162,325827,4105,34.681287922732,35.9123092929684
"19600",303,306583,116738,1542,51.0947592043722,52.4156658500231
"4061",18,75981,56087,705,12.2987501560076,13.5557259257939
"58727",39,200455,137948,1737,12.8548438542059,14.1140139762809
"35189",289,875101,719893,9053,12.3579476394409,13.615495636157
"58562",26,125102,84298,1062,17.0431089705568,18.3029253363069
"14936",45,146525,119940,1222,10.6903451725863,11.709187927297
"7506",253,1021377,668446,8489,13.0695673248101,14.339527800301
"18489",159,578721,460222,5759,15.3278200520618,16.579172660151
"90140",83,387353,247205,2465,17.4802289597702,18.4773770757064
"14311",16,154763,88789,842,11.4788994132156,12.4272150829495
"32304",6,26111,12313,152,32.3316819621538,33.5661495979859
"58697",13,70501,42174,532,18.6702707829468,19.9317114810073
"9812",8,45892,30385,190,26.4275135757775,27.0528221161757
"28380",157,618692,306349,3538,14.2004707049803,15.3553626745966
"27015",245,710209,511966,3553,10.8579475980827,11.5519389959489
"8251",28,129433,89283,1047,12.7560677844606,13.9287434338004
"8822",10,41167,23753,220,14.5244811181745,15.4506799141161
"31372",21,58680,36048,454,13.7733022636485,15.0327341322681
"18152",29,56884,37111,416,17.525800975452,18.6467624154563
"57072",49,258820,201789,2558,5.8159760938406,7.08363686821383
"29864",212,762342,524550,6618,12.0808311886379,13.3424840339338
"10375",29,125806,94355,1183,14.1073605002385,15.36113613481
"34885",278,374523,278517,3488,11.7910217329642,13.0433689864532
"57264",24,276631,222780,2797,5.04129634617111,6.29679504443846
"35267",30,920508,223462,2432,59.8137490938057,60.9020773106837
"3304",101,396126,282283,3527,11.5231877229589,12.7726430567905
"35314",9,36515,29656,310,25.5833558133261,26.6286754788238
"13947",35,190096,99453,1244,16.8803354348285,18.1311775411501
"57845",95,280073,197818,2497,10.1320405625373,11.3943119433014
"29849",64,174021,139934,1751,14.5875912930381,15.8388954792974
