"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"15448",6,21347,16155,202,11.4082327452801,12.6586196224079
"22039",19,44888,32611,411,17.9540645794364,19.2143755174634
"16419",44,83738,49927,611,15.8491397440263,17.0729264726501
"30367",31,189414,106325,746,11.8015518457559,12.5031742299553
"4788",6,17771,9997,125,19.8459537861358,21.0963288986696
"31826",59,146408,91310,992,12.305333479356,13.3917424159457
"57298",20,57800,54322,610,12.8401016162881,13.9630352343434
"33025",108,332912,280420,3163,8.96726339062834,10.0952143213751
"57657",17,52761,18764,57,124.728202941803,125.031976124494
"35048",39,206671,148709,1486,10.4398523290453,11.439119353906
"35456",26,124713,79650,892,19.8543628374137,20.9742623979912
"11706",16,44961,31072,223,10.308316168898,11.0260041194645
"27552",88,325174,227664,1907,13.0565218919109,13.8941598144634
"34393",12,111858,84303,917,11.7919884227133,12.8797314449071
"57611",4,28386,19357,204,33.3884382910575,34.4423206075322
"1149",12,54087,43185,466,12.2009957161051,13.2800740998032
"1673",428,216681,350465,6625,12.6999843065641,14.5903299901559
"57647",41,137734,98449,1189,14.8828327357312,16.0905646578431
"11338",59,145404,109305,1046,10.1056676272815,11.0626229358218
"6646",46,88091,60757,240,20.0569481705812,20.4519643827049
"26744",78,304785,223829,2266,10.3427169848411,11.3550969713487
"3564",85,252349,172112,1271,13.4180068792414,14.1564795017198
"26977",62,93235,53122,555,16.2908023041301,17.3355671849704
"35517",45,175064,168626,1771,11.0166878180115,12.0669410411206
"57157",13,51620,38898,444,18.4122576996247,19.5537045606458
"57633",144,280568,223326,2795,13.6065661857554,14.858099818203
"35086",36,102558,60788,451,13.0288872803843,13.7708100282951
"9087",1044,3243694,2613176,33126,12.4053642004978,13.6730170489856
"57626",12,16508,8100,41,89.3456790123457,89.8518518518518
"27789",83,377381,264751,3317,21.5708344822116,22.8237098254586
"22543",5,20262,12163,125,19.7813039546165,20.8090109348023
"8426",126,356993,222889,3769,12.8575210082149,14.5484972340492
"35408",62,140224,85768,1075,15.498787426546,16.752168640985
"31249",38,110136,72723,748,11.4420472202742,12.4706076481993
"9751",54,203256,186604,1557,9.59089837302523,10.4252856316049
"91005",63,198582,118330,1513,25.9384771402011,27.2171047071749
"27831",66,259537,133523,1672,22.5661496521199,23.8183683709923
"35018",186,45002,7441,0,554.468485418627,554.468485418627
"32257",146,226672,163418,1351,18.6729736014393,19.4996879168757
"30332",17,29183,15598,92,39.569175535325,40.1589947429158
"30619",15,66119,40640,509,15.7652559055118,17.0177165354331
"19795",53,182108,142258,1786,12.6643141334758,13.9197795554556
"27942",108,634208,374729,1359,14.8309845248166,15.1936466086158
"32266",63,934082,551552,3686,14.2044630424693,14.8727590508239
"35559",16,41654,32624,408,16.0127513487003,17.2633643943109
"4061",8,30116,23722,297,12.7223674226456,13.9743697833235
"35189",295,343332,266472,3041,11.0788375514125,12.2200456333123
"29088",113,283834,178204,1201,9.3735269690916,10.0474736818478
"14936",23,91624,71522,895,10.6778333939208,11.929196610833
"30400",54,162789,123110,1458,13.0314353017627,14.2157420193323
"18489",157,339348,273230,3436,10.222157156974,11.4797057424148
"26568",41,161992,104301,729,16.3382901410341,17.0372287897527
"14311",13,62876,51868,534,12.4122773193491,13.4418138351199
"32304",6,25834,13164,135,28.0917654208447,29.117289577636
"7506",195,892730,495291,4096,13.3396326603956,14.1666212388273
"22658",65,238601,192050,2557,12.1359021088258,13.467326217131
"9812",6,26119,19799,138,33.2643062780949,33.9613111773322
"5682",20,80189,54986,607,15.3984650638344,16.5023824246172
"28380",117,306151,183640,2202,12.8229143977347,14.0219995643651
"8251",20,67368,52400,570,10.5114503816794,11.5992366412214
"8822",11,27120,17137,120,17.5584991538776,18.2587384022874
"31372",37,75145,42043,461,20.1460409580667,21.2425374021835
"29472",94,321135,209563,1798,10.5314392330707,11.389415116218
"33535",839,1033720,1082699,25489,25.7990447945366,28.1532540438294
"18664",2,82233,23433,295,212.401314385695,213.66022276277
"57072",50,175058,164382,1629,11.628402136487,12.6193865508389
"27642",276,1056517,679499,5528,11.1639605061965,11.9775010706418
"34939",44,136414,109298,1034,12.0459660744021,12.9920035133305
"18152",38,40417,28448,358,13.1960067491564,14.4544431946007
"10375",21,74722,55029,692,11.6647585818387,12.9222773446728
"57103",38,240180,171641,1235,11.129042594718,11.8485676499205
"25332",18,3800,1333,24,189.947486871718,191.747936984246
"31217",85,209264,167587,1283,10.1284705854273,10.8940430940347
"34885",18,96804,59332,612,12.5514056495652,13.5828895031349
"27197",128,880033,689490,8620,10.6929759677443,11.943175390506
"57478",12,87760,33579,300,21.7933827689925,22.6867982965544
"35267",29,1366051,653945,967,12.5256711191308,12.6735428820467
"3304",22,31297,25487,321,10.2405147722368,11.4999803821556
"19600",140,90980,61109,768,25.0945032646582,26.3512739531002
"15696",33,80079,40689,511,14.827103148271,16.0829708274964
"35224",24,59269,34096,426,14.6028859690286,15.8522993899578
"34676",48,143698,101654,2774,10.8062643870384,13.5351289668877
"35314",12,62300,42767,536,24.3084621320177,25.5617649121987
"10361",133,273183,196142,1362,11.7669851434165,12.4613800205973
"29087",46,157602,81551,329,33.1350933771505,33.538521906537
"27311",22,67776,27783,350,18.8424576179678,20.1022207824929
"29849",70,165618,123204,1022,11.9517223466771,12.781240868803
"35029",57,135916,102375,1013,12.9367521367521,13.9262515262515
"17230",120,446237,317269,3061,16.6218571622188,17.5866535967901
"34947",51,117603,87122,1091,9.78168545258373,11.0339523886045
"34106",52,102505,83499,1047,11.5546293967592,12.8085366291812
"9831",61,179713,101884,1273,24.6770837422952,25.926543912685
"17622",62,196477,146212,1837,11.0380816896014,12.2944765135557
"3931",293,606434,466967,4494,8.9310379534314,9.8741452822148
"13080",44,143981,56260,705,30.1706363313189,31.4237468894419
"2773",246,697971,539327,6762,12.0813532420962,13.2509590656503
"20093",31,54580,33640,278,10.0743162901308,10.9007134363853
"34388",69,205961,138656,1155,10.678225248096,11.5112220170782
"6058",87,314814,190832,2651,19.727299404712,21.1164794164501
"35078",19,78370,65537,820,13.7723728580802,15.0235744693837
"34987",15,66541,54115,531,11.5587175459669,12.539961193754
"35265",14,67163,48650,466,12.9537512846865,13.9116135662898
"1078",503,2751358,2114961,20892,9.28943843408933,10.2772580676429
"8583",36,100521,70864,705,10.376213592233,11.3710769925491
"15062",22,42613,21133,268,14.881938200918,16.1500970046846
"11569",167,412775,259838,2361,13.8243828847205,14.7330259623304
"12511",39,119032,78686,991,13.1370256462395,14.3964618864855
"23124",63,345497,266828,5523,11.2342033069993,13.3040760339994
"34664",99,484777,230122,1643,18.8008969155491,19.5148660275854
"34566",34,101122,90055,703,8.96785297873522,9.74848703570041
"34930",14,57265,48578,608,11.2931779818025,12.5447733541933
"1932",89,385871,372937,4273,9.76277494590239,10.9085448748716
"57512",73,261381,204413,2388,13.7501039562063,14.9183271122678
"7237",302,857468,521948,6060,12.4893667568417,13.6504019557504
"33468",63,127672,86638,1085,12.6353332256054,13.8876705371777
"28299",34,187784,82352,570,18.8872158538955,19.5793666213328
"35173",27,92313,67330,731,12.8649933165008,13.9506906282489
"1946",33,63120,43104,542,12.9083147735709,14.1657386785449
"15083",10,20018,13301,167,16.3822269002331,17.6377715961206
"91",40,126543,82555,691,10.830355520562,11.6673732663073
"55130",23,131986,92563,598,11.4646240938604,12.1106705703143
"33684",NA,1011429,NA,NA,NA,NA
"34782",58,954527,323994,1,34.3654512120595,34.3657598597505
"15699",28,76198,66753,839,12.2181774601891,13.4750498104954
"15426",10,11893,9686,121,9.13689861655998,10.3861243031179
"10790",53,204604,143846,788,12.4515106433269,12.9993187158489
"23091",418,1254138,1106352,8209,10.1417993549973,10.883787438356
"18545",177,438237,344553,3773,9.96073173067714,11.0557737126073
"35377",13,200713,101761,870,17.4408663436877,18.2958107722998
"19590",50,120575,84212,860,12.2595354581295,13.2807675865672
"8276",13,41057,20974,240,30.337560789549,31.4818346524268
"27711",50,154976,101683,1161,16.3114778281522,17.4532616071516
"10173",11,41448,28803,286,17.3141686629865,18.3071207860292
"9465",35,162647,124917,1564,16.8111626119744,18.06319396079
"622",543,3653081,1715291,8161,13.8821342850863,14.3579136134918
"903",210,643057,416662,5208,12.5547806135429,13.8047146128037
"14531",555,1502577,1089514,13622,13.3303472924625,14.5806295283952
"34302",37,78438,42489,534,15.6087457930288,16.8655416696086
"28701",45,207242,87107,720,21.0258647410656,21.852434362336
"6423",236,2249976,1893951,23908,10.9596288393945,12.221171508661
