"","rbc1rwaj","rbcrwaj"
"15448",11.0893225955793,12.3394471471091
"23309",10.7636935790211,12.0199990068875
"22039",12.383874023412,13.6374153768608
"16419",11.8086031981722,12.9509595154878
"4788",25.868747781029,27.126681633585
"31826",12.6612578642998,13.7882093757282
"33619",8.21429568053777,9.12050760114971
"11706",11.8536634058694,12.2828907965662
"27552",13.6808124035282,14.5811249421579
"34393",16.2057894135712,17.1448876254775
"1673",8.89517890057729,10.1898189352048
"19713",10.4362481363843,11.6015931663822
"6646",23.6365409769237,24.2717839573637
"26977",14.7550414824684,15.7905892327257
"20662",11.6674944037774,12.718360648658
"19593",13.2700889724662,14.4376771730893
"9087",11.1865132815809,12.4697362722093
"27789",14.090578846628,15.3466907086502
"22536",13.2215178126618,14.159283390804
"22543",15.0945602780005,16.1804998663459
"8426",12.3509043427798,13.9297030660605
"31249",11.7231428632052,12.6970655010715
"8841",18.9893727368861,20.2461884635676
"9751",11.82774637739,13.0786356122243
"27831",18.1602764521968,19.4185727606824
"35018",4726.85185185185,4726.85185185185
"34799",244.315789473684,244.315789473684
"32257",16.7272899050498,17.8326798620624
"30332",20.3324428613832,20.8447036068901
"30619",14.8368794326241,16.0851063829787
"19795",10.6412342025224,11.8986921208554
"22051",10.9576688214968,12.0528107831285
"27942",15.9821106377542,16.6146832155661
"25002",11.9186051656729,12.7752438499891
"27093",12.2241310955465,13.2213628428147
"32266",10.9727521786222,12.0509135701088
"14936",15.3517351878911,16.4749030535794
"18489",10.7781580181082,12.0339048071262
"26568",18.9764068599171,19.8874661911576
"14311",11.3681113913223,12.4321603584385
"32304",28.9756545705099,29.2512632062471
"7506",19.1987171145631,20.4251304935922
"22658",11.8333671032773,12.912742883221
"9812",36.3432409050251,37.3256888132909
"5682",15.3886218268109,16.5631635031104
"28380",8.6875186585615,9.87796954183353
"26973",20.5026767081027,21.4554033209328
"10922",12.7442983969633,13.64620259121
"33914",41.8371911918214,42.1172104120756
"8251",12.1119424579389,12.8973585217643
"8822",17.7958964159597,19.048331777408
"31372",31.9481976240249,37.0876459491154
"33104",25.121333475196,26.377777889701
"29472",15.3775354065279,16.0402213555149
"33535",11.1366807274193,12.3955052413244
"18664",14.5460873732265,14.9400566520694
"34939",117.928806257794,118.651513433851
"25332",10.3180859722997,11.5704333224378
"31217",16.4100274090727,16.4100274090727
"91005",16.198781676721,17.4765768323692
"34885",20.1431091942756,20.82924916683
"27197",9.065417788958,10.1530630127827
"19600",34.8414521385134,36.0977486085518
"15696",13.4187981831082,14.6693221288137
"34676",70.0076003550261,71.2585221166217
"10361",12.7244639992797,13.4660629624628
"29087",29.9062647515004,30.4889068716704
"29849",11.3386836923444,12.3649979115699
"34525",14.5871576464139,15.1440100060757
"17230",14.126617791133,14.7613838613998
"34947",93.5018819686102,94.3114835594063
"34106",11.435409820242,12.7016613742333
"29349",15.1152860802733,15.7234169189763
"17622",13.1999997951901,14.4585738641028
"9831",23.1434375685236,24.2572184019797
"4061",12.9994253877184,14.25306562536
"29561",61.5359261700725,62.7883981542518
"13080",28.9135000681988,30.1653093394368
"2773",10.5554541655774,11.5428304355865
"23032",15.9377114068297,17.1016307476396
"20093",12.9262703026746,13.8005108062371
"34388",22.3470857248553,23.5971258325894
"6058",29.6735874777706,31.465457228959
"1078",9.06204072123475,10.3125207843223
"8583",13.5815874850154,14.8268430612699
"15062",14.0375633435859,15.3042513238304
"34427",19.927403255171,21.1815631975237
"9296",13.2159543984003,14.4734787914011
"30196",11.5920412278972,12.8447399032416
"34930",57.3455229513893,58.2681316574606
"11569",11.664809539126,12.7383058401875
"1932",9.88794357294068,10.9945196404252
"34566",16.1935262919185,17.1561594638874
"34664",76.0237412364564,76.6610898661568
"23124",7.79560595228493,9.05660460752908
"34473",16.6623727940229,17.5576452402422
"33468",9.85522072946286,11.107232945684
"33684",NA,NA
"34782",425.482829081801,425.482829081801
"15699",12.4703434643159,13.722135832881
"15426",8.52555297683891,9.78919671978533
"10790",11.2549319994854,11.9442021638834
"23091",9.63681681477415,10.5356648317211
"18545",10.5911416942271,11.7934350829775
"31751",13.635156985303,14.2223938348175
"19590",11.4201760165137,12.220976178588
"8276",25.6862137890262,26.3168266659159
"27711",24.7095521840324,26.1448424386993
"10173",17.036866359447,18.0092165898618
"9465",17.8444858895317,19.0982327762005
"11892",16.0262770122215,17.2800823026871
"903",18.0861835480191,19.3422653561702
"622",18.8801801670446,19.7275217255268
"14531",12.5237126861311,13.7751690714274
"34302",13.008955072427,14.0448345552483
"3831",17.0864995733721,18.3470240497957
"4415",10.5183540403106,11.777488129493
"28701",16.0782299288363,16.0782299288363
"6423",13.2038690005872,14.4790703122811
"14341",9.56288008712846,10.6121405411328
"9266",11.0544400327472,12.170823091497
"3735",10.2386038201585,11.1431276058074
"15082",12.4304112787683,13.1727776463216
"29320",8.51027742633442,9.57606762381502
"15225",10.9409804437429,12.0196439533456
"15178",11.4110337919202,12.3701232962841
"3706",12.7359810236844,13.5976046177532
"5310",9.29373083337943,10.3868903362262
"27267",13.8406470979417,15.0077231022761
"29031",20.8232172803044,21.1467223988186
"28537",18.1052488194697,18.6864329822012
"29738",10.2139976004455,10.8803193567217
"6782",20.2195608782435,20.2195608782435
"26213",11.8311012765902,12.7918015923183
"20726",11.5972969392668,12.858116775067
"20557",10.7699648729306,12.0215376190078
"27501",11.1853122304997,11.896785567574
"22968",9.73360032428258,10.5609563518466
"26248",6.33689499165132,7.59228120425072
"15836",53.0625913297613,53.1539210910862
"21614",10.3964616471994,11.3655739257791
"19594",13.845292544662,15.0971051530786
"19838",17.7620747069146,19.0215493389065
"19234",11.6605086586611,12.9182123476308
"17906",29.3249992880763,30.5825851875426
"20156",10.7138963497428,11.7419474585694
"34955",14.214455292649,15.3879736468007
"20537",13.6157234724176,14.8662112535265
"21919",14.316006444276,15.3545141521355
"10973",14.1317859598892,15.3818996718795
"4624",12.0019516429864,13.2522433287588
"18609",8.97487773721012,10.1002526234879
"34232",26.8893703379814,28.1412995386536
"26498",12.8825196062948,14.1602413872628
"10892",8.84489647657101,9.57743068168059
"20311",12.1060981519018,12.9673911828578
"34606",11.9511351849718,12.3775498444163
