"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,14,124705,103911,1310
"2",15448,6,20559,14355,193
"3",16522,146,592266,379498,4786
"4",22039,24,101053,69934,696
"5",16419,42,107209,66618,817
"6",30367,37,230276,153885,970
"7",4788,7,19490,12986,163
"8",31826,73,222908,128079,1242
"9",57298,41,122612,110923,1201
"10",32487,16,48592,28215,304
"11",58485,36,159694,129380,1622
"12",57657,42,245072,229108,2889
"13",35456,40,239713,169532,1777
"14",58358,14,45075,37454,477
"15",58773,15,25160,6479,9
"16",11706,17,50925,39919,354
"17",27552,119,617401,461735,4209
"18",58321,44,309527,200354,1910
"19",34393,11,116107,89942,1121
"20",57611,5,57542,38530,482
"21",1149,17,113825,90502,1146
"22",1673,604,635086,582976,9414
"23",58548,17,55655,38451,354
"24",6646,50,112021,70710,888
"25",3564,90,334176,242273,1844
"26",26977,58,123702,70298,882
"27",35517,102,419407,381845,9782
"28",57157,17,85884,77054,967
"29",57633,104,252972,249101,3149
"30",9087,1196,4484569,3571809,45169
"31",57626,32,145832,126442,1319
"32",22543,5,25087,13844,147
"33",8426,147,580124,370990,3883
"34",57869,21,99933,70716,707
"35",35408,136,632848,484217,11070
"36",31249,38,123955,89257,557
"37",9751,54,404780,359614,4500
"38",91005,57,176595,128817,1634
"39",27831,57,240469,115406,1454
"40",35029,39,179651,121016,1525
"41",32257,133,240109,123262,991
"42",30332,15,34020,26316,86
"43",30619,17,88241,53822,662
"44",19795,68,266536,221653,2774
"45",26549,19,89376,55185,542
"46",27942,159,1183468,777946,9737
"47",32266,88,1448743,886132,11192
"48",19600,270,403571,277183,3627
"49",4061,18,59923,44009,329
"50",58562,29,86821,76564,905
"51",58727,14,61865,52827,529
"52",16476,11,37462,29871,377
"53",35189,322,739889,553393,6932
"54",14936,31,123617,96555,1210
"55",18489,146,480007,448255,5609
"56",26568,42,204347,128951,1619
"57",14311,13,82251,68614,792
"58",32304,6,23196,12151,140
"59",7506,244,946213,643323,8064
"60",58697,9,38915,30485,383
"61",22658,66,293403,239263,3075
"62",9812,8,34387,24305,123
"63",57962,19,59140,41435,66
"64",28380,149,527860,277517,2823
"65",8251,26,101133,79536,892
"66",8822,10,29007,21357,267
"67",31372,42,85970,53088,360
"68",18664,6,31163,10596,132
"69",33535,309,2884330,841361,13561
"70",57072,74,467328,371667,4648
"71",29864,230,941492,619486,7839
"72",18152,38,46822,33825,420
"73",10375,27,115274,110923,1246
"74",57103,55,430703,365729,9725
"75",31217,89,293233,220892,1585
"76",28225,253,1621664,1388138,17453
"77",34885,90,179160,120614,962
"78",27197,147,1211431,865588,10912
"79",57478,35,151220,97577,1220
"80",35267,36,1152005,565465,1808
"81",3304,52,165380,123459,1501
"82",35224,22,79402,64376,810
"83",35314,9,85483,30927,233
"84",13947,34,145529,92843,1170
"85",57845,60,296140,236870,2686
"86",29849,68,186803,148988,1250
"87",17230,100,530704,411244,4594
"88",34106,45,222898,165406,2085
"89",9831,60,202433,118894,1474
"90",17622,52,173587,129812,1642
"91",3931,386,760912,649258,10582
"92",13080,40,136675,77448,969
"93",2773,263,954643,736003,9321
"94",20093,52,136885,100396,558
"95",57759,9,33358,26622,354
"96",6058,94,403208,253033,3157
"97",35078,40,159171,108406,1369
"98",58629,62,255638,213010,1728
"99",35265,19,116054,67538,845
"100",34987,40,191489,170155,2102
"101",8583,45,119252,85470,1074
"102",15062,20,60235,30489,383
"103",10973,170,705115,663950,8253
"104",11569,184,494416,366012,2247
"105",12511,45,137675,95507,1197
"106",197,70,268087,181123,2032
"107",34566,40,116624,101139,1270
"108",34930,20,74149,57487,728
"109",57733,29,174436,138046,1728
"110",15657,32,119999,80581,867
"111",34664,109,643011,406700,5085
"112",57512,150,964373,758992,27537
"113",7237,336,1434946,896507,9859
"114",57424,16,54960,40642,522
"115",35173,21,147877,100778,1272
"116",1946,39,109846,83390,1045
"117",15083,8,14687,9645,126
"118",91,52,156686,117785,1130
"119",55130,34,151702,121336,1533
"120",4051,6,23153,13115,148
"121",34782,60,1155797,673302,4319
"122",57803,616,42460256,30861197,390859
"123",58424,47,271760,200937,1985
"124",15699,28,83397,70567,887
"125",15426,9,17975,14721,93
"126",23091,509,2786377,2531247,28602
"127",18545,348,1001621,777702,9782
"128",35377,16,208179,143384,1814
"129",58400,34,174140,122948,1546
"130",19590,58,141433,102778,1238
"131",8276,14,46907,28274,262
"132",27711,50,186827,125799,947
"133",10173,9,42859,32249,253
"134",9465,37,175800,142713,1794
"135",622,519,4684310,2584237,32592
"136",903,206,698036,490000,6157
"137",14531,634,2602332,2261022,28241
"138",34302,47,104527,59894,763
"139",28701,40,237293,137653,1035
"140",6423,239,2741965,2572835,32695
"141",3735,1051,4875326,3501022,95294
"142",24107,1645,11600419,11016683,370632
"143",27267,37,204670,173759,1462
"144",29031,164,487133,342193,3782
"145",20726,22,141957,118055,1482
"146",8893,13,32499,23900,301
"147",19838,56,215929,153819,1952
"148",20311,77,444806,395187,20023
"149",34422,48,482657,420931,4418
"150",32328,301,625490,380780,2169
"151",1117,71,252082,214191,2088
"152",19234,46,112403,81514,943
"153",17906,46,127887,83565,927
"154",35568,58,211142,164120,2054
"155",31980,33,99081,71111,889
"156",6183,34,124838,91571,976
"157",20537,54,171315,93430,510
"158",34955,251,690671,536598,6725
"159",22559,225,510452,392682,4918
"160",4624,33,116744,91000,1149
"161",34232,22,49350,42438,544
"162",18609,177,714329,547437,6126
"163",15423,29,104446,91736,1016
"164",34606,43,119412,96784,810
"165",20843,212,644459,531428,6788
"166",20473,297,1088375,936043,11719
"167",23433,240,747070,500647,5591
"168",5216,168,624788,550072,6894
"169",5800,36,229431,191829,2410
"170",20241,294,860736,635005,7962
"171",21567,14,25017,14653,172
"172",23886,93,331476,231497,1863
"173",15836,22,75223,38870,439
"174",34788,81,843142,451567,5066
"175",27006,388,2769529,2302251,28827
"176",21663,52,218954,164650,2062
"177",35033,32,152182,142594,1497
"178",35412,61,607700,466378,5872
"179",57444,29,134773,108519,1370
"180",57359,29,161803,128917,898
"181",58514,8,74070,55796,633
"182",31581,4,28661,22331,34
"183",34090,54,381300,305770,3831
"184",57709,49,205514,181511,2275
"185",428,32,72380,50732,638
"186",10647,9,32398,22041,279
"187",2328,16,43663,25975,309
"188",35328,90,29736749,32724979,427057
"189",27471,64,23270305,34341913,437140
"190",29140,126,375561,267829,2728
"191",30182,83,283670,201959,513
"192",34656,128,722914,619645,6782
"193",57113,100,453782,333954,4205
"194",313,112,451809,347133,3294
"195",35223,11,110271,90991,1141
"196",57025,19,60703,50060,626
"197",4190,232,670323,332082,4144
"198",8843,52,198933,151443,1743
"199",32569,8,91546,25994,157
"200",1439,19,106707,94776,1130
"201",57695,9,69160,48336,327
"202",30950,3,6349,2943,37
"203",16730,124,382141,284145,3628
"204",34334,21,97530,80184,862
"205",58309,93,395999,344347,3211
"206",24472,72,181253,109428,1220
"207",25621,67,210316,129663,1548
"208",19300,393,1673403,1315081,16559
"209",18806,26,81098,64344,3118
"210",33993,46,280141,239086,2997
"211",22373,112,410069,321032,3777
"212",19220,643,1811213,1300422,16403
"213",26398,35,181359,154171,1880
"214",33812,27,243656,223636,2231
"215",6837,255,810728,595020,7447
"216",24481,40,158257,116619,1412
"217",26499,68,300003,276362,3277
"218",57169,34,131908,103635,1296
"219",58469,21,93346,87142,1090
"220",57198,15,91316,75371,953
"221",58584,21,65699,47937,372
"222",58614,26,175687,137620,1727
"223",24655,87,552663,424792,5341
"224",58281,16,130348,119346,1460
"225",29899,11,37297,25910,35
"226",9104,7,42455,27829,314
"227",32526,1203,5120778,3777336,39516
"228",29597,51,217814,133418,1666
"229",29878,36,185518,123123,1540
"230",33121,108,404182,352404,4343
"231",57636,29,179778,144045,1808
"232",26944,28,112468,79695,836
"233",16701,553,2267234,1312256,16411
"234",20292,7,11028,6639,74
"235",15432,7,23379,12210,131
"236",9967,66,201411,136702,1201
"237",228,77,469310,446926,5095
"238",57144,56,306422,189673,1807
"239",15444,75,291117,170029,2128
"240",10204,8,21074,12542,157
"241",22263,7,22619,13998,141
"242",22554,26,117295,81648,916
"243",13150,256,874843,734510,9195
"244",13099,53,126406,71760,902
"245",10120,7,29798,23723,302
"246",57432,38,294825,239449,2997
"247",58076,9,27227,18942,179
"248",57689,27,153443,105313,1326
"249",30713,3,7175,1862,0
"250",57794,14,112124,93677,1096
