"","numemp","asset","RWAJT","RBCT2"
"57899",8,42138,39564,388
"15448",7,23583,19498,244
"22039",18,54155,42688,399
"16419",47,94004,60662,665
"30367",38,221072,145336,890
"4788",6,17712,10101,127
"31826",63,152656,99785,1128
"57298",34,118045,81664,778
"33025",133,480280,419986,5269
"57657",31,170742,112314,1404
"35048",41,251328,174883,1893
"35456",33,174567,112615,1198
"11706",17,46900,33655,247
"27552",89,369005,291292,2534
"34393",11,129551,88067,1018
"57611",5,46163,32244,354
"1149",13,77138,62831,597
"1673",467,252684,244506,5158
"11338",78,333786,256621,2991
"6646",61,103356,84884,268
"26744",84,380131,279833,2902
"3564",85,260749,181419,1409
"26977",67,92763,51188,588
"35517",71,277449,262563,7987
"57157",15,63039,56395,577
"57633",113,255758,191245,2395
"35086",42,139940,87492,879
"9087",1074,3374955,2783446,35778
"57626",33,69725,59354,561
"22543",5,22036,12847,101
"8426",139,410687,259201,3751
"57869",12,30785,18755,195
"35408",108,274239,241007,1994
"31249",42,117731,84073,739
"9751",55,346704,335084,3423
"91005",72,201609,136635,1735
"27831",64,258480,130884,1636
"35018",188,35663,8978,0
"27207",18,101129,77130,966
"32257",136,223925,120451,1051
"30332",16,30233,16039,85
"30619",15,79202,45684,573
"19795",59,224373,188270,2357
"27942",115,855810,521221,1443
"32266",59,1261174,802997,2685
"19600",237,176548,126850,1597
"4061",9,35219,28560,358
"35189",268,592154,421163,5268
"14936",25,104003,86524,948
"30400",49,179548,137325,1147
"18489",165,396152,327345,4110
"26568",42,184326,121056,1113
"14311",12,61491,54263,614
"32304",6,23916,12399,140
"7506",223,950024,568675,4717
"22658",73,274950,248533,3357
"9812",7,26660,17775,170
"28380",149,428274,243256,2726
"8251",26,77262,57877,375
"8822",11,26930,17528,128
"31372",36,69657,40845,275
"33535",805,1552768,1673361,34080
"18664",2,110446,26406,222
"29864",297,1050378,741419,7321
"57072",68,322118,300818,3047
"18152",46,46560,36006,395
"10375",26,102100,80740,1011
"57103",37,264782,177858,1403
