"","numemp","asset","RBCT2"
"26979",11,13964,99
"26606",21,45788,281
"16419",33,46278,360.27
"4788",7,13970,58.56
"23406",146,729522,4484.95
"33619",16,35478,296
"27552",27,53601,232
"1673",39,28554,273.9
"6646",27,62150,223
"26977",20,28305,167
"17316",43,159890,831
"21170",34,41709,266.38
"22419",158,270261,1286
"28738",61,148911,975
"20662",9,19105,112
"19593",12,22733,173.88
"9087",711,1403597,17717.47
"14181",12,40136,278.74
"22536",30,45840,267
"22543",6,14153,80
"27136",75,124052,1141.82
"21442",34,116038,1151.99
"8841",21,56561,481.07
"27831",68,147244,215
"32257",112,69694,714
"30332",10,33081,131.19
"30619",13,39657,239
"19795",32,78086,750.19
"22051",123,338674,1881
"27942",53,203771,1317
"33504",34,48241,0
"25002",30,81971,270
"32266",42,238945,938
"26668",15,24758,194.81
"21109",43,56001,426.62
"14936",17,35415,261.77
"23064",7,9955,59.21
"2730",7,13554,92.58
"18489",79,138945,1280.2
"26568",32,82661,604.55
"14311",9,28930,230
"32304",6,20372,10
"7506",163,460456,2767.09
"22658",39,77593,812.94
"9812",6,15773,84
"26202",19,22752,130.7
"5682",20,43011,402
"9531",11,24413,174
"28380",51,83345,661
"26973",24,21843,194.9
"10922",9,11363,81
"8251",14,35325,226.47
"8822",10,19821,168
"13435",76,121072,860.54
"33104",127,364067,572
"31372",26,34439,200
"29472",28,67426,129
"33549",5,4885,0
"90309",43,99640,904.78
"28923",185,650900,3751
"25332",67,389151,3178.88
"13693",66,160065,1213.72
"91005",14,154105,1446.53
"27318",25,44419,419.74
"19600",38,57018,285.94
"15696",32,42266,340.96
"19158",80,224595,1639
"10361",66,76253,574.5
"29087",30,129781,506
"29849",60,103136,467
"17230",102,245250,1502
"32106",874,2758579,12437
"230",10,17227,148.72
"29349",18,48502,144
"16321",9,18883,153.2
"17622",22,44115,342.1
"9831",43,111655,642
"892",136,324266,2293.23
"4061",8,12723,89.33
"29561",12,44247,161
"13080",39,111115,626.24
"10326",100,183766,910.39
"23032",26,31349,212.09
"20153",33,73203,605
"32575",52,31014,164
"6058",75,200265,868
"26984",44,103342,698.99
"1078",31,54043,370
"11010",12,35916,293.24
"8583",26,45160,165
"15062",23,38455,300
"23124",17,45804,986.9
"33468",22,35342,276
"5373",24,46372,198
"163",160,262145,1815.96
"3640",22,48276,252.5
"33684",NA,218850,0
"32474",222,255632,1776
"10623",12,21047,124
"15699",23,37922,319.06
"24473",10,17194,145.2
"23091",34,56580,501.46
"18545",80,136090,1027.22
"27532",25,58178,511
"22306",17,32971,287.32
"20937",21,40512,313
"33210",11,14288,121
"21687",18,36583,349.35
"23403",30,69940,425
"19590",29,52914,362.59
"8276",12,25766,85
"14498",8,17229,116
"27711",31,82003,377
"10173",12,27161,159
"33413",269,419240,0
"9465",32,143093,612
"19950",14,19831,122.5
"11892",51,89399,680.46
"903",167,494433,2181
"622",461,1934405,6421.04
"14531",385,749977,6615.57
"33197",26,79040,625
"28701",31,122079,0
"6423",176,937408,7015.19
"14341",81,148056,1171
"9266",96,217265,1619
"3735",354,932557,8340
"3655",56,242966,1484.14
"27267",29,73285,418
"29031",94,268398,659
"31335",467,1093518,8687
"20289",81,135687,1118.68
"21824",34,55629,374.64
"29289",96,278335,713
"6782",45,74492,361.71
"26213",24,51621,509.2
"20726",27,51298,456.53
"21946",21,35901,233.78
"19345",66,86714,628.87
"22968",90,157344,895.64
"21614",29,41329,179
"19594",41,46662,382.53
"19838",31,80830,732.05
"20311",80,133225,1141.2
"19234",22,31282,233
"17906",46,52146,356.36
"19281",76,76050,433.95
"26904",15,34959,297.73
"20156",47,88230,542
"20537",79,143583,1248.49
"10570",66,141332,1264.44
"21919",66,74374,621.78
"1393",60,118030,1153
"4624",19,45073,224
"27501",30,72366,475
"20663",23,58601,461.6
"22440",67,69505,604
"22989",91,217441,650
"18609",90,145194,821
"26498",136,460088,3614.99
"20639",132,213041,1314
"10892",10,18146,81
"21260",46,71586,568.84
"16749",34,79849,397.73
"19862",50,120624,528
"24678",17,24881,181.42
"20473",91,160456,1458.05
"21567",19,20055,54
"23886",77,111042,654.5
"20504",42,76583,708.81
"27006",21,65916,586
"33709",6,17462,95
"32723",14,41625,314
"21663",74,75292,490
"21224",58,108648,535
"31382",110,242048,1776
"15001",168,456213,2326
"31581",6,20254,0
"30809",29,69816,313
"428",33,55407,210.44
"10647",9,21727,160.78
"427",29,28738,158.51
"2328",17,29944,117
"26365",1497,10367527,87449.48
"27471",6,8651,26
"32597",362,1479141,8076
"29242",14,51941,90
"28574",565,1073019,7852
"31346",5,20157,50
"29140",73,154723,1100
"30182",72,111978,405
"32328",21,90600,781
"27930",269,709023,3481
"22461",34,46030,359
"18362",49,61817,421
"25711",24,50458,343.77
"26306",292,108238,1373.87
"26526",60,59928,668.73
"26527",0,3374,0
"23348",20,40139,282
"12732",28,31894,240.45
"29030",22,50128,368
"25046",28,33439,311.85
"22675",157,347662,3900.49
"25192",138,173461,1898.21
"26764",7,41353,267.72
"32300",49,22371,155
"30950",3,6760,10
"16730",56,99806,564
"26398",17,29404,267.57
"25621",22,40053,326.69
"32972",40,81734,278
"10882",49,121002,662
"24472",40,63013,432
"22373",58,147211,895.47
"19300",48,122377,956.32
"20241",91,200788,716
"22695",64,110021,797.5
"22962",14,18907,147
"24179",51,60879,164
"18806",21,30943,155
"33812",8,7775,14
"11598",28,35549,267
"6837",113,249231,1685.87
"5243",442,748967,5201.27
"894",601,1385269,10986.41
"3619",1825,4982389,77508.14
"13085",173,324486,1666
"13595",67,94171,791.94
"17871",80,186326,1544.55
"21643",27,29021,225.11
"15449",63,158850,1529.72
"22322",31,36634,235
"24525",27,43294,278.82
"15872",349,565243,3276
"24481",16,24848,200
"19266",29,57246,272
"3696",119,282109,2001
"5184",23,66518,498
"23939",12,28165,205.04
"24334",21,41484,281.31
"27528",32,48762,351.53
"26248",26,35804,283.84
"28268",126,377610,2167
"23001",38,47415,337
"20393",179,232353,4658.11
"24655",47,79761,679.76
"29899",12,40886,0
"29781",29,76544,657
"30617",31,137777,817
"30385",8,33639,72
"31980",11,23990,167
"30195",77,135191,1019
"9104",8,25332,162.07
"29597",20,91327,559.18
"18246",226,1089048,1439
"32633",3048,17308625,101655
"32526",734,2540342,5657
"30473",710,3107119,18296
"29878",29,63780,189
"17784",149,162357,931
"804",797,3911135,25930.68
"8733",40,68923,390
"17540",15,29654,224
"15432",9,18959,128.53
"228",47,141142,1342.88
"1117",22,62740,458.4
"9645",40,34599,164.15
"20292",18,17074,90.52
"14951",42,65906,429
"5617",13,18047,79.67
"19009",3,5737,40.9
"22569",23,34800,329.81
"20006",10,12143,76.68
"16701",229,573389,2032.33
"14542",4,10467,58
"26944",21,41143,343.23
"15444",81,142889,1070.06
"19115",40,57829,410.56
"10204",8,12195,112.78
"22263",7,8416,79.71
"20712",15,23769,202
"22554",22,48318,391
"21131",23,32289,284.04
"13150",169,326122,2765
"13099",43,101902,275
"10120",13,32073,158.61
"4858",200,298097,2214.95
"6770",35,59957,354.86
"32966",20,41597,214
"30713",3,6345,0
"25057",39,66891,532.48
"19355",34,83961,653
"8205",19,28242,184
"5174",17,31768,185
"1804",96,162881,623
"29668",25,56407,110
"29260",286,883649,4100
"1424",82,150688,1275
"23671",56,49544,409.67
"26478",6,21376,126.17
"5417",24,37774,371.03
"28056",31,130286,356
"28949",6,31754,39
"27083",463,1303433,9692.45
"33766",14,31101,164.31
"33431",325,964537,6492.54
"26800",16,56987,287.59
"2782",4776,9169067,77414
"29688",24,105063,410
"15954",139,323049,1964
"33784",44,97201,642.57
"32520",45,248390,1124
"32623",761,2803623,10826
"15354",22,41540,317.98
"22381",15,24432,51
"33467",7,15749,100
"28454",81,197021,1776
"32113",44,174019,965
"32071",1292,8011334,35318
"11681",4,8986,36
"29979",486,1347663,10365
"22959",7,14041,68.11
"9923",48,57317,406.69
"26872",13,20506,196.76
"25244",49,73057,571.13
"10858",11,34092,121
"16782",42,66029,412.29
"18483",6,11209,70.51
"23284",219,820603,5456.65
"16410",18,25443,175
"31832",132,438465,4143
"22015",31,56550,389.93
"17751",83,234044,831
"32018",15,32688,214
"33134",12,40367,382
"11682",18,49105,115
"10989",33,63602,392.29
"28500",144,324513,2571
"30079",6,22584,70
"23339",138,123998,1053
"24109",22,38423,208.57
"9619",21,23211,163.06
"6051",48,103620,599.61
"16068",1041,3865173,26395.49
"17453",7,39159,65
"22288",87,626045,3723.14
"33655",NA,156735,0
"21001",61,82829,687
"26987",25,70970,619.59
"14203",16,22804,118.64
"31813",2,5250,20
"12612",247,523859,3295.49
"28507",17,49202,69
"32569",50,147209,521
"15392",7,11825,99.28
"18775",168,262900,2450.07
"90713",14,20518,133.64
"97",174,396471,2640.6
"32960",11,32499,0
"18277",42,127978,221
"19732",61,119690,786
"18434",16,33528,270
"26822",17,25187,123
"1391",17,34565,209
"1431",10,30702,271.01
"29471",7,57433,290
"4666",166,201754,1926.77
"29743",17,31103,89
"9967",41,94464,224
"1198",23,61492,298
"15085",71,92486,261
"17123",71,306093,540
"28780",61,230070,381
"22671",26,127472,1206.37
"8023",25,82898,767
"32422",4,9188,15
"31217",15,56123,389
"29663",158,323565,1758
"29884",8,57529,0
"17305",31,33631,204
"22552",8,15169,126.34
"1436",3,3523,38.25
"11343",9,21345,141.29
"9049",63,94539,344
"25745",49,126304,1115.53
"33825",13,8435,0
"24497",26,26251,252.74
"33013",10,20512,169.03
"19601",89,249257,3434
"5296",432,925108,20462.03
"11619",156,303769,8576.38
"1515",54,94990,1325
"14319",60,120645,2230.49
"11237",222,464872,4347.5
"1509",77,231983,3644.07
"12340",80,173704,1322.98
"15135",41,81009,602
"5311",200,292250,4692.53
"33792",9,32091,380.92
"33367",44,193350,2240.86
"13073",45,102424,557.93
"29805",784,3798342,9238
"26243",5,64841,757.69
"24064",13,26989,126.69
"29085",44,124318,423
"28225",187,486980,3953.49
"9631",8,33241,89
"90146",48,150970,845
"27293",20,54427,395.29
"9096",5,14820,75
"6952",9,15305,108.95
"27184",17,56312,594.63
"5915",348,798707,6698.85
"24829",11,74847,537.01
"29973",101,233022,946
"30243",24,97882,496
"21641",34,59748,416.46
"32335",42,170924,1113
"26390",45,81627,652.36
"30783",0,58668,20
"1396",8,13636,132
"5748",8,14473,86.95
"284",12,37881,135
"35",98,179530,1541.2
"28288",7,22738,65
"11477",17,54097,267.33
"26336",23,94843,516
"28191",11,67548,263
"5814",18,49954,299
"28242",24,66292,243
"14418",42,146801,1932
"18836",70,129086,1197.54
"23658",27,51404,428.47
"11694",81,95414,800
"11556",32,69466,496.61
"26579",30,51604,276.79
"21645",4,8676,9
"33423",18,22415,200.05
"90030",4,4033,0
"22314",1,2234,0
"8498",70,152055,1216.04
"13191",13,41974,255.72
"26617",7,29092,170
"10171",16,50942,391.37
"28626",103,505312,1881
"28522",41,167146,345
"1814",11,26851,90
"18331",47,75208,547.42
"22616",12,42153,236.95
"29197",98,282704,716
"13272",16,41831,303.17
"16777",10,17347,145.77
"33365",34,66996,450
"5692",10,15321,115.68
"2987",127,232138,933
"26704",19,20344,217.53
"32004",34,57403,310
"10111",8,14561,105.88
"26509",3,4016,26.97
"6959",85,128428,504
"32477",20,27596,209
"32341",81,219179,728
"32404",14,36677,218
"11652",98,230816,1323.56
"27476",548,738421,5879.79
"30654",576,1550491,13907
"19919",601,816799,33361.74
"33690",NA,898548,0
"22519",622,1998178,59309.82
"9828",95,455118,2993
"22464",94,102146,863.4
"33691",NA,471198,0
"22302",48,48677,442.64
"16876",6796,10710032,110338.61
"33654",NA,28321,0
"20828",1231,3864821,24977.92
"12342",14,18748,139.52
"14618",173,305978,2502.95
"26653",9,14017,42
"18408",269,647343,4579
"1047",52,80397,689.28
"1961",46,66203,511.95
"15373",36,55205,357.62
"17090",146,214911,1996.97
"21269",41,91445,550
"27122",18,38716,420.46
"27069",23,103803,916
"24516",64,388928,2195.13
"22559",44,59624,494.48
"11774",5,3624,23
"16697",24,6815,41.28
"33658",NA,224923,0
"33657",NA,226322,0
"33686",NA,1012217,0
"33694",NA,250526,0
"33674",NA,175030,0
"33665",NA,177203,0
"16604",101,194977,1649.01
"4800",1608,4931279,32232.2
"25270",731,1616665,12500.07
"33660",NA,233064,0
"33695",NA,99313,0
"33666",NA,142323,0
"19842",738,2145790,18031.68
"14570",11,22946,185.97
"8098",14,38055,373.32
"5170",38,98421,706
"1420",259,603528,5898.44
"15093",41,65860,405.54
"16601",25,38241,312.52
"8466",314,688046,5161.26
"11782",42,87089,364.5
"866",19,26952,199.47
"19434",61,120881,932
"13290",38,75250,461
"22130",27,38516,296
"155",28,36735,272
"26986",20,30942,182
"15082",30,91599,549
"9108",98,151496,1301.41
"26689",17,63332,480
"18700",40,50520,418
"12226",9,18455,104.15
"24799",34,61727,499
"32971",3477,8606614,49088.57
"25178",95,191064,4698.97
"28163",194,439385,3573.73
"27595",613,1319432,14363.99
"3510",70134,136879000,5736248.75
"17300",2177,4162089,24207.73
"33326",489,814320,1628
"22911",1628,3020295,25838.25
"33404",3734,9864081,22313
"33151",1812,3517394,33651
"20209",117,190444,1685.13
"12773",76,139863,1055.56
"5618",16,47880,238.35
"25712",29,77726,343
"8243",31,59265,581.82
"27519",19,57054,467
"33554",20,22654,136
"8252",16,44458,119
"20360",19,42724,184.27
"19588",68,134681,1079.52
"19877",44,61102,468
"12353",53,101835,929.65
"24354",18,30406,184.34
"14033",11,22471,173
"581",15,13161,92.8
"21882",33,52774,475.65
"33681",NA,42150,0
"6195",21,60772,413
"23123",65,111081,885.4
"16282",9,21864,65
"1465",10,13925,120.91
"18930",31,38967,158
"33589",31,51701,231
"33696",10,18336,100
"18407",35,48560,355.42
"1623",27,40719,121
"8595",9,15455,85
"15817",6,9815,93.13
"287",77,128152,851
"100",149,388215,2347
"32715",37,254976,192
"15267",8,19985,186.45
"10253",17,42088,275.07
"16959",7,12758,27
"8278",8,16388,93
"1756",9,13438,82.09
"9788",28,68085,480
"32722",17,50100,381
"10883",12,44259,100
"23813",41,28099,178.88
"17948",2074,4626193,58208.35
"8561",14,25727,149.45
"27473",13,29574,126
"15103",6,8017,63
"5605",27,40500,115
"15833",8,15102,124.97
"11245",26,64880,307
"9385",21,55007,344.7
"1675",4,11361,81.33
"6137",29,60786,473.69
"15906",14,22818,170
"2733",9,23681,187
"20013",72,132482,696
"16288",22,24044,181
"1018",64,161666,1141.57
"1749",66,117074,836.98
"20239",22,44383,344
"8254",26,41584,311.11
"12549",24,59958,441.24
"9176",43,96633,625.08
"17190",25,44743,277.38
"15068",12,25816,184.81
"871",128,216791,1491
"16754",142,907294,4671.66
"15554",18,27548,54
"20632",32,55188,372.46
"12325",9,27677,212.97
"9406",13,13273,91.26
"105",19,39463,298.92
"19713",10,14079,78.61
"21979",81,107397,1018.26
"23457",15,28483,206.2
"9023",84,129123,783.79
"32920",20,53253,502.17
"13274",14,18467,125.45
"16922",15,29386,221
"27304",24,72337,691.74
