"","numemp","asset","RWAJT","RBCT2"
"57899",12,68749,61488,559
"15448",8,33834,30148,300
"16522",127,470509,265736,3322
"22039",24,94338,72748,537
"16419",51,108535,73891,759
"30367",38,189490,130349,720
"4788",6,17522,10302,129
"31826",65,170676,114009,1090
"57298",35,113767,83336,917
"58485",23,44532,14557,140
"33025",142,591527,503913,6308
"57657",34,203296,168505,2100
"35048",44,304248,199286,2054
"35456",34,192610,132476,1317
"58358",12,18006,15364,192
"11706",16,49734,35073,294
"27552",97,428199,338107,3310
"58321",27,151050,65491,589
"34393",11,126619,88395,1103
"57611",5,52102,39106,424
"1149",20,109886,87564,739
"1673",512,293451,285936,6261
"11338",92,339542,262864,2964
"6646",55,117863,80929,258
"3564",94,333425,185682,1597
"26977",63,103735,63496,605
"35517",77,311672,299013,8417
"57157",19,79085,70884,850
"57633",124,257632,220214,2555
"9087",1155,4017024,3305148,42501
"57626",33,113493,103296,1134
"22543",5,22960,13670,121
"8426",144,448709,304018,3762
"57869",21,66254,55096,526
"35408",119,350655,298821,2172
"31249",40,117194,87064,891
"9751",57,361781,343768,3656
"91005",57,160596,92693,1182
"27831",59,262695,121973,1525
"35018",192,48128,21849,0
"27207",21,86366,64699,830
"32257",138,246388,130802,1032
"30332",13,25695,17431,85
"30619",15,81868,50317,632
"19795",60,239564,201128,2515
"27942",138,1050057,621635,1684
"32266",61,1359761,841813,3861
"19600",242,260613,191853,2409
"4061",22,87944,49205,617
"16476",12,43123,33360,417
"35189",267,687020,551520,6466
"14936",26,111841,88296,762
"18489",151,447343,373103,4676
"26568",41,192241,125698,1374
"14311",12,73661,66492,620
"32304",6,23520,12026,140
"7506",230,986698,599147,5514
"22658",74,360786,300751,3573
"9812",7,29900,21702,152
"28380",146,442411,247439,3083
"8251",25,84433,64418,659
"8822",11,27782,20102,159
"31372",35,73287,45979,279
"18664",2,35868,14618,182
"33535",824,2011368,1977181,40235
"57072",78,342682,319197,3057
"29864",291,1041546,752943,7020
"18152",46,47614,34478,432
"10375",27,111126,103514,1294
"57103",45,293880,223927,1420
"31217",82,243514,192261,1549
"28225",243,1233511,1107939,11134
"34885",25,106741,87718,847
"27197",179,1191455,857280,8700
"57478",28,102757,73306,805
"35267",37,1233683,552670,1078
"3304",39,102027,73216,890
"57840",14,209600,119074,1010
"15696",33,78418,37262,472
"35224",29,89661,68172,647
"35314",9,82432,40450,503
"29087",44,140157,79377,444
"13947",34,120167,81672,983
"57845",55,191253,157603,1685
"27311",31,59742,22780,234
"29849",71,188534,144500,1219
"35029",41,179909,110903,1410
"17230",105,509207,394564,3540
"34106",56,153471,140717,1391
"9831",62,188123,108246,1355
"17622",57,172884,137077,1742
"3931",343,719957,615498,8739
"13080",40,130246,62172,778
"2773",247,928381,728676,9127
"20093",35,153378,96404,297
"57759",9,24821,17253,221
"6058",100,374337,236042,3537
"35078",45,140496,110282,1387
"35265",21,75070,60245,672
"34987",34,154508,116552,736
"57962",16,45257,33593,76
"8583",49,106718,85694,1072
"15062",21,49549,25706,101
"11569",216,477448,345276,2146
"10973",164,588703,586586,7362
"12511",44,126829,87284,1072
"197",71,225240,177149,1660
"23124",148,983956,887143,11091
"34930",18,72460,62528,760
"34566",52,148571,134039,717
"57733",26,125358,95835,1199
"34664",113,579767,445232,4899
"57512",145,755919,662052,16332
"7237",330,1268453,867523,7673
"57424",16,47757,37986,475
"28299",33,190619,126731,570
"35173",34,133663,99818,979
"1946",41,97404,69012,864
"15083",12,20302,12673,160
"91",52,129901,91509,746
"55130",39,159625,123724,871
"4051",7,16699,8124,102
"34782",56,822321,341289,1543
"15699",30,87538,61427,770
"15426",8,14257,11715,91
"58241",35,278197,295398,2391
"10790",47,177378,118806,1505
"23091",514,2234836,1895201,13155
"18545",209,578904,471433,4210
"35377",15,262867,138876,1744
"58400",31,71897,47525,218
"19590",56,138725,101060,1212
"8276",13,44796,23450,244
"27711",48,179282,114719,1759
