"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"57899",15,74764,62582,786,6.61691860279314,7.8728707935189
"22039",23,149272,72349,739,18.1522895962626,19.1737273493759
"16419",43,118611,67514,855,18.0318156234263,19.2982196285215
"30367",37,238842,161125,1843,13.0972847168348,14.2411171450737
"4788",6,27939,17672,4,13.5072430964237,13.5298777727479
"57298",48,196728,137081,1632,13.1907412405804,14.3812782223649
"32487",15,50755,26393,330,17.8645853067101,19.114916834009
"58485",57,329349,242306,3046,13.8663508126088,15.1234389573514
"57657",56,499144,324706,4085,14.0277666566063,15.2858277949899
"35456",46,304070,179166,2258,13.5142828438431,14.7745666030385
"58358",4,23577,16408,217,2.76694295465627,4.08946855192589
"11706",17,65246,47161,442,11.8975424609317,12.8347575327071
"27552",142,840968,627232,7151,11.3902033059538,12.5302918218458
"58321",73,706138,532524,5813,12.0850891227438,13.1766831166295
"34393",11,112577,82791,1041,18.1372371393026,19.3946201881847
"57611",5,53052,34432,433,23.7395446096654,24.9970957249071
"1673",433,652436,454848,6397,23.5089524412551,24.9153563388209
"58548",21,94588,64940,811,14.9199260856175,16.1687711733908
"6646",62,121321,79735,1009,16.6488994795259,17.9143412554085
"3564",92,292661,197490,2237,15.1167147703681,16.2494303509038
"26977",53,136601,72546,910,17.7211700162655,18.9755465497753
"57157",11,49626,37889,291,0.768032938319829,1.53606587663966
"57633",130,359055,314419,3942,14.8292565016745,16.0829975287753
"9087",1180,4539754,3557634,45332,13.7753630643287,15.0495807044794
"57626",41,180163,150829,1888,12.2516226985527,13.5033713675752
"22543",5,28098,13314,132,24.9061138651044,25.8975514496019
"8426",168,808260,440814,6340,13.7774662329236,15.2157145644195
"57869",32,153192,104378,761,12.1146218551802,12.8437026959704
"35408",292,1559666,798675,9604,19.0966287914358,20.2991204181926
"31249",38,141587,98338,1124,12.0431572738921,13.1861538774431
"9751",46,357409,257760,2850,17.7199720670391,18.8256517690875
"29132",167,714131,442418,5547,16.6385635304169,17.8923551935048
"91005",30,177964,123361,1305,28.8365042436426,29.8943750455979
"27831",45,221184,103633,1302,21.53850607432,22.7948626402787
"35029",47,131340,93831,1180,11.1999232662979,12.4575033837431
"32257",112,258561,155980,1951,24.4082574689063,23.53827413771
"30332",21,45918,35639,447,33.202390639468,34.4566345857067
"30619",15,71423,35231,444,17.7003207402572,18.9605744940535
"19795",76,324078,231595,2906,12.9514885899955,14.2062652475226
"11694",91,339146,254066,3196,13.263876315603,14.5218171656184
"26549",25,108915,70139,843,13.5844537275981,14.7863528136985
"32266",75,785176,346262,4373,33.3420935592124,34.5920141395822
"19600",248,294559,125707,1677,46.7515731025321,48.0856276897866
"4061",18,76054,54287,682,11.857350746956,13.1136367822867
"58727",37,184040,136473,1710,12.7299905475808,13.9829856455123
"35189",305,862757,687610,8649,13.2266837306031,14.4845188406219
"58562",26,123048,80753,1014,17.4309313585873,18.6866122620831
"14936",43,153098,126225,1144,9.88789859378095,10.7942166765696
"7506",251,1034908,673982,8552,12.8027157995317,14.0715924164147
"18489",153,570099,466745,5836,14.8333672562106,16.0837288026653
"90140",88,389502,246053,2317,17.6246581021162,18.5663251413313
"14311",16,161982,100185,840,10.3029395618106,11.1413884314019
"32304",6,26070,12331,155,32.1547319763198,33.4117265428595
"58697",13,74410,44313,557,17.4508609211744,18.7078284025004
"9812",8,44652,30865,189,25.7152114045035,26.3275554835574
"28380",156,586241,304046,3276,14.1445702295047,15.2220387704492
"27015",244,646232,502627,3112,11.2295996832641,11.8487466849174
"8251",28,124103,87951,989,12.5206080658549,13.6450978385692
"8822",10,41702,25652,219,13.577888663652,14.4316232652425
"31372",21,60763,38003,478,13.3015814540957,14.5593768912981
"18152",29,55554,36096,421,17.7582003546099,18.9245345744681
"57072",49,270261,213152,2723,5.56645023269779,6.84394235099835
"29864",211,763188,545729,6887,11.4162890372328,12.6782707167843
"10375",29,128953,94857,1190,13.5741168284892,14.8286367901156
"34885",262,334303,253540,3175,12.545554942021,13.797822828745
"57264",24,264766,219373,2754,4.97098549046601,6.22638155105688
"57478",36,174717,83309,1043,13.6083736451044,14.860339219052
"35267",32,980437,226083,2543,59.7594688676283,60.8842770133093
"3304",99,407288,268142,3362,11.9134637617382,13.1672770397774
"35314",9,36647,28795,308,26.6400416739017,27.709671818024
"13947",35,184214,98509,1233,16.7964348435168,18.0480971281812
"57845",91,277577,204620,2582,9.62564754178477,10.887498778223
"29849",66,180682,137423,1720,14.9210830792517,16.1726930717565
"17230",90,548627,327919,4131,23.5713697589954,24.8311320783486
"34106",35,126094,81227,1037,6.14327748162557,7.41994656949044
"9831",58,244581,145575,1674,21.51949167096,22.6694143912073
"17622",44,170124,117928,1483,14.9362322773218,16.1937792551387
"3931",534,1316119,950817,12423,12.4153228223728,13.7060023116962
"13080",33,149390,59456,747,28.5656620021529,29.8220532831001
"20093",47,125651,96335,1056,11.6873410494628,12.7835158561271
"6058",98,405289,235869,2954,14.5233159084068,15.7757060063001
"58629",115,775361,569612,6539,11.0380399289341,12.1860143395855
"15062",20,56133,31545,397,10.8923759708353,12.1508955460453
"11569",181,571933,305703,3867,16.5117777712355,17.7767310101635
"10973",159,606646,502606,6352,12.6490730313605,13.9128860379701
"12511",43,153461,95335,1197,15.5462317092359,16.8018041642629
"197",69,304410,184869,2332,13.5198437812721,14.7812775532945
"34566",42,155266,153402,1829,10.4620539497529,11.6543460971826
"34930",22,88289,49719,626,17.9347935396931,19.1938695468533
"57733",42,184551,134177,1725,9.03060882267453,10.3162240920575
"15657",54,190572,114828,1460,15.31246734246,16.5839342320688
"7237",331,1403943,898021,8631,13.7941094918716,14.7552228734072
"57424",16,59492,42371,530,13.5965636874277,14.8474192254136
"35173",31,160520,99529,1261,15.9481156245918,17.2150830411237
"1946",48,120484,96947,1216,12.4965187164121,13.7508122995039
"91",57,157331,115009,1469,11.8199445260806,13.0972358684972
"55130",34,125340,86285,1086,8.95057078287072,10.2091904734311
"4051",8,45162,20136,253,19.4676201827573,20.7240762812872
"57803",995,94795926,86899620,691661,16.2667673345407,17.0626983178983
"58424",132,880773,715654,8963,14.076215601394,15.3286364639896
"15699",24,82330,57667,728,14.7415332859348,16.0039537343715
"15426",12,28900,22720,242,9.19014084507042,10.2552816901408
"59060",109,777842,289050,3856,58.3525341636395,59.6865594187857
"23091",499,2397156,1675950,21219,15.1811808228169,16.4472687132671
"18545",337,1108002,684295,8734,13.6933632424612,14.9697133546204
"35377",15,271955,142986,1835,24.0478088763935,25.331151301526
"19590",56,154890,102732,1285,13.8077716777635,15.058599073317
"58275",36,215239,164352,1700,25.909632982866,26.9439982476636
"1149",34,165323,139746,1482,11.1001388232937,12.160634293647
"8276",16,61036,33521,394,18.2661615106948,19.4415441066794
"27711",46,210096,133478,807,18.5011762237972,19.1057702392904
"10173",9,48426,29727,240,23.3457799307027,24.1531267870959
"9465",39,236155,149385,1874,22.2960805971148,23.550557284868
"622",448,3727315,2370501,29898,13.3691569841143,14.6304093522846
"903",181,929658,412031,5198,12.1488431695673,13.4103987321342
"14531",652,3614792,3051937,34066,11.6947040518857,12.8109132003708
"34302",38,121703,61623,782,18.5093228177791,19.7783295198221
"28701",54,312454,157541,1957,18.3590303476555,19.6012466595997
"6423",246,2202002,2089870,26562,12.6082962098121,13.8792843574002
"24107",1635,13040763,10541098,132707,13.9074790880419,15.1664276340093
"27267",38,313121,235169,2271,12.613907445284,13.5795959501465
"29031",153,442624,309979,3927,13.1847641291829,14.4516241422806
"20726",20,131335,95343,1206,15.6225417702401,16.8874484755042
"8893",9,28961,18660,239,15.5037513397642,16.7845659163987
"19838",53,262128,148126,1884,30.6792865533397,31.9511767009168
"20311",67,323456,260695,17939,11.2173229252575,18.0985442758779
"34422",49,528476,379449,4462,13.3670137488832,14.5429293528248
"32328",248,429180,196560,2465,23.9153439153439,25.0574888074888
"1117",95,404576,314701,3935,12.5636715485493,13.8140647789489
"19234",46,110479,69001,839,14.5606585411806,15.7765829480732
"17906",45,179284,89033,1110,16.9128300742421,18.1595588152707
"35568",61,245025,181574,2282,12.1895205260665,13.4463083921707
"31980",36,150051,102755,1291,13.0212641720598,14.2776507225926
"6183",34,134129,96204,1204,13.713567003451,14.9650742172883
"20537",45,189956,107482,683,17.7843731973726,18.4198284363893
"34955",187,399280,245744,3125,15.6601992317208,16.931847776548
"22559",273,990471,622155,6254,12.660671376104,13.6658871181619
"4624",28,98948,60798,799,15.4659692753051,16.7801572420145
"18609",159,694586,468238,5858,13.2896091303995,14.5406823025897
"34232",24,60240,40370,515,21.2088184295269,22.4845182065891
"15423",38,127530,88328,1096,13.0298433112943,14.2706729462911
"34606",51,152444,127429,675,10.5666684977517,11.0963752364062
"20843",158,361194,215646,2859,7.82022388544188,9.14600780909453
"20473",465,2020797,1408880,17680,17.5797087047868,18.8346062120266
"5216",187,591125,433975,5535,6.89279336367302,8.16821245463448
"5800",37,267668,221067,2770,11.3879502594236,12.6409640516224
"21567",12,49066,20793,175,20.7762227672774,21.6178521617852
"23886",87,375245,238136,2988,14.7902879027111,16.0450330903349
"20241",239,1142792,685066,8616,13.3400285519935,14.5977175921736
"34788",103,1298878,556216,7002,16.2895350007911,17.5483984639061
"27006",320,2358574,1727695,37231,11.2850937231398,13.4400458414246
"21663",59,234047,187934,2359,15.2963274340992,16.5515553332553
"35033",27,154986,129597,1647,15.9610176161485,17.2318803676011
"35412",61,500594,345408,4354,18.0186909394108,19.2792292014082
"57444",27,153189,115865,1459,17.151857765503,18.4110818625124
"57359",24,170559,135452,1188,9.88468239671618,10.7617458583114
"58514",7,69653,57789,570,12.2843447714963,13.270691654121
"34090",53,255809,189498,2440,11.424394980422,12.7120075145912
"57709",41,187390,151504,1930,10.2894973070018,11.5633910655824
"428",29,66251,44387,555,15.3310654020321,16.581431500214
"10647",9,40911,26085,329,17.8800076672417,19.141268928503
"2328",15,50090,26935,343,18.7414145164284,20.0148505661778
"35328",332,37896870,40402983,906722,16.4579011406163,18.7020968229004
"27471",149,34457989,33042051,413700,17.5950397268015,18.8470806488374
"29140",114,485210,333587,3143,10.8016799215797,11.7438629203176
"30182",164,502636,273031,1825,15.2455215708106,15.9139438378792
"34656",195,887983,744297,9310,16.4039355257377,17.6547802826022
"57113",77,344495,226719,2845,8.64021101010502,9.89506834451458
"313",103,404325,234953,2995,16.5522466195367,17.826969649249
"35223",29,108315,84801,1103,11.7451445148053,13.0458367236235
"57025",20,73091,54864,660,13.5553368328959,14.7583114610674
"4190",275,966992,396700,4969,18.2727501890597,19.5253340055458
"8843",48,231392,156177,1966,15.8717352747204,17.1305633992201
"1439",18,114948,81431,1021,14.8813105574044,16.1351328118284
"57695",8,95674,43855,552,15.0974803329153,16.356173754418
"30950",3,5936,2956,37,28.2814614343708,29.5331529093369
"34334",16,79529,53042,692,6.93412767241054,8.23875419478903
"21272",135,501884,319818,4018,16.1491848488828,17.4055243919979
"58309",176,950377,873409,9619,17.0153959943165,18.1167127886248
"24472",100,311590,190957,2228,14.8855501500338,16.0523049691815
"19300",462,2029920,1458848,18237,13.3788441290662,14.6289400951984
"26398",36,227421,163434,2043,17.6780841195834,18.9281300096675
