"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"15448",7,17204,109,11.4945411379178,12.4057447626691
"23309",61,115628,1096.76,9.11174960053603,10.3705230596472
"16419",34,56645,466.06,13.3443762141932,14.5959922291634
"4788",7,14132,71.3,36.1053041845304,37.368458349573
"23406",190,1037218,7589.55,13.0424805073373,14.2959350404503
"33619",63,173323,1663,10.0776547819189,11.2879631449095
"11706",22,25611,156,14.5505689809487,15.5478839023143
"27552",38,83269,451,12.0131395680556,12.9591716869997
"1673",102,46870,445.65,9.0217555576346,10.3046353803084
"19713",26,36817,327.41,17.9717321699739,19.2231411086747
"6646",30,60252,238,21.7408097891582,22.3536621792825
"26977",28,43224,278,16.0529833515616,17.1790821079921
"28738",79,286829,1784,15.2785472836271,16.3579997136401
"20662",8,21654,125,12.399539039466,13.3349297334511
"19593",15,24426,198.36,14.0165142318129,15.2689087196609
"9087",795,1897056,21800.95,10.9091462953699,12.4428886158681
"22536",31,60489,298,13.2005820729103,14.1392061382234
"22543",6,15797,103,14.285138620245,15.3227756286267
"27789",70,235509,1886.49,13.6413021045294,14.8992666158055
"8426",85,154341,2176,13.1027677078593,15.32797823875
"27136",244,444054,4566.4,10.0298327918126,11.2943687663159
"8841",27,82028,616,11.7061405256674,12.7734854877472
"27831",59,188878,645,12.7607350244499,13.3767573349633
"32257",87,126177,773,14.5218437134313,15.7781822909895
"30332",11,31876,119,22.0941164827552,22.8301746746499
"30619",13,44134,268,13.670071358612,14.9200130590924
"19795",33,104115,1081.16,11.7901454393908,13.0508549283881
"22051",157,484205,1745,12.7947779927185,13.5605776016122
"27942",56,264827,1243,14.9452837692866,15.716529159963
"25002",30,58921,380,13.9155482746856,14.9052372779385
"32266",48,563890,1311,8.66279312161491,9.15968329410516
"21109",53,76967,685,10.2282055491709,11.4777723052226
"14936",17,48874,337.24,18.1311059492715,19.3812662785154
"23064",7,12178,54,24.7071389798456,25.6526992242904
"18489",89,178762,1659.46,9.98862960996066,11.2443668290929
"26568",30,94632,660,19.0142563045932,20.172592021875
"14311",12,41785,306,11.2367102529635,12.1715752169131
"32304",6,20945,10,27.3629242819843,27.467362924282
"7506",159,487537,3211,17.5466998044793,18.7669465519764
"22658",40,110029,927.78,9.34740366894732,10.6033535858157
"9812",6,18179,84,38.7560351676751,39.4894226319879
"26202",16,32377,237.43,12.6446028883434,13.8955229149182
"5682",20,55322,481,11.5881806221728,12.826553179219
"28380",64,117800,947.7,8.50812204918238,9.75899813761089
"26973",26,43098,318.29,11.2451992481691,12.4975556053069
"10922",13,12701,99,14.5460918331581,15.7027690150719
"33914",26,90902,327,40.2024307019898,41.4561208449948
"8251",16,41190,212,13.2431867289329,14.0641094150539
"8822",11,23227,199.89,16.2726633678205,17.5261287553325
"13435",124,144113,1235.65,8.9358578236314,10.1861797259947
"33104",108,307600,649,21.2792710326439,21.7455813682795
"31372",26,35070,59,31.4611199274541,31.7955112219451
"29472",33,93513,328,10.5369314230074,11.1072471831966
"33535",57,149507,1837.09,14.2884697957644,15.5580806773654
