"","numemp","asset","RBCT2"
"15448",9,14993,101
"23309",50,96606,904.63
"16419",32,54163,425.48
"4788",7,14110,67.82
"23406",168,886448,5954.06
"33619",45,119981,1007
"27552",32,73444,433
"1673",73,37539,368.88
"19713",18,23306,154.33
"6646",28,62297,213
"26977",26,36948,248
"21170",38,55029,389
"28738",73,240923,1647
"20662",9,19790,113
"19593",12,24278,195.31
"9087",707,1647818,19331.6
"22536",32,54422,245
"22543",6,14881,94
"27789",65,223326,1809.55
"27136",165,293188,3038.85
"8841",27,75959,579
"27831",60,176402,474
"32257",86,102919,663
"30332",10,32270,170
"30619",14,43541,269
"19795",36,93922,935.14
"22051",135,442015,1417
"27942",53,236139,1263
"25002",30,61007,333
"32266",48,481713,918
"26668",13,21448,157.15
"21109",46,64476,552.18
"14936",16,48253,305.75
"23064",7,11399,62
"18489",86,158794,1519.81
"26568",30,90411,649
"14311",9,34974,285
"32304",6,20328,10
"7506",176,455554,3163.63
"22658",37,78842,838.95
"9812",6,17240,84
"26202",18,27692,157.13
"5682",20,50534,451.55
"9531",10,25869,186.71
"28380",58,104931,789
"26973",31,40014,292.75
"10922",9,12285,95.52
"33914",15,60519,48
"8251",15,36640,217
"8822",12,21141,155
"13435",112,134437,1031.87
"33104",115,332561,605
"31372",25,35665,109
"29472",30,85304,203
"33535",29,77607,1104
"33979",0,552818,3300
"28923",247,968325,5270
"25332",60,270904,2213
"13693",57,198209,1693.72
"91005",14,233152,2256.46
"19600",35,62715,306.75
"15696",34,43049,336
"19158",102,355978,3141.09
"10361",70,90003,697.92
"29087",31,138047,567
"29849",55,101773,559
"32106",913,2956874,15980
"17230",108,303717,1938
"230",15,26700,252.11
"29349",25,57710,235
"16321",8,16483,114
"17622",30,51406,414.33
"9831",57,124280,875.12
"4061",8,12967,90.88
"29561",12,41531,137
"13080",49,127494,678.34
"10326",92,166764,715.62
"23032",23,31679,198.14
"6058",73,214906,1060
"26984",56,121765,1045
"1078",85,240644,2025.37
"8583",29,45529,234.37
"15062",23,39423,292.52
"23124",18,48350,960.1
"30196",68,179414,977
"33468",27,51456,410.67
"163",246,443725,3427.37
"3640",23,49646,284
"33684",NA,412417,0
"32474",183,305497,2246
"10623",12,19560,113
"15699",23,45827,368.18
"15426",8,11515,111.6
"24473",14,22444,170
"23091",45,78245,546
"18545",138,222275,1806
"27532",30,69069,561
"22306",19,41871,274
"20937",24,52480,359
"33210",18,30737,167
"21687",16,42491,325
"31751",7,23716,83
"23403",31,86064,528
"19590",29,57711,412
"8276",12,28222,97
"14498",8,18521,123
"27711",32,85767,379
