"","numemp","asset","RWAJT","RBCT2"
"327",28,32461,18117.83,227.53
"11005",12,16431,8031.46,101.86
"11253",37,90352,39904.99,502.09
"18637",37,68988,32789.6,325
"8943",17,45349,13616.6,172.4
"20263",163,241091,140822.16,1763.06
"46",45,55975,39425.5,403
"9357",116,182116,87086.2,902
"4997",108,171278,101033.4,1233
"8866",132,247540,180198.65,2257.95
"10309",105,208287,104086,1117
"1125",14,40198,28508.3,228
"8189",7,11087,7807.83,97.63
"8540",24,32761,23348.27,291.87
"17180",69,170220,97568.03,1225.63
"11870",5609,12358744,10147873.11,301335.51
"6493",66,196060,94759.25,1194.25
"18561",20,14928,8685.2,106
"31395",85,222504,87652,579
"30120",7,22574,11164,58
"91363",17,1529562,818106.8,1055
"27374",9,348891,312684.5,1736
"33704",73,88998,56520.72,707.92
"90240",10,27468,15103.09,189.79
"17960",46,182058,65362.28,822.68
"32770",88,139531,97898.3,736
"24766",29,45886,22718.6,266
"16539",115,239607,55465.32,694.82
"18531",56,124885,50208.27,628.57
"26512",16,39691,20768.79,259.79
"26258",71,159800,113883.33,1423.93
"27510",25,51391,30208.85,377.95
"33423",20,22429,15478.95,195.35
"22965",23,44028,25553.82,319.92
"25172",46,95745,53724.8,1463
"32720",44,64175,41510.2,501
"31390",9,9797,5985,74
"30083",26,80315,43289,541
"27231",39,88713,43893.2,450
"18685",56,76854,56042.4,490
"22797",275,957213,654019.19,8236.09
"12099",123,234548,120194.4,859
"27525",13,45609,31255.01,391.51
"23530",23,33936,19447.1,245.4
"26937",122,191363,131567,1345
"25869",22,40573,22155.43,277.23
"33656",NA,24411,NA,0
"21592",32,47165,29313.3,367.3
"912",96,120951,69281.8,868.8
"30746",18,220310,83814,555
"28256",1772,6984602,3846599,13731
"29388",98,642857,301266,3777
"20280",139,222999,135177.9,1590
"24311",39,65908,46062.69,576.89
"31101",160,373092,257672,2687
"27260",23,60284,41816.5,456
"15292",36,67353,44611.61,560.51
"30099",23,101513,45958.69,575.79
"1945",9,17755,12636.8,158
"5067",285,325303,234355.9,2669
"5069",61,83686,55188.4,607
"15858",48,88168,57964.9,677
"14254",35,59224,39558,451
"5055",100,115088,94197.66,1177.86
"5059",38,43751,27869.31,348.61
"32293",12,39091,18923,215
"16411",72,216750,185021.8,1948
"27849",12,40878,22414,203
"22488",5184,8819010,7316816.68,105180.68
"15183",19,29213,21640.49,272.99
"11459",10,18962,12068.03,150.93
"17358",42,84944,49718.77,621.97
"28671",507,1610044,775774,8450
"17075",369,705565,529125.1,5544
"19397",23,96495,51900.1,607
"31926",87,179299,119894,1554
"9889",72,169386,124449.68,1569.08
"22742",14,18880,12110.5,141
"21449",92,161114,83138.8,1039.9
"22101",43,62380,44461.57,556.67
"8778",561,1124787,637249.5,6578
"33861",4,3548,992,0
"17657",25,49610,21646.07,282.47
"30943",21,49602,22696,184
"23447",31,47400,26714.9,297
"31050",13,31590,14616,45
"28919",100,166403,63465,376
"16002",236,521416,294629,3696
"28017",33,91312,39040,269
"27068",26,132596,112617.5,1135
"21652",100,231839,149676.9,1877.9
"30133",14,51820,23141,180
"18396",509,810146,554510.67,7095.37
"9896",475,1057250,781938.1,9045
