"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,16,76660,63105,794
"2",22039,24,153714,72209,734
"3",16419,43,119343,68337,856
"4",30367,39,233963,151782,1235
"5",57298,55,198938,150129,1440
"6",3881,101,304095,218747,2752
"7",32487,13,51372,25815,323
"8",58485,58,387064,262814,3304
"9",57657,63,538139,413290,5195
"10",35456,46,335851,196710,2472
"11",11706,17,70634,51381,390
"12",27552,151,742325,464041,5816
"13",58321,84,760001,631505,6725
"14",34393,11,102001,68045,851
"15",57611,5,41829,30792,382
"16",1673,409,701541,520123,7037
"17",58548,21,102788,76041,953
"18",6646,55,118529,82558,1035
"19",3564,91,300215,198725,2170
"20",26977,53,124060,74827,937
"21",57633,158,418966,331400,4156
"22",9087,1103,4711247,3772293,48077
"23",57626,45,188545,158659,1984
"24",22543,5,27821,12773,112
"25",8426,168,853746,478015,6447
"26",57869,35,155629,118215,892
"27",35408,296,1839183,1113554,9648
"28",31249,37,142789,100876,1124
"29",9751,44,358425,254606,1660
"30",29132,203,839434,533355,6575
"31",91005,29,174371,116278,1241
"32",27831,43,220753,100591,1259
"33",35029,43,135895,96770,1217
"34",32257,114,247865,129599,1622
"35",30332,20,55861,42244,528
"36",30619,14,67842,35065,440
"37",19795,75,337529,239351,3002
"38",11694,94,323437,250250,3151
"39",26549,25,119102,76693,790
"40",19600,303,299517,131664,1672
"41",4061,17,81564,61350,771
"42",58727,43,205852,169262,2120
"43",35189,210,846686,769771,9673
"44",58562,26,124181,84652,1059
"45",14936,43,148146,128045,1256
"46",7506,256,1032567,695195,8782
"47",18489,155,603672,513475,5993
"48",90140,91,405776,250660,3072
"49",14311,15,169858,114559,849
"50",32304,6,24699,11604,146
"51",58697,11,77495,45096,568
"52",9812,8,47348,32673,199
"53",28380,163,643670,336732,3260
"54",27015,218,577338,403859,3208
"55",8251,29,126487,89512,1064
"56",8822,9,43343,26656,229
"57",18152,28,60529,35959,394
"58",57072,46,256811,186943,2372
"59",29864,198,773745,605161,7573
"60",10375,28,133420,95259,1195
"61",34885,256,409634,317036,3976
"62",57264,26,278618,225643,2826
"63",35267,23,126633,18145,0
"64",3304,107,441205,336361,4212
"65",35314,9,41325,33721,356
"66",13947,35,189210,101844,1276
"67",57845,98,279048,205602,2588
"68",29849,53,176307,138084,1728
"69",17230,90,527426,316470,3971
"70",34106,42,133839,86902,1095
"71",9831,56,250818,152506,1712
"72",17622,40,166093,121488,1528
"73",3931,558,1375749,1092123,13400
"74",13080,29,137271,54839,688
"75",20093,46,125804,89464,1007
"76",6058,96,392082,273166,3462
"77",58629,168,1166535,838951,6655
"78",15062,21,51459,27363,230
"79",11569,175,594523,318472,4001
"80",10973,156,597895,489373,6176
"81",12511,45,155448,95571,1201
"82",197,69,316717,198194,2504
"83",34566,44,157253,167290,2038
"84",34930,20,88055,55221,692
"85",57733,40,165817,121364,1535
"86",15657,54,191403,100181,1268
"87",57424,15,61659,43645,542
"88",35173,32,156051,108850,1367
"89",1946,47,125898,93139,1167
"90",91,54,136853,94084,1196
"91",55130,35,121123,72242,913
"92",4051,9,44612,21905,275
"93",57803,761,98737480,90600923,649399
"94",58424,146,950497,736176,9254
"95",15699,27,84892,59279,748
"96",15426,13,30319,26057,241
"97",59060,108,810452,560320,7199
"98",23091,509,2321723,1759227,22131
"99",18545,337,1112422,719670,9041
"100",35377,16,234419,181979,2324
"101",19590,57,152618,108214,1354
"102",58275,35,238213,213387,2127
"103",1149,45,210788,183723,2181
"104",8276,17,59528,35505,444
"105",27711,46,205044,126634,1021
"106",10173,9,48036,31305,240
"107",9465,38,254106,168621,2111
"108",622,421,3765046,2573046,32232
"109",903,185,924499,467981,5897
"110",14531,652,3773640,3091141,35031
"111",34302,35,125018,64249,740
"112",28701,52,320778,167757,1865
"113",6423,262,2132556,1943896,24741
"114",24107,1665,13620071,11533821,144618
"115",27267,48,379391,310865,2683
"116",29031,141,455057,302737,3787
"117",20726,19,135974,94532,1202
"118",8893,7,28063,20065,254
"119",19838,53,262815,162109,2057
"120",20311,65,320402,253816,18211
"121",34422,51,526743,402734,4759
"122",32328,232,410770,151917,1908
"123",1117,91,417531,336347,4210
"124",19234,40,107665,69131,795
"125",17906,45,177441,91493,1096
"126",35568,66,254436,190359,2384
"127",31980,38,149936,116022,1442
"128",6183,34,139455,105414,1299
"129",20537,42,209523,111447,683
"130",34955,158,368385,238203,3012
"131",22559,300,1129209,697052,6571
"132",4624,29,105490,53635,704
"133",18609,162,703358,471979,5904
"134",34232,22,64733,43825,549
"135",15423,42,128245,87061,1087
"136",34606,60,170693,149702,1119
"137",20843,158,312984,188043,2441
"138",20473,464,2082318,1413676,17724
"139",5216,174,539254,398398,5078
"140",5800,39,273758,240918,3017
"141",21567,14,50536,24835,311
"142",23886,88,387552,234408,2926
"143",20241,245,1199620,800918,10046
"144",34788,108,1353074,673107,8454
"145",27006,316,2443765,1901146,39328
"146",21663,71,269057,214609,2645
"147",35033,33,172341,137126,1733
"148",35412,63,478971,332110,4201
"149",57444,28,170943,124492,1567
"150",57359,24,169668,146702,1122
"151",58514,7,72352,60895,580
"152",34090,53,233884,189115,2388
"153",57709,43,191670,138757,1752
"154",428,26,62656,43267,542
"155",10647,10,40687,31502,387
"156",2328,15,49459,26308,336
"157",35328,344,38516497,43365818,917979
"158",27471,230,32308666,31927744,399329
"159",29140,118,478857,345353,3470
"160",30182,186,510347,302764,2120
"161",34656,201,946381,815917,10214
"162",57113,53,276028,194850,2443
"163",313,99,383604,199791,2107
"164",35223,22,127058,105871,1347
"165",57025,20,75691,57258,683
"166",4190,295,1000668,418650,5241
"167",8843,46,238646,160001,2014
"168",1439,18,104381,86529,1085
"169",57695,8,98902,44439,485
"170",30950,3,5626,2576,33
"171",34334,16,70501,45079,580
"172",21272,127,464659,339443,4260
"173",58309,185,963503,865721,9635
"174",24472,90,324795,196452,2399
"175",19300,463,2147333,1639036,18062
"176",26398,35,237742,175054,1896
"177",22373,131,427619,278425,3502
"178",33812,27,249075,201625,2544
"179",6837,290,1305540,889110,11135
"180",26499,58,252559,191405,2415
"181",57169,26,74904,56326,712
"182",58469,39,285892,211846,2665
"183",58584,25,113704,84190,789
"184",24655,112,592997,317072,3980
"185",58281,33,183305,146303,1832
"186",29899,11,38705,23479,294
"187",9104,7,51567,32427,309
"188",32526,1159,5243824,4251601,40750
"189",29597,57,254648,164672,1906
"190",29878,34,174073,126392,1581
"191",33121,82,412295,281314,3519
