"","cert","numemp","asset","RBCT2"
"934",18171,35,164790,642.05
"935",21529,3,20373,81.19
"936",9523,8,17619,131.93
"937",23876,39,45984,818.64
"938",5867,30,53239,414
"939",9803,30,150543,612
"940",9304,19,35915,235
"941",4214,1552,2882825,45078.68
"942",5902,15,37291,231.29
"943",33693,NA,26374,0
"944",21085,6,6962,60.85
"945",16905,5,15296,72.76
"946",15275,20,38739,331.23
"947",15506,72,98592,856.35
"948",5663,40,72109,331.72
"949",21971,20,54829,280.24
"950",13710,4,9821,68.29
"951",17110,5,10599,57
"952",10634,50,93436,729.67
"953",22108,15,26223,170.17
"954",12247,6,12198,89.4
"955",15874,16,38531,258
"956",20830,38,59969,626.43
"957",1713,14,32566,282.33
"958",1617,37,74607,409
"959",27064,28,54095,474
"960",33698,NA,74480,0
"961",16607,9,17635,53
"962",11067,17,17560,111
"963",22319,6,5764,50.93
"964",11256,25,63802,359.89
"965",16982,57,127166,745.36
"966",24217,6,17681,155.55
"967",11603,17,27414,171
"968",12745,4,10848,37.28
"969",14660,37,96882,788.77
"970",15309,90,140331,1229.54
"971",101,24,56365,273
"972",20318,39,52813,378
"973",8432,77,107853,536
"974",2442,115,267536,2295.05
"975",18803,11,13366,61.19
"976",11711,35,88319,545.11
"977",50,25,45146,314.47
"978",1838,23,60435,527.42
"979",12956,30,53920,581
"980",9160,20,33342,167
"981",1377,15,32811,113.3
"982",8472,29,73125,345
"983",6178,30,60862,306
"984",15673,64,94580,589.73
"985",19390,8,8955,17.8
"986",4935,69,132114,907.94
"987",10373,59,121753,907
"988",10628,10,15887,94.51
"989",328,11,16755,131.16
"990",14349,23,40222,303.12
"991",33313,7,25574,173
"992",11243,33,52949,453.94
"993",24243,100,244996,1938
"994",8802,7,7498,37.78
"995",15796,53,78900,558.87
"996",25070,48,73871,751
"997",21922,105,149054,1534.1
"998",21230,116,194532,954
"999",22420,23,52304,294.23
"1000",18556,80,129071,926.27
"1001",22623,166,203312,1866.98
"1002",10591,13,30133,75.55
"1003",22730,52,79310,414.02
"1004",18380,13,9101,65.43
"1005",22637,17,20597,119
"1006",22002,5,10215,45
"1007",664,120,160844,1010.74
"1008",15193,16,27747,210
"1009",27127,24,62714,500
"1010",9046,8,20058,106
"1011",27504,72,118761,1122.11
"1012",24267,152,272581,2252.89
"1013",23646,7,7408,41
"1014",5863,65,153383,1055.33
"1015",32975,27,46666,302
"1016",9527,43,74845,559.8
"1017",19506,26,45906,229
"1018",15294,6,23212,227.47
"1019",12236,13,24616,200.92
"1020",22739,19,25911,251.65
"1021",8148,68,107384,721.38
"1022",26280,16,32606,310
"1023",24919,57,98151,770.29
"1024",10067,8,14496,62
"1025",9820,5,7532,54.45
"1026",5634,26,50667,341.17
"1027",12469,36,78481,605
"1028",13202,17,34612,214.59
"1029",11392,28,69320,496.49
"1030",32275,43,85733,524
"1031",1536,347,699034,6928.04
"1032",16413,13,51519,227.77
"1033",1025,119,220830,1883
"1034",19726,44,78144,442
"1035",21930,17,41458,344
"1036",8892,58,88757,561
"1037",22169,41,58292,436
"1038",13565,66,121244,1146
"1039",11788,18,50035,171.47
"1040",8333,4,7405,66.94
"1041",26598,17,24244,162.67
"1042",836,70,163493,545
"1043",21573,92,140401,959
"1044",15400,24,65071,510
"1045",12474,24,42729,246.02
"1046",21161,21,42689,231
"1047",10629,17,31046,253.12
"1048",22407,87,107985,875
"1049",20408,56,74696,671.55
"1050",26928,36,34833,267.46
"1051",26759,27,71502,534.83
"1052",26539,70,53363,326
"1053",22353,17,36018,160
"1054",16107,23,33710,248.59
"1055",21219,28,34417,181
"1056",20387,141,236017,2194
"1057",20524,37,65469,480
"1058",22340,15,31639,800.21
"1059",27357,24,48835,337
"1060",26210,29,30422,243.18
"1061",23760,11,11224,76.91
"1062",22597,147,222315,2090.49
"1063",19125,31,38892,76
"1064",22346,12,13530,244
"1065",77,48,100717,902.56
"1066",2247,61,69458,505
"1067",20704,33,37931,324.43
"1068",19258,47,100394,340
"1069",25291,5,9050,74.75
"1070",22441,34,62510,330
"1071",21960,22,69570,314
"1072",26627,17,32414,270.46
"1073",32941,50,177020,806
"1074",3514,1853,3659769,97060
"1075",18573,80,137319,1013.74
"1076",24340,11,11454,63
"1077",4198,11,32627,139.3
"1078",11293,9,10666,83.65
"1079",16389,63,82976,565
"1080",1476,18,40332,223
"1081",26611,8,8329,59.05
"1082",11244,22,57444,325.6
"1083",11257,17,31770,207.97
"1084",19818,35,68698,348
"1085",12786,19,39406,316.47
"1086",19480,8,19231,112.61
"1087",23883,12,32319,209.16
"1088",26400,64,96858,945.54
"1089",17041,47,106242,707
"1090",8893,3,6170,46.45
"1091",17159,191,175375,2042.08
"1092",13397,45,258048,537
"1093",27537,19,43295,361
"1094",14127,247,710681,7984.91
"1095",15134,33,59043,380
"1096",420,10,21402,58.26
"1097",184,35,54637,426.87
"1098",194,11,21303,139
"1099",1035,31,67534,404
"1100",17445,17,22632,176.75
"1101",23273,58,114309,1065.03
"1102",8558,10,25593,140.12
"1103",27496,13,35706,294.58
"1104",22025,6,9104,55.37
"1105",25268,11,23259,145
"1106",12627,70,208235,1836.21
"1107",26192,33,51217,469.26
"1108",18626,110,281493,2249.99
"1109",10744,21,40349,294
"1110",17173,6,8885,66
"1111",8874,6,6565,36
"1112",5608,22,63664,314
"1113",79,13,37785,245.28
"1114",9995,43,186510,400
"1115",15423,7,13033,49.89
"1116",313,50,89941,457.68
"1117",23309,22,41737,351.73
"1118",1531,51,94653,337
"1119",29298,73,178949,286
"1120",22335,35,73258,630.49
"1121",4087,33,61042,482
"1122",15204,11,19167,109.72
"1123",22978,42,50027,463.3
"1124",1418,34,46536,288.18
"1125",10003,37,74768,590.96
"1126",22528,39,59585,888
"1127",24211,20,34317,399.8
"1128",8250,34,63275,558.92
"1129",293,30,40075,279.83
"1130",11647,32,59644,382.53
"1131",22602,18,23252,192.31
"1132",9323,28,72543,398.53
"1133",12207,21,62187,385.26
"1134",15136,50,113963,762
"1135",16201,17,31471,181.02
"1136",17145,12,38940,279
"1137",32727,5,22977,158.94
"1138",32092,12,27772,180
"1139",5699,25,40943,326.77
"1140",11715,11,25701,181.18
"1141",11431,37,90556,683.24
"1142",23063,57,53273,425
"1143",862,18,41003,184.29
"1144",15104,54,73895,550
"1145",18795,6,11065,78.72
"1146",306,38,64951,306.67
"1147",13654,27,59483,460.5
"1148",16518,8,10243,75.68
"1149",4328,73,149428,1420
"1150",21377,409,158573,450
"1151",2293,1155,2304833,81636
"1152",11594,31,81658,685
"1153",19556,196,428638,2857
"1154",15025,6083,10657850,156369.71
"1155",6522,133,241541,3964.06
"1156",10013,107,243477,1715
"1157",4315,256,466944,3337
"1158",10851,82,144290,1056
"1159",13964,315,553339,3371
"1160",6538,119,186028,5433.31
"1161",11325,168,289363,2523.53
"1162",3663,854,1751975,19278.35
"1163",6643,483,884739,21019.35
