"","numemp","asset","RWAJT","RBCT2"
"15448",8,20446,14778,184
"23309",78,156825,108725.69,1375.59
"22039",18,43753,39416.65,493.55
"16419",42,66740,46407.7,505
"4788",7,16073,7306.39,91.99
"31826",38,81971,46923,517
"33619",124,326454,243891.7,2209
"11706",20,29902,19657,96
"27552",45,129809,85350.9,776
"34393",7,42871,27631.7,261
"1673",218,82204,80191.53,1029.03
"19713",49,92811,65047.9,771
"6646",28,60797,40569.4,255
"26977",42,58250,32782.6,340
"20662",12,24965,14817,110
"19593",16,22936,18343.7,204
"9087",872,2614164,2041694.7,26237.2
"27789",78,291930,182189.18,2289.88
"22536",29,74656,39082.9,399
"22543",7,19654,12124.9,123
"8426",92,184719,129875.85,2261.45
"31249",47,81693,50393,481
"8841",27,71900,40646.44,510.64
"9751",35,77310,57775.25,722.25
"27831",57,189486,93480,1176
"35018",0,5634,72,0
"34799",5,3196,992,0
"32257",115,173749,83661,1046
"30332",14,34585,20579.3,108
"30619",14,44002,24432,306
"19795",41,140738,114405.74,1438.54
"22051",197,590078,318252.9,3282.2
"27942",74,359966,203995.6,1330
"25002",30,80429,53010.7,463
"27093",14,84895,98825.7,1147
"32266",52,584005,275403,2917
"14936",18,55973,38652,404
"18489",98,229492,176144.48,2209.98
"26568",38,106876,66128.3,607
"14311",13,50299,40529.4,407
"32304",7,23669,10819,30
"7506",158,498538,282331.9,3424
"22658",53,128937,108476.9,1134
"9812",6,21413,13140.6,134
"26202",15,41485,16834.08,211.08
"5682",20,67975,39601.6,442
"28380",86,151844,103715,1246
"26973",45,80645,56760.3,602
"10922",14,19149,12324.6,131
"33914",8,165904,38951,0
"8251",17,53393,35721.9,281
"8822",10,24261,15937.5,197
"13435",77,171324,121204.52,1549.17
"31372",22,38349,18407,1008
"33104",105,295035,133436.49,1678.09
"29472",51,122506,84576,551
"33535",150,283244,290139.82,3675.32
"18664",1163,2547627,3136646.2,9826
"25332",58,211101,168315,2104
"31217",50,104030,62809,0
"91005",48,211267,148886.85,1896.85
"34885",5,10818,9375,62
"27197",33,171965,146616.7,1560
"19600",32,74763,30577.13,382.43
"15696",35,66779,42071.5,521
"34676",11,14001,7482.82,93.62
"10361",75,122006,81201.2,575
"29087",45,160727,73592,481
"29849",61,109843,65030,674
"34525",228,711574,280053.1,1683
"17230",120,351668,252600.6,1578
"34947",11,8629,3487.6,0
"34106",19,37472,22846.76,289.16
"29349",27,75459,38232,253
"17622",40,87885,56479.72,710.82
"9831",58,148205,87778.5,950
"4061",10,17731,13604.5,170.5
"29561",17,47879,12749,151
"13080",48,133201,57922.42,724.82
"2773",251,561881,409090.6,3917
"23032",21,42605,23412.3,256
"20093",28,31345,15950.4,142
"34388",26,40325,23312.43,291.43
"6058",93,234984,94969.79,1774.89
"1078",180,595046,474985.68,5940.48
"8583",22,49120,29464.9,367
"15062",23,39677,21015.97,266.57
"34427",12,28743,17135.79,214.89
"9296",25,65337,49512.02,622.12
"34930",8,10584,5995.3,52
"11569",204,310841,178797.5,1773
"1932",90,243243,188296.1,2097
"34566",17,30523,17568.3,164
"34664",10,12235,4185.5,16
"23124",21,82114,67995.72,1377.02
"34473",25,44950,24890.7,266
"30196",69,183885,116105,1456
"33468",37,71445,47494.98,594.58
"33684",NA,465737,NA,0
"34782",19,66391,19185,0
"15699",26,62101,47124.24,589.44
"15426",11,15650,12842.67,162.17
"10790",56,122264,81166.4,582
"23091",384,620363,492458.1,4505
"18545",171,284891,206310.1,2443
"31751",8,25850,12276.3,71
"19590",48,84003,60071,500
"8276",12,31639,17922,111
"27711",37,100546,53784.85,780.35
"10173",10,34179,21736.1,189
"9465",35,159363,103035.58,1291.38
"11892",56,138815,71564.41,897.81
"903",206,657609,299815.34,3755.54
"622",470,2257507,806399.1,7115
"14531",476,1215482,815555.55,10198.45
"34302",27,35830,21702.4,223
"3831",100,250164,184892.17,2326.97
"4415",188,443901,378425.91,4764.81
"28701",32,147123,72567,16
"6423",208,1245718,770624.81,9834.81
"14341",59,260583,177520.2,1744
"9266",131,651548,402000.5,4103
"3735",345,1826420,1239518.8,10792
"15082",31,139511,74907.9,510
"29320",96,234455,182781,1995
"15225",35,87925,58759.8,599
"15178",28,73365,46370.8,447
"3706",115,445722,244563.6,1956
"5310",161,486448,327868.8,3477
"27267",28,117014,76373,870
"29031",139,313158,150141,954
"28537",31,91948,46315,258
"29738",264,938131,607049.7,3823
"6782",51,55038,21272,267
"26213",58,146018,112773.4,1082
"20726",28,54499,41987.92,532.12
"20557",38,75139,52358.93,655.23
"27501",218,455841,323579.2,2323
"22968",93,239076,144917.9,1284
"26248",52,282245,260859.92,3345.72
"15836",10,4529,2012.5,0
"21614",45,95802,63030.1,576
"19594",40,74693,49200.69,616.49
"19838",47,135254,96672.19,1219.39
"19234",27,50764,30453.24,382.74
"17906",44,73632,33347.96,419.06
"20156",96,182333,121319,1172
"20537",68,148444,88459.17,1107.57
"21919",62,87438,50549.4,536
"10973",22,62515,39585.33,494.93
"4624",20,53706,34828.21,435.51
"18609",142,265225,192953,2152
"34232",9,15441,8727.63,109.23
"26498",139,670279,433953.52,8746.42
"10892",14,25808,15524.2,120
"20311",64,190309,157885.3,1305
"34606",21,24329,15135,67
"19862",78,180955,103817.1,1177
"24678",26,61171,40060.9,393
"20473",291,640479,401180.23,5022.63
"34422",21,73510,39932.98,499.28
"10954",32,62664,47016.6,461
"5800",24,91321,75362.02,942.22
"23886",86,150471,94073.13,1176.53
"20241",197,347484,224361.7,2091
"21567",14,23275,12041.23,150.73
"20504",53,142670,96950.32,1218.62
"34523",18,21183,12858,95
"27006",107,454768,301756.99,5772.09
"21663",55,102365,67480,445
"21224",61,146982,113249.1,921
"34868",15,20341,9600.4,71
"33994",26,107157,77626.7,947
"31581",7,24172,10380,0
"34090",23,87691,51568.5,445
"10647",9,26889,16174.2,202.2
"428",40,53831,26736.8,302
"2328",17,33788,17295.48,223.98
"27471",696,12789098,12644075.12,161814.92
"29140",133,264867,152848,1931
"28574",435,1250681,812068,10662
"30182",71,145317,84235,614
"32328",19,88576,46546,587
"34656",41,102963,64939,627
"26306",16,6462,2264.5,0
"23348",36,89407,74397.9,535
"8843",59,120412,83120.8,812
"25046",25,38275,24322.7,190
"22675",96,213280,151163.92,4395.72
"239",21,50429,37633.9,447
"1439",19,53337,45673,487
"25192",141,213391,178936.79,2310.59
"26764",30,51973,38404.63,484.93
"30950",3,6186,3397,16
"16730",67,145352,94802.1,906
"34334",12,22458,15093.5,127
"33993",15,54017,43291.7,401
"18806",21,31305,21670.09,275.59
"24472",55,87908,50639,422
"22373",77,183630,121967.2,1153
"19300",230,580883,423486.3,4367
"26398",30,68624,59807.9,715
"25621",39,92943,61968.1,564
"33812",14,60768,50195.56,627.46
"6837",179,460358,288965.95,3614.65
"3619",2043,10304786,10206393.8,388327.8
"13085",173,432664,287166.6,2288
"13595",64,125136,68144.12,855.22
"24481",20,45407,33596.1,354
"24334",17,44162,22983.82,287.42
"23001",35,51887,40136,429
"20393",163,399210,282891.5,3500
"24655",67,177714,137247.6,1389.9
"18246",274,1592550,923759.8,37057.8
"9104",8,35050,18216.67,228.17
"31980",16,34535,23407.86,410.76
"30385",15,43748,24541.7,155
"30617",43,185171,96594,1211
"29597",24,119016,60537,746
"32526",1339,5694182,2547711,25141
"29878",27,112875,63798,506
"34549",4,12322,6669.6,70
"17784",185,230184,134949.28,1697.78
"8733",34,89619,49606.7,572
"15432",9,19298,11306.85,141.65
"9645",33,46615,25808.3,270
"228",67,219041,182545.8,2007
"1117",31,67943,50655.11,644.71
"20292",18,16802,8275.26,104.16
"5617",40,84292,45712.2,516
"26944",25,60194,42986.7,445
"20006",8,12181,7463.31,94.21
"22569",20,52640,30975.64,388.24
"16701",502,1080513,500218.6,6288.5
"15444",80,148202,103327.7,1289
"19115",64,91845,70478.4,700
"10204",9,16422,10091.15,127.85
"22263",8,12908,8999.17,112.77
"20712",16,33597,25688.77,321.57
"22554",29,76827,62951.6,687
"21131",28,82174,69091.3,846
"8266",88,175386,132644.5,1272
"13150",173,477777,357511.2,4152
"13099",54,102016,45608.65,399.45
"10120",10,35391,18949.45,237.25
"30713",3,7809,2126,135
"8205",29,53948,41237.6,462
"5174",39,81688,57520.5,493
"29668",27,74796,38429,349
"34294",5,11253,4387,55
"19418",46,122740,86187.6,680
"2838",30,106592,65968.3,682
"23671",66,55693,39340.88,492.88
"22444",42,102088,70910.3,806
"26478",6,22273,12294.8,123
"5417",26,54931,42344.23,531.83
"28949",7,41425,22367,62
"26800",6302,19833147,17857021,476075
"33784",68,124256,57377.12,726.22
"15354",20,42424,24552.83,307.63
"22381",13,31398,12820.06,161.16
"33467",28,56723,31416.4,330
"18903",52,183067,115849.7,1102
"8868",36,119938,88174,1005
"28454",106,296948,213655.5,2421
"11681",4,12167,7682.9,80
"29979",546,2099194,1363596,17073
"22959",8,17038,7785.6,91
"34149",8,26239,20196.1,186
"9923",61,79713,58799.03,735.73
"33991",26,77984,59236.67,741.27
"10858",11,41045,19719.6,221
"16782",48,76305,46286.4,525
